id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;67;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;ppp;gpt-5;0.0
2;67;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;ppp;gpt-5;0.0
3;67;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;ppp;gpt-5;0.0
4;67;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;ppp;gpt-5;0.0
5;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;ppp;gpt-5;0.0
6;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;ppp;gpt-5;0.0
7;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;ppp;gpt-5;0.0
8;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;ppp;gpt-5;0.0
9;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;ppp;gpt-5;0.0
10;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;ppp;gpt-5;0.0
11;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;ppp;gpt-5;0.0
12;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;ppp;gpt-5;0.0
13;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;ppp;gpt-5;0.0
14;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;ppp;gpt-5;0.0
15;0;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;ppp;gpt-5;0.0
16;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;ppp;gpt-5;0.0
17;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;i;ppp;gpt-5;0.0
18;65;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;ppp;gpt-5;0.0
19;75;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;ppp;gpt-5;0.0
20;90;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;k;ppp;gpt-5;0.0
61;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;pmm;gpt-5;0.0
62;67;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;pmm;gpt-5;0.0
63;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;pmm;gpt-5;0.0
64;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;pmm;gpt-5;0.0
65;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;pmm;gpt-5;0.0
66;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;pmm;gpt-5;0.0
67;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;pmm;gpt-5;0.0
68;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;pmm;gpt-5;0.0
69;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;pmm;gpt-5;0.0
70;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;pmm;gpt-5;0.0
71;30;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;pmm;gpt-5;0.0
