id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;claude-3-7-sonnet-20250219;0.0
2;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;claude-3-7-sonnet-20250219;0.0
3;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;claude-3-7-sonnet-20250219;0.0
4;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;claude-3-7-sonnet-20250219;0.0
5;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;claude-3-7-sonnet-20250219;0.0
6;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;claude-3-7-sonnet-20250219;0.0
7;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;claude-3-7-sonnet-20250219;0.0
8;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;claude-3-7-sonnet-20250219;0.0
9;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;claude-3-7-sonnet-20250219;0.0
10;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;claude-3-7-sonnet-20250219;0.0
11;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;claude-3-7-sonnet-20250219;0.0
12;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;claude-3-7-sonnet-20250219;0.0
13;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;claude-3-7-sonnet-20250219;0.0
14;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;claude-3-7-sonnet-20250219;0.0
15;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;claude-3-7-sonnet-20250219;0.0
