id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;cntbl_cond;subject;temperature
1;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKtaUXZB4JMjt6p8abQ'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
2;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKtf664YsKTsXApCQF9'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
3;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKtjiPy5zTK6boAT7sB'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
4;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKtpFzqQ9x7ZqtNit1M'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
5;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKttnMRGQRPcD8Fu17F'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
6;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKtyLwpuGxQswmizrSn'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
7;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKu3tHj7AX8o2uPFH5E'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
8;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKu8Re9jUxYvNAnVRcZ'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
9;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKuCyEtCuxdBqYYAuUA'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
10;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKuHWqWJZJrxt3eo2oE'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
11;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKuN2wrrzDtJ9zHy6SN'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
12;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKuSZYsyJHN65Finn82'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
13;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKuX5R1dujJwXrLqmsb'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
14;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKuba2pqr5SqWZcFgRJ'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
15;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKug6Pqw5m4nQn4iU4C'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
16;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKukcVo9nFfV5a7zpDF'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
17;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUKuq9c1c7tdkL4ox9sa'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
18;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMEp51XghMmtMWU3hsx'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
19;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMEtmXgKz9vJzrUT1mp'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
20;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMEyJ8u7EMrkn433qtA'};N/A;N/A;CoT;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
61;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMF3uTH9oUKWyrwHgKr'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
62;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMF8UnriGn5V4difxzr'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
63;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMFDA5EDp8cWFRh7qXD'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
64;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMFHifZRqHnZEmVwBU5'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
65;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMFNGkukPJdodTXKVMe'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
66;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMFSqqfvQEYE9gESdFE'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
67;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMFXPC4j55JnFi7oH9T'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
68;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMFbuYwoV3o7xvMSB5k'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
69;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMFgUPFsnSgQCaaG1mQ'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
70;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMFkz13geZ4JKXSWXo2'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
71;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMFqY6X2k3toVxkD5Y6'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
72;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMFvCdo28J3gWcB9Dpr'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
73;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMFzmifN6uUqrHxSugQ'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
74;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSUMG5Q2Hqj8YxuFSm4TC'};N/A;N/A;CoT;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
