id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;cntbl_cond;subject;temperature
1;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKeacKYhsSLWdzS4kow'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
2;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKef7BgVixSC4m43Tna'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
3;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKejpCzCQcThwL9uevn'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
4;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKepMK11QWfU9SJwYaY'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
5;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKetsuxswqMqWJgm8A7'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
6;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKeyPXU8RGNo1h9Zx2P'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
7;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKf3tPvtE8mG7Sskk89'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
8;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKf8TEKcphawFSWzCCi'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
9;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKfCzLPdCW5QKdYrxcv'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
10;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKfHWwjYPMTZyEEYaib'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
11;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKfN8FsAbHpdgkwz1gL'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
12;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKfShqWjhS8DsGxfWSv'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
13;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKfXECWm4Jq4B1ERWRg'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
14;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKfbkogAhEqDnMhQVJi'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
15;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKfgKPXYpHCan3qXLvy'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
16;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTKfkqWCWwEXeRKkBd3S'};N/A;N/A;numeric-conf;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
