id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;cntbl_cond;subject;temperature
1;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMWvMixPb1bUhjcHouF'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
2;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMWztKmV3S8zf8gduWU'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
3;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMX5VQ55fup3TDgyLnm'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
4;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMXA5ie5eeetexKq9wy'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
5;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMXEhY3EmMJTWWkZhck'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
6;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMXKKbPUGK6hw68341D'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
7;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMXPydvXP5knZhhHYr2'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
8;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMXUXEdRzBapUfN6G5f'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
9;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMXZ55sgzaBscJnoPWb'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
10;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMXdcRwH1j5S3o6XLzy'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
11;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMXi8nyrmbs75yes979'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
12;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMXnk7FLKEqKsdVu7Dk'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
13;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMXsMfnNnTDcMEtaq8g'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
14;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMXwyz1CrsRQUSWwPyZ'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
15;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMY2hFJ2q5Qo9LxtrnA'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
16;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMY7JpHYuGz4BBr85rt'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
17;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMYBxN4oMArDT8mV2ax'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
18;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMYGaRiUtr8MtYhJzgF'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
19;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMYM822i2oM5TeFnGLa'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
20;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMYRj69hhxGd4B7bp6h'};N/A;N/A;numeric;overloaded;collider;ppp;claude-3-sonnet-20240229;0.0
61;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMYWLexG98ZKnX9wNU7'};N/A;N/A;numeric;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
62;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMYawyAyW8jXtg7qxPN'};N/A;N/A;numeric;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
63;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMYfZXzidxJMGsb7nDi'};N/A;N/A;numeric;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
64;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMYkCqMWBb89MQrX585'};N/A;N/A;numeric;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
65;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMYpnRBrg62A4nTwHdQ'};N/A;N/A;numeric;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
66;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMYuLGMYmc6fdC2SNMW'};N/A;N/A;numeric;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
67;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMYyur2bcizM46yTU36'};N/A;N/A;numeric;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
68;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMZ4XfJLMGQvvddhS29'};N/A;N/A;numeric;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
69;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMZ9Ai2UARHwasa4Jra'};N/A;N/A;numeric;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
70;Error: Claude API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-3-sonnet-20240229'}, 'request_id': 'req_011CSTMZDtE9z6R9yUve5Tt6'};N/A;N/A;numeric;overloaded;collider;pmm;claude-3-sonnet-20240229;0.0
