id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;cntbl_cond;subject;temperature
1;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpd2mn4UvNdamxweCh6'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
2;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpd7HPgvU6QaEhZSuLj'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
3;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpdBqEgf5yZ5Z8gV8gb'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
4;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpdGMbZ8e1MeLxyF3PF'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
5;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpdLrDPVfnX6hbMhgu4'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
6;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpdRT3RG3FkjEoiSQv6'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
7;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpdWE2fev4JoFxK3gDD'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
8;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpdanNNMSAf3ShaUPDY'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
9;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpdfPC8pE9Q9ZPci8rB'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
10;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpdjyGUT6te6wpK3XEx'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
11;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpdpUsuBDoUUvr89zRt'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
12;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpdtzzJSUq9DhJV4uxj'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
13;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpdyX6WpGXBjJWdkGRL'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
14;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpe46vxzNBVZVws9fV8'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
15;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpe8d3EVmdMZ5F8pDQN'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
16;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpeDAtCJPCZph3QtcYg'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
17;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpeHg11Ys3i4dzYaC2a'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
18;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpeNBcWJNpjUbbstixj'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
19;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScpeSiidrayK9r5QnNas'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
