id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;a;ppp;claude-opus-4-1-20250805;0.0
2;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;a;ppp;claude-opus-4-1-20250805;0.0
3;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;b;ppp;claude-opus-4-1-20250805;0.0
4;<response><likelihood>75</likelihood><confidence>65</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;b;ppp;claude-opus-4-1-20250805;0.0
5;<response><likelihood>75</likelihood><confidence>65</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;c;ppp;claude-opus-4-1-20250805;0.0
6;<response><likelihood>75</likelihood><confidence>65</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;c;ppp;claude-opus-4-1-20250805;0.0
7;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;d;ppp;claude-opus-4-1-20250805;0.0
8;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;d;ppp;claude-opus-4-1-20250805;0.0
9;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;e;ppp;claude-opus-4-1-20250805;0.0
10;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;e;ppp;claude-opus-4-1-20250805;0.0
11;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;f;ppp;claude-opus-4-1-20250805;0.0
12;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;f;ppp;claude-opus-4-1-20250805;0.0
13;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;g;ppp;claude-opus-4-1-20250805;0.0
14;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;g;ppp;claude-opus-4-1-20250805;0.0
15;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;h;ppp;claude-opus-4-1-20250805;0.0
16;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;h;ppp;claude-opus-4-1-20250805;0.0
17;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;i;ppp;claude-opus-4-1-20250805;0.0
18;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;j;ppp;claude-opus-4-1-20250805;0.0
19;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;j;ppp;claude-opus-4-1-20250805;0.0
20;<response><likelihood>85</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;k;ppp;claude-opus-4-1-20250805;0.0
61;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;a;pmm;claude-opus-4-1-20250805;0.0
62;<response><likelihood>50</likelihood><confidence>40</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;a;pmm;claude-opus-4-1-20250805;0.0
63;<response><likelihood>50</likelihood><confidence>40</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;b;pmm;claude-opus-4-1-20250805;0.0
64;<response><likelihood>50</likelihood><confidence>40</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;b;pmm;claude-opus-4-1-20250805;0.0
65;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;c;pmm;claude-opus-4-1-20250805;0.0
66;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;c;pmm;claude-opus-4-1-20250805;0.0
67;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_e=soc;d;pmm;claude-opus-4-1-20250805;0.0
