id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;cntbl_cond;subject;temperature
1;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoKTn4hYFZdRXLvNGce'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
2;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoKYHvxw3JYK1FHwAgP'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
3;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoKcqXXfgGtyKoFmdSK'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
4;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoKhQs2UE8cM8mwze2W'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
5;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoKmwU8eDR8CebxNuPt'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
6;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoKrWoLtEsNLNckoPWF'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
7;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoKw1fZvzXQ3pRjf4fi'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
8;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoL1W3MU8pVLcUDw6nt'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
9;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoL61A4nctxEzXAVRH1'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
10;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoLAWXUvngysKQhmgAA'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
11;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoLF4cwZVGhxH9jEuNh'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
12;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoLKaUzRpdHUxmstEwq'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
13;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoLQ4c1pca7bjuRSpqr'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
14;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoLUaDohCdv4ePtKzfZ'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
15;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoLZ7Zz3AFTrurFxHbg'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
16;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoLdcwFHFJnWRkzsAAy'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
17;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoLi8nuwGK91r3L3jia'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
18;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoLnjNPSeB8oaxsnRE5'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
19;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoLsGiheCPp576hhECj'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
20;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoLwq4W7z8outUTHGz8'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-1-20250805;0.0
