id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;"100
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gemini-1.5-pro;0.0
2;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gemini-1.5-pro;0.0
3;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gemini-1.5-pro;0.0
4;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gemini-1.5-pro;0.0
5;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gemini-1.5-pro;0.0
6;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gemini-1.5-pro;0.0
7;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gemini-1.5-pro;0.0
8;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gemini-1.5-pro;0.0
9;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gemini-1.5-pro;0.0
10;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gemini-1.5-pro;0.0
11;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gemini-1.5-pro;0.0
12;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gemini-1.5-pro;0.0
13;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gemini-1.5-pro;0.0
14;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gemini-1.5-pro;0.0
15;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gemini-1.5-pro;0.0
16;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gemini-1.5-pro;0.0
17;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;i;ppp;gemini-1.5-pro;0.0
18;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gemini-1.5-pro;0.0
19;"100
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gemini-1.5-pro;0.0
20;"100
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;k;ppp;gemini-1.5-pro;0.0
61;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gemini-1.5-pro;0.0
62;"20
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gemini-1.5-pro;0.0
63;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gemini-1.5-pro;0.0
64;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gemini-1.5-pro;0.0
65;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gemini-1.5-pro;0.0
66;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gemini-1.5-pro;0.0
67;"25
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gemini-1.5-pro;0.0
68;"25
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gemini-1.5-pro;0.0
69;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;pmm;gemini-1.5-pro;0.0
70;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;pmm;gemini-1.5-pro;0.0
71;"20
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;pmm;gemini-1.5-pro;0.0
72;"20
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;pmm;gemini-1.5-pro;0.0
73;"25
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;pmm;gemini-1.5-pro;0.0
74;"25
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;pmm;gemini-1.5-pro;0.0
75;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;pmm;gemini-1.5-pro;0.0
76;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;pmm;gemini-1.5-pro;0.0
77;"25
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;i;pmm;gemini-1.5-pro;0.0
78;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;pmm;gemini-1.5-pro;0.0
79;"90
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;pmm;gemini-1.5-pro;0.0
80;"100
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;k;pmm;gemini-1.5-pro;0.0
101;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;mpm;gemini-1.5-pro;0.0
102;"20
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;mpm;gemini-1.5-pro;0.0
103;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;mpm;gemini-1.5-pro;0.0
104;"20
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;mpm;gemini-1.5-pro;0.0
105;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;mpm;gemini-1.5-pro;0.0
106;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;mpm;gemini-1.5-pro;0.0
