id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gemini-2.5-flash-lite;0.0
2;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gemini-2.5-flash-lite;0.0
3;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gemini-2.5-flash-lite;0.0
4;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gemini-2.5-flash-lite;0.0
5;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gemini-2.5-flash-lite;0.0
6;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gemini-2.5-flash-lite;0.0
7;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gemini-2.5-flash-lite;0.0
8;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gemini-2.5-flash-lite;0.0
9;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gemini-2.5-flash-lite;0.0
10;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gemini-2.5-flash-lite;0.0
11;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gemini-2.5-flash-lite;0.0
12;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gemini-2.5-flash-lite;0.0
13;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gemini-2.5-flash-lite;0.0
14;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gemini-2.5-flash-lite;0.0
15;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gemini-2.5-flash-lite;0.0
16;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gemini-2.5-flash-lite;0.0
17;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;i;ppp;gemini-2.5-flash-lite;0.0
18;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gemini-2.5-flash-lite;0.0
19;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gemini-2.5-flash-lite;0.0
20;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;k;ppp;gemini-2.5-flash-lite;0.0
61;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gemini-2.5-flash-lite;0.0
62;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gemini-2.5-flash-lite;0.0
63;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gemini-2.5-flash-lite;0.0
64;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gemini-2.5-flash-lite;0.0
65;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gemini-2.5-flash-lite;0.0
66;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gemini-2.5-flash-lite;0.0
67;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gemini-2.5-flash-lite;0.0
68;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gemini-2.5-flash-lite;0.0
69;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;pmm;gemini-2.5-flash-lite;0.0
70;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;pmm;gemini-2.5-flash-lite;0.0
