id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-3.5-turbo;0.0
2;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-3.5-turbo;0.0
3;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-3.5-turbo;0.0
4;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-3.5-turbo;0.0
5;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-3.5-turbo;0.0
6;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-3.5-turbo;0.0
7;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-3.5-turbo;0.0
8;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-3.5-turbo;0.0
9;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-3.5-turbo;0.0
10;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-3.5-turbo;0.0
11;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-3.5-turbo;0.0
12;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-3.5-turbo;0.0
13;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-3.5-turbo;0.0
14;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-3.5-turbo;0.0
15;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-3.5-turbo;0.0
16;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-3.5-turbo;0.0
17;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;i;ppp;gpt-3.5-turbo;0.0
18;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-3.5-turbo;0.0
19;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-3.5-turbo;0.0
20;85;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;k;ppp;gpt-3.5-turbo;0.0
61;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-3.5-turbo;0.0
62;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-3.5-turbo;0.0
63;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gpt-3.5-turbo;0.0
64;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gpt-3.5-turbo;0.0
65;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gpt-3.5-turbo;0.0
66;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gpt-3.5-turbo;0.0
67;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gpt-3.5-turbo;0.0
