id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;60;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-4.1;0.0
2;60;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-4.1;0.0
3;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-4.1;0.0
4;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-4.1;0.0
5;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-4.1;0.0
6;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-4.1;0.0
7;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-4.1;0.0
8;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-4.1;0.0
9;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-4.1;0.0
10;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-4.1;0.0
11;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-4.1;0.0
12;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-4.1;0.0
13;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-4.1;0.0
14;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-4.1;0.0
15;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-4.1;0.0
16;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-4.1;0.0
17;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;i;ppp;gpt-4.1;0.0
18;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-4.1;0.0
19;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-4.1;0.0
20;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;k;ppp;gpt-4.1;0.0
61;60;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-4.1;0.0
62;60;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-4.1;0.0
63;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gpt-4.1;0.0
64;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gpt-4.1;0.0
65;60;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gpt-4.1;0.0
66;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gpt-4.1;0.0
67;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gpt-4.1;0.0
68;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gpt-4.1;0.0
69;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;pmm;gpt-4.1;0.0
70;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;pmm;gpt-4.1;0.0
71;20;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;pmm;gpt-4.1;0.0
72;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;pmm;gpt-4.1;0.0
73;20;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;pmm;gpt-4.1;0.0
74;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;pmm;gpt-4.1;0.0
75;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;pmm;gpt-4.1;0.0
76;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;pmm;gpt-4.1;0.0
77;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;i;pmm;gpt-4.1;0.0
78;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;pmm;gpt-4.1;0.0
79;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;pmm;gpt-4.1;0.0
80;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;k;pmm;gpt-4.1;0.0
101;30;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;mpm;gpt-4.1;0.0
102;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;mpm;gpt-4.1;0.0
103;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;mpm;gpt-4.1;0.0
104;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;mpm;gpt-4.1;0.0
105;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;mpm;gpt-4.1;0.0
106;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;mpm;gpt-4.1;0.0
107;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;mpm;gpt-4.1;0.0
108;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;mpm;gpt-4.1;0.0
109;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;mpm;gpt-4.1;0.0
110;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;mpm;gpt-4.1;0.0
111;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;mpm;gpt-4.1;0.0
112;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;mpm;gpt-4.1;0.0
113;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;mpm;gpt-4.1;0.0
114;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;mpm;gpt-4.1;0.0
115;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;mpm;gpt-4.1;0.0
116;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;mpm;gpt-4.1;0.0
117;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;i;mpm;gpt-4.1;0.0
118;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;mpm;gpt-4.1;0.0
119;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;mpm;gpt-4.1;0.0
120;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;k;mpm;gpt-4.1;0.0
121;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;mmp;gpt-4.1;0.0
122;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;a;mmp;gpt-4.1;0.0
123;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;mmp;gpt-4.1;0.0
124;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;b;mmp;gpt-4.1;0.0
125;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;mmp;gpt-4.1;0.0
126;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;c;mmp;gpt-4.1;0.0
127;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;mmp;gpt-4.1;0.0
128;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;d;mmp;gpt-4.1;0.0
129;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;mmp;gpt-4.1;0.0
130;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;e;mmp;gpt-4.1;0.0
131;20;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;mmp;gpt-4.1;0.0
132;20;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;f;mmp;gpt-4.1;0.0
133;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;mmp;gpt-4.1;0.0
134;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;g;mmp;gpt-4.1;0.0
135;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;mmp;gpt-4.1;0.0
136;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;h;mmp;gpt-4.1;0.0
137;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;i;mmp;gpt-4.1;0.0
138;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;mmp;gpt-4.1;0.0
139;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;j;mmp;gpt-4.1;0.0
140;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_e=soc;k;mmp;gpt-4.1;0.0
161;70;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;a;ppp;gpt-4.1;0.0
162;70;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;a;ppp;gpt-4.1;0.0
163;75;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;b;ppp;gpt-4.1;0.0
164;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;b;ppp;gpt-4.1;0.0
165;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;c;ppp;gpt-4.1;0.0
166;80;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;c;ppp;gpt-4.1;0.0
167;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;d;ppp;gpt-4.1;0.0
168;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;d;ppp;gpt-4.1;0.0
169;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;e;ppp;gpt-4.1;0.0
170;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;e;ppp;gpt-4.1;0.0
171;30;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;f;ppp;gpt-4.1;0.0
172;25;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;f;ppp;gpt-4.1;0.0
173;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;g;ppp;gpt-4.1;0.0
174;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;g;ppp;gpt-4.1;0.0
175;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;h;ppp;gpt-4.1;0.0
176;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;h;ppp;gpt-4.1;0.0
177;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;i;ppp;gpt-4.1;0.0
178;80;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;j;ppp;gpt-4.1;0.0
179;80;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;j;ppp;gpt-4.1;0.0
180;100;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;k;ppp;gpt-4.1;0.0
221;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;a;pmm;gpt-4.1;0.0
222;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;a;pmm;gpt-4.1;0.0
223;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;b;pmm;gpt-4.1;0.0
224;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;b;pmm;gpt-4.1;0.0
225;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;c;pmm;gpt-4.1;0.0
226;80;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;c;pmm;gpt-4.1;0.0
227;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;d;pmm;gpt-4.1;0.0
228;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;d;pmm;gpt-4.1;0.0
229;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;e;pmm;gpt-4.1;0.0
230;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;e;pmm;gpt-4.1;0.0
231;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;f;pmm;gpt-4.1;0.0
232;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;f;pmm;gpt-4.1;0.0
233;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;g;pmm;gpt-4.1;0.0
234;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;g;pmm;gpt-4.1;0.0
235;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;h;pmm;gpt-4.1;0.0
236;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;h;pmm;gpt-4.1;0.0
237;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;i;pmm;gpt-4.1;0.0
238;80;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;j;pmm;gpt-4.1;0.0
239;80;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;j;pmm;gpt-4.1;0.0
240;100;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;k;pmm;gpt-4.1;0.0
261;67;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;a;mpm;gpt-4.1;0.0
262;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;a;mpm;gpt-4.1;0.0
263;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;b;mpm;gpt-4.1;0.0
264;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;b;mpm;gpt-4.1;0.0
265;100;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;c;mpm;gpt-4.1;0.0
266;80;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;c;mpm;gpt-4.1;0.0
267;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;d;mpm;gpt-4.1;0.0
268;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;d;mpm;gpt-4.1;0.0
269;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;e;mpm;gpt-4.1;0.0
270;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;e;mpm;gpt-4.1;0.0
271;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;f;mpm;gpt-4.1;0.0
272;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;f;mpm;gpt-4.1;0.0
273;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;g;mpm;gpt-4.1;0.0
274;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;g;mpm;gpt-4.1;0.0
275;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;h;mpm;gpt-4.1;0.0
276;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;h;mpm;gpt-4.1;0.0
277;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;i;mpm;gpt-4.1;0.0
278;70;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;j;mpm;gpt-4.1;0.0
279;80;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;j;mpm;gpt-4.1;0.0
280;100;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;k;mpm;gpt-4.1;0.0
281;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;a;mmp;gpt-4.1;0.0
282;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;a;mmp;gpt-4.1;0.0
283;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;b;mmp;gpt-4.1;0.0
284;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;b;mmp;gpt-4.1;0.0
285;100;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;c;mmp;gpt-4.1;0.0
286;100;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;c;mmp;gpt-4.1;0.0
287;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;d;mmp;gpt-4.1;0.0
288;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;d;mmp;gpt-4.1;0.0
289;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;e;mmp;gpt-4.1;0.0
290;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;e;mmp;gpt-4.1;0.0
291;20;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;f;mmp;gpt-4.1;0.0
292;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;f;mmp;gpt-4.1;0.0
293;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;g;mmp;gpt-4.1;0.0
294;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;g;mmp;gpt-4.1;0.0
295;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;h;mmp;gpt-4.1;0.0
296;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;h;mmp;gpt-4.1;0.0
297;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_e=econ;i;mmp;gpt-4.1;0.0
