id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;60;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-5-mini;0.0
2;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-5-mini;0.0
3;45;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-5-mini;0.0
4;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-5-mini;0.0
5;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-5-mini;0.0
6;30;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-5-mini;0.0
7;65;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-5-mini;0.0
8;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-5-mini;0.0
9;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-5-mini;0.0
10;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-5-mini;0.0
11;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-5-mini;0.0
12;100;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-5-mini;0.0
13;20;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-5-mini;0.0
14;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-5-mini;0.0
15;40;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-5-mini;0.0
16;5;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-5-mini;0.0
17;30;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;i;ppp;gpt-5-mini;0.0
18;30;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-5-mini;0.0
19;70;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-5-mini;0.0
20;80;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;k;ppp;gpt-5-mini;0.0
61;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-5-mini;0.0
62;30;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-5-mini;0.0
