id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;<response><likelihood>60</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-5-nano;0.0
2;<response><likelihood>60</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-5-nano;0.0
3;<response><likelihood>60</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-5-nano;0.0
4;<response><likelihood>60</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-5-nano;0.0
5;<response><likelihood>60</likelihood><confidence>50</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-5-nano;0.0
6;<response><likelihood>60</likelihood><confidence>50</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-5-nano;0.0
7;<response><likelihood>70</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-5-nano;0.0
8;<response><likelihood>15</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-5-nano;0.0
9;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-5-nano;0.0
10;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-5-nano;0.0
11;<response><likelihood>40</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-5-nano;0.0
12;<response><likelihood>30</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-5-nano;0.0
13;<response><likelihood>40</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-5-nano;0.0
14;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-5-nano;0.0
15;<response><likelihood>30</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-5-nano;0.0
16;<response><likelihood>40</likelihood><confidence>55</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-5-nano;0.0
17;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;i;ppp;gpt-5-nano;0.0
18;<response><likelihood>60</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-5-nano;0.0
19;<response><likelihood>65</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-5-nano;0.0
20;<response><likelihood>95</likelihood><confidence>85</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;k;ppp;gpt-5-nano;0.0
61;<response><likelihood>60</likelihood><confidence>55</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-5-nano;0.0
62;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-5-nano;0.0
63;<response><likelihood>65</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;b;pmm;gpt-5-nano;0.0
64;<response><likelihood>60</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;b;pmm;gpt-5-nano;0.0
65;<response><likelihood>60</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;c;pmm;gpt-5-nano;0.0
66;<response><likelihood>60</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;c;pmm;gpt-5-nano;0.0
67;<response><likelihood>20</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;d;pmm;gpt-5-nano;0.0
68;<response><likelihood>0</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;d;pmm;gpt-5-nano;0.0
69;<response><likelihood>25</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;e;pmm;gpt-5-nano;0.0
70;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;e;pmm;gpt-5-nano;0.0
71;<response><likelihood>15</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;f;pmm;gpt-5-nano;0.0
72;<response><likelihood>25</likelihood><confidence>60</confidence></confidence>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;f;pmm;gpt-5-nano;0.0
73;<response><likelihood>30</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;g;pmm;gpt-5-nano;0.0
74;<response><likelihood>20</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;g;pmm;gpt-5-nano;0.0
75;<response><likelihood>20</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;h;pmm;gpt-5-nano;0.0
76;<response><likelihood>20</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;h;pmm;gpt-5-nano;0.0
77;<response><likelihood>10</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;i;pmm;gpt-5-nano;0.0
78;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;j;pmm;gpt-5-nano;0.0
79;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;j;pmm;gpt-5-nano;0.0
80;<response><likelihood>90</likelihood><confidence>85</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;k;pmm;gpt-5-nano;0.0
101;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;a;mpm;gpt-5-nano;0.0
102;<response><likelihood>40</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;a;mpm;gpt-5-nano;0.0
103;<response><likelihood>60</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;b;mpm;gpt-5-nano;0.0
104;<response><likelihood>65</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;b;mpm;gpt-5-nano;0.0
105;<response><likelihood>60</likelihood><confidence>55</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;c;mpm;gpt-5-nano;0.0
106;<response><likelihood>40</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;c;mpm;gpt-5-nano;0.0
107;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;d;mpm;gpt-5-nano;0.0
108;<response><likelihood>40</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;d;mpm;gpt-5-nano;0.0
109;<response><likelihood>30</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;e;mpm;gpt-5-nano;0.0
110;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;e;mpm;gpt-5-nano;0.0
111;<response><likelihood>15</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;f;mpm;gpt-5-nano;0.0
112;<response><likelihood>20</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;f;mpm;gpt-5-nano;0.0
113;<response><likelihood>25</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;g;mpm;gpt-5-nano;0.0
114;<response><likelihood>20</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;g;mpm;gpt-5-nano;0.0
115;<response><likelihood>20</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;h;mpm;gpt-5-nano;0.0
116;<response><likelihood>25</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;h;mpm;gpt-5-nano;0.0
117;<response><likelihood>20</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;i;mpm;gpt-5-nano;0.0
118;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;j;mpm;gpt-5-nano;0.0
119;<response><likelihood>75</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;j;mpm;gpt-5-nano;0.0
120;<response><likelihood>75</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;k;mpm;gpt-5-nano;0.0
121;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;a;mmp;gpt-5-nano;0.0
122;<response><likelihood>45</likelihood><confidence>65</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;a;mmp;gpt-5-nano;0.0
123;<response><likelihood>60</likelihood><confidence>50</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;b;mmp;gpt-5-nano;0.0
124;<response><likelihood>60</likelihood><confidence>50</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;b;mmp;gpt-5-nano;0.0
125;<response><likelihood>60</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;c;mmp;gpt-5-nano;0.0
126;<response><likelihood>60</likelihood><confidence>55</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;c;mmp;gpt-5-nano;0.0
127;<response><likelihood>20</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;d;mmp;gpt-5-nano;0.0
128;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;d;mmp;gpt-5-nano;0.0
129;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;e;mmp;gpt-5-nano;0.0
130;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;e;mmp;gpt-5-nano;0.0
131;<response><likelihood>20</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;f;mmp;gpt-5-nano;0.0
132;<response><likelihood>25</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;f;mmp;gpt-5-nano;0.0
133;<response><likelihood>20</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;g;mmp;gpt-5-nano;0.0
134;<response><likelihood>25</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;g;mmp;gpt-5-nano;0.0
135;<response><likelihood>10</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;h;mmp;gpt-5-nano;0.0
136;<response><likelihood>25</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;h;mmp;gpt-5-nano;0.0
137;<response><likelihood>20</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;i;mmp;gpt-5-nano;0.0
138;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;j;mmp;gpt-5-nano;0.0
139;<response><likelihood>75</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;j;mmp;gpt-5-nano;0.0
140;<response><likelihood>90</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_e=soc;k;mmp;gpt-5-nano;0.0
161;<response><likelihood>75</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;a;ppp;gpt-5-nano;0.0
162;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;a;ppp;gpt-5-nano;0.0
163;<response><likelihood>60</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;b;ppp;gpt-5-nano;0.0
164;<response><likelihood>50</likelihood><confidence>50</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;b;ppp;gpt-5-nano;0.0
165;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;c;ppp;gpt-5-nano;0.0
166;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;c;ppp;gpt-5-nano;0.0
167;<response><likelihood>40</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;d;ppp;gpt-5-nano;0.0
168;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;d;ppp;gpt-5-nano;0.0
169;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;e;ppp;gpt-5-nano;0.0
170;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;e;ppp;gpt-5-nano;0.0
171;<response><likelihood>20</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;f;ppp;gpt-5-nano;0.0
172;<response><likelihood>20</likelihood><confidence>45</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;f;ppp;gpt-5-nano;0.0
173;<response><likelihood>40</likelihood><confidence>50</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;g;ppp;gpt-5-nano;0.0
174;<response><likelihood>40</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;g;ppp;gpt-5-nano;0.0
175;<response><likelihood>25</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;h;ppp;gpt-5-nano;0.0
176;<response><likelihood>30</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;h;ppp;gpt-5-nano;0.0
177;<response><likelihood>20</likelihood><confidence>50</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;i;ppp;gpt-5-nano;0.0
178;<response><likelihood>60</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;j;ppp;gpt-5-nano;0.0
179;<response><likelihood>80</likelihood><confidence>65</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;j;ppp;gpt-5-nano;0.0
180;<response><likelihood>90</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;k;ppp;gpt-5-nano;0.0
221;<response><likelihood>65</likelihood><confidence>55</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;a;pmm;gpt-5-nano;0.0
222;<response><likelihood>60</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;a;pmm;gpt-5-nano;0.0
223;<response><likelihood>60</likelihood><confidence>65</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;b;pmm;gpt-5-nano;0.0
224;<response><likelihood>50</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;b;pmm;gpt-5-nano;0.0
225;<response><likelihood>65</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;c;pmm;gpt-5-nano;0.0
226;<response><likelihood>40</likelihood><confidence>50</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;c;pmm;gpt-5-nano;0.0
227;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;d;pmm;gpt-5-nano;0.0
228;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;d;pmm;gpt-5-nano;0.0
229;<response><likelihood>50</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;e;pmm;gpt-5-nano;0.0
230;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_e=econ;e;pmm;gpt-5-nano;0.0
