id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;60;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-5-nano;0.0
2;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-5-nano;0.0
3;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-5-nano;0.0
4;60;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-5-nano;0.0
5;40;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-5-nano;0.0
6;40;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-5-nano;0.0
7;60;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-5-nano;0.0
8;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-5-nano;0.0
9;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-5-nano;0.0
10;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-5-nano;0.0
11;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-5-nano;0.0
12;25;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-5-nano;0.0
13;40;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-5-nano;0.0
14;40;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-5-nano;0.0
15;25;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-5-nano;0.0
16;30;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-5-nano;0.0
17;30;low;low;numeric;overloaded;collider;econ_ovl_e=soc;i;ppp;gpt-5-nano;0.0
18;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-5-nano;0.0
19;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-5-nano;0.0
20;85;low;low;numeric;overloaded;collider;econ_ovl_e=soc;k;ppp;gpt-5-nano;0.0
61;25;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-5-nano;0.0
62;30;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-5-nano;0.0
63;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gpt-5-nano;0.0
64;60;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gpt-5-nano;0.0
65;90;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gpt-5-nano;0.0
66;60;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gpt-5-nano;0.0
67;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gpt-5-nano;0.0
68;40;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gpt-5-nano;0.0
69;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;pmm;gpt-5-nano;0.0
70;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;pmm;gpt-5-nano;0.0
71;15;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;pmm;gpt-5-nano;0.0
72;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;pmm;gpt-5-nano;0.0
73;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;pmm;gpt-5-nano;0.0
74;15;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;pmm;gpt-5-nano;0.0
75;15;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;pmm;gpt-5-nano;0.0
76;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;pmm;gpt-5-nano;0.0
77;25;low;low;numeric;overloaded;collider;econ_ovl_e=soc;i;pmm;gpt-5-nano;0.0
78;85;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;pmm;gpt-5-nano;0.0
79;85;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;pmm;gpt-5-nano;0.0
80;92;low;low;numeric;overloaded;collider;econ_ovl_e=soc;k;pmm;gpt-5-nano;0.0
101;40;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;mpm;gpt-5-nano;0.0
102;55;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;mpm;gpt-5-nano;0.0
103;60;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;mpm;gpt-5-nano;0.0
104;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;mpm;gpt-5-nano;0.0
105;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;mpm;gpt-5-nano;0.0
106;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;mpm;gpt-5-nano;0.0
107;60;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;mpm;gpt-5-nano;0.0
108;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;mpm;gpt-5-nano;0.0
109;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;mpm;gpt-5-nano;0.0
110;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;mpm;gpt-5-nano;0.0
111;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;mpm;gpt-5-nano;0.0
112;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;mpm;gpt-5-nano;0.0
113;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;mpm;gpt-5-nano;0.0
114;25;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;mpm;gpt-5-nano;0.0
115;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;mpm;gpt-5-nano;0.0
116;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;mpm;gpt-5-nano;0.0
117;35;low;low;numeric;overloaded;collider;econ_ovl_e=soc;i;mpm;gpt-5-nano;0.0
118;60;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;mpm;gpt-5-nano;0.0
119;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;mpm;gpt-5-nano;0.0
120;85;low;low;numeric;overloaded;collider;econ_ovl_e=soc;k;mpm;gpt-5-nano;0.0
121;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;mmp;gpt-5-nano;0.0
122;55;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;mmp;gpt-5-nano;0.0
123;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;mmp;gpt-5-nano;0.0
124;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;mmp;gpt-5-nano;0.0
125;85;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;mmp;gpt-5-nano;0.0
126;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;mmp;gpt-5-nano;0.0
127;0;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;mmp;gpt-5-nano;0.0
128;0;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;mmp;gpt-5-nano;0.0
129;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;mmp;gpt-5-nano;0.0
130;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;mmp;gpt-5-nano;0.0
131;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;mmp;gpt-5-nano;0.0
132;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;mmp;gpt-5-nano;0.0
133;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;mmp;gpt-5-nano;0.0
134;40;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;mmp;gpt-5-nano;0.0
135;25;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;mmp;gpt-5-nano;0.0
136;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;mmp;gpt-5-nano;0.0
137;10;low;low;numeric;overloaded;collider;econ_ovl_e=soc;i;mmp;gpt-5-nano;0.0
138;60;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;mmp;gpt-5-nano;0.0
139;75;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;mmp;gpt-5-nano;0.0
140;90;low;low;numeric;overloaded;collider;econ_ovl_e=soc;k;mmp;gpt-5-nano;0.0
161;40;low;low;numeric;overloaded;collider;soc_ovl_e=econ;a;ppp;gpt-5-nano;0.0
162;40;low;low;numeric;overloaded;collider;soc_ovl_e=econ;a;ppp;gpt-5-nano;0.0
163;70;low;low;numeric;overloaded;collider;soc_ovl_e=econ;b;ppp;gpt-5-nano;0.0
164;40;low;low;numeric;overloaded;collider;soc_ovl_e=econ;b;ppp;gpt-5-nano;0.0
165;70;low;low;numeric;overloaded;collider;soc_ovl_e=econ;c;ppp;gpt-5-nano;0.0
166;70;low;low;numeric;overloaded;collider;soc_ovl_e=econ;c;ppp;gpt-5-nano;0.0
167;25;low;low;numeric;overloaded;collider;soc_ovl_e=econ;d;ppp;gpt-5-nano;0.0
168;25;low;low;numeric;overloaded;collider;soc_ovl_e=econ;d;ppp;gpt-5-nano;0.0
169;40;low;low;numeric;overloaded;collider;soc_ovl_e=econ;e;ppp;gpt-5-nano;0.0
170;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;e;ppp;gpt-5-nano;0.0
