id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-5;0.0
2;35;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-5;0.0
3;60;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-5;0.0
4;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-5;0.0
5;100;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-5;0.0
6;75;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-5;0.0
7;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-5;0.0
8;30;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-5;0.0
9;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-5;0.0
10;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-5;0.0
11;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-5;0.0
12;25;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-5;0.0
13;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-5;0.0
14;15;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-5;0.0
15;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-5;0.0
16;15;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-5;0.0
17;10;low;low;numeric;overloaded;collider;econ_ovl_e=soc;i;ppp;gpt-5;0.0
18;75;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-5;0.0
19;75;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-5;0.0
20;92;low;low;numeric;overloaded;collider;econ_ovl_e=soc;k;ppp;gpt-5;0.0
61;35;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-5;0.0
62;40;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-5;0.0
63;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gpt-5;0.0
64;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gpt-5;0.0
65;80;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gpt-5;0.0
66;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gpt-5;0.0
67;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gpt-5;0.0
68;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gpt-5;0.0
69;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;pmm;gpt-5;0.0
70;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;pmm;gpt-5;0.0
71;5;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;pmm;gpt-5;0.0
72;10;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;pmm;gpt-5;0.0
73;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;pmm;gpt-5;0.0
74;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;pmm;gpt-5;0.0
75;10;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;pmm;gpt-5;0.0
76;10;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;pmm;gpt-5;0.0
77;10;low;low;numeric;overloaded;collider;econ_ovl_e=soc;i;pmm;gpt-5;0.0
78;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;pmm;gpt-5;0.0
79;75;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;pmm;gpt-5;0.0
80;100;low;low;numeric;overloaded;collider;econ_ovl_e=soc;k;pmm;gpt-5;0.0
101;30;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;mpm;gpt-5;0.0
102;30;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;mpm;gpt-5;0.0
103;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;mpm;gpt-5;0.0
104;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;mpm;gpt-5;0.0
105;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;mpm;gpt-5;0.0
106;80;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;mpm;gpt-5;0.0
107;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;mpm;gpt-5;0.0
108;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;mpm;gpt-5;0.0
109;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;mpm;gpt-5;0.0
110;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;mpm;gpt-5;0.0
111;10;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;mpm;gpt-5;0.0
112;5;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;mpm;gpt-5;0.0
113;10;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;mpm;gpt-5;0.0
114;0;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;mpm;gpt-5;0.0
115;5;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;mpm;gpt-5;0.0
116;0;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;mpm;gpt-5;0.0
117;10;low;low;numeric;overloaded;collider;econ_ovl_e=soc;i;mpm;gpt-5;0.0
118;75;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;mpm;gpt-5;0.0
119;70;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;mpm;gpt-5;0.0
120;95;low;low;numeric;overloaded;collider;econ_ovl_e=soc;k;mpm;gpt-5;0.0
121;30;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;mmp;gpt-5;0.0
122;30;low;low;numeric;overloaded;collider;econ_ovl_e=soc;a;mmp;gpt-5;0.0
123;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;mmp;gpt-5;0.0
124;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;b;mmp;gpt-5;0.0
125;90;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;mmp;gpt-5;0.0
126;85;low;low;numeric;overloaded;collider;econ_ovl_e=soc;c;mmp;gpt-5;0.0
127;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;mmp;gpt-5;0.0
128;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;d;mmp;gpt-5;0.0
129;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;mmp;gpt-5;0.0
130;50;low;low;numeric;overloaded;collider;econ_ovl_e=soc;e;mmp;gpt-5;0.0
131;10;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;mmp;gpt-5;0.0
132;7;low;low;numeric;overloaded;collider;econ_ovl_e=soc;f;mmp;gpt-5;0.0
133;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;mmp;gpt-5;0.0
134;0;low;low;numeric;overloaded;collider;econ_ovl_e=soc;g;mmp;gpt-5;0.0
135;5;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;mmp;gpt-5;0.0
136;10;low;low;numeric;overloaded;collider;econ_ovl_e=soc;h;mmp;gpt-5;0.0
137;20;low;low;numeric;overloaded;collider;econ_ovl_e=soc;i;mmp;gpt-5;0.0
138;75;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;mmp;gpt-5;0.0
139;85;low;low;numeric;overloaded;collider;econ_ovl_e=soc;j;mmp;gpt-5;0.0
140;95;low;low;numeric;overloaded;collider;econ_ovl_e=soc;k;mmp;gpt-5;0.0
161;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;a;ppp;gpt-5;0.0
162;40;low;low;numeric;overloaded;collider;soc_ovl_e=econ;a;ppp;gpt-5;0.0
163;67;low;low;numeric;overloaded;collider;soc_ovl_e=econ;b;ppp;gpt-5;0.0
164;67;low;low;numeric;overloaded;collider;soc_ovl_e=econ;b;ppp;gpt-5;0.0
165;100;low;low;numeric;overloaded;collider;soc_ovl_e=econ;c;ppp;gpt-5;0.0
166;80;low;low;numeric;overloaded;collider;soc_ovl_e=econ;c;ppp;gpt-5;0.0
167;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;d;ppp;gpt-5;0.0
168;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;d;ppp;gpt-5;0.0
169;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;e;ppp;gpt-5;0.0
170;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;e;ppp;gpt-5;0.0
171;10;low;low;numeric;overloaded;collider;soc_ovl_e=econ;f;ppp;gpt-5;0.0
172;10;low;low;numeric;overloaded;collider;soc_ovl_e=econ;f;ppp;gpt-5;0.0
173;20;low;low;numeric;overloaded;collider;soc_ovl_e=econ;g;ppp;gpt-5;0.0
174;0;low;low;numeric;overloaded;collider;soc_ovl_e=econ;g;ppp;gpt-5;0.0
175;15;low;low;numeric;overloaded;collider;soc_ovl_e=econ;h;ppp;gpt-5;0.0
176;5;low;low;numeric;overloaded;collider;soc_ovl_e=econ;h;ppp;gpt-5;0.0
177;10;low;low;numeric;overloaded;collider;soc_ovl_e=econ;i;ppp;gpt-5;0.0
178;80;low;low;numeric;overloaded;collider;soc_ovl_e=econ;j;ppp;gpt-5;0.0
179;80;low;low;numeric;overloaded;collider;soc_ovl_e=econ;j;ppp;gpt-5;0.0
180;95;low;low;numeric;overloaded;collider;soc_ovl_e=econ;k;ppp;gpt-5;0.0
221;30;low;low;numeric;overloaded;collider;soc_ovl_e=econ;a;pmm;gpt-5;0.0
222;35;low;low;numeric;overloaded;collider;soc_ovl_e=econ;a;pmm;gpt-5;0.0
223;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;b;pmm;gpt-5;0.0
224;67;low;low;numeric;overloaded;collider;soc_ovl_e=econ;b;pmm;gpt-5;0.0
225;70;low;low;numeric;overloaded;collider;soc_ovl_e=econ;c;pmm;gpt-5;0.0
226;62;low;low;numeric;overloaded;collider;soc_ovl_e=econ;c;pmm;gpt-5;0.0
227;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;d;pmm;gpt-5;0.0
228;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;d;pmm;gpt-5;0.0
229;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;e;pmm;gpt-5;0.0
230;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;e;pmm;gpt-5;0.0
231;10;low;low;numeric;overloaded;collider;soc_ovl_e=econ;f;pmm;gpt-5;0.0
232;23;low;low;numeric;overloaded;collider;soc_ovl_e=econ;f;pmm;gpt-5;0.0
233;0;low;low;numeric;overloaded;collider;soc_ovl_e=econ;g;pmm;gpt-5;0.0
234;0;low;low;numeric;overloaded;collider;soc_ovl_e=econ;g;pmm;gpt-5;0.0
235;10;low;low;numeric;overloaded;collider;soc_ovl_e=econ;h;pmm;gpt-5;0.0
236;5;low;low;numeric;overloaded;collider;soc_ovl_e=econ;h;pmm;gpt-5;0.0
237;20;low;low;numeric;overloaded;collider;soc_ovl_e=econ;i;pmm;gpt-5;0.0
238;75;low;low;numeric;overloaded;collider;soc_ovl_e=econ;j;pmm;gpt-5;0.0
239;70;low;low;numeric;overloaded;collider;soc_ovl_e=econ;j;pmm;gpt-5;0.0
240;95;low;low;numeric;overloaded;collider;soc_ovl_e=econ;k;pmm;gpt-5;0.0
261;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;a;mpm;gpt-5;0.0
262;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;a;mpm;gpt-5;0.0
263;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;b;mpm;gpt-5;0.0
264;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;b;mpm;gpt-5;0.0
265;100;low;low;numeric;overloaded;collider;soc_ovl_e=econ;c;mpm;gpt-5;0.0
266;100;low;low;numeric;overloaded;collider;soc_ovl_e=econ;c;mpm;gpt-5;0.0
267;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;d;mpm;gpt-5;0.0
268;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;d;mpm;gpt-5;0.0
269;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;e;mpm;gpt-5;0.0
270;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;e;mpm;gpt-5;0.0
271;20;low;low;numeric;overloaded;collider;soc_ovl_e=econ;f;mpm;gpt-5;0.0
272;20;low;low;numeric;overloaded;collider;soc_ovl_e=econ;f;mpm;gpt-5;0.0
273;0;low;low;numeric;overloaded;collider;soc_ovl_e=econ;g;mpm;gpt-5;0.0
274;0;low;low;numeric;overloaded;collider;soc_ovl_e=econ;g;mpm;gpt-5;0.0
275;0;low;low;numeric;overloaded;collider;soc_ovl_e=econ;h;mpm;gpt-5;0.0
276;10;low;low;numeric;overloaded;collider;soc_ovl_e=econ;h;mpm;gpt-5;0.0
277;10;low;low;numeric;overloaded;collider;soc_ovl_e=econ;i;mpm;gpt-5;0.0
278;70;low;low;numeric;overloaded;collider;soc_ovl_e=econ;j;mpm;gpt-5;0.0
279;70;low;low;numeric;overloaded;collider;soc_ovl_e=econ;j;mpm;gpt-5;0.0
280;95;low;low;numeric;overloaded;collider;soc_ovl_e=econ;k;mpm;gpt-5;0.0
281;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;a;mmp;gpt-5;0.0
282;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;a;mmp;gpt-5;0.0
283;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;b;mmp;gpt-5;0.0
284;67;low;low;numeric;overloaded;collider;soc_ovl_e=econ;b;mmp;gpt-5;0.0
285;85;low;low;numeric;overloaded;collider;soc_ovl_e=econ;c;mmp;gpt-5;0.0
286;90;low;low;numeric;overloaded;collider;soc_ovl_e=econ;c;mmp;gpt-5;0.0
287;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;d;mmp;gpt-5;0.0
288;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;d;mmp;gpt-5;0.0
289;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;e;mmp;gpt-5;0.0
290;50;low;low;numeric;overloaded;collider;soc_ovl_e=econ;e;mmp;gpt-5;0.0
291;10;low;low;numeric;overloaded;collider;soc_ovl_e=econ;f;mmp;gpt-5;0.0
292;15;low;low;numeric;overloaded;collider;soc_ovl_e=econ;f;mmp;gpt-5;0.0
293;0;low;low;numeric;overloaded;collider;soc_ovl_e=econ;g;mmp;gpt-5;0.0
294;20;low;low;numeric;overloaded;collider;soc_ovl_e=econ;g;mmp;gpt-5;0.0
295;5;low;low;numeric;overloaded;collider;soc_ovl_e=econ;h;mmp;gpt-5;0.0
296;10;low;low;numeric;overloaded;collider;soc_ovl_e=econ;h;mmp;gpt-5;0.0
297;10;low;low;numeric;overloaded;collider;soc_ovl_e=econ;i;mmp;gpt-5;0.0
298;80;low;low;numeric;overloaded;collider;soc_ovl_e=econ;j;mmp;gpt-5;0.0
299;80;low;low;numeric;overloaded;collider;soc_ovl_e=econ;j;mmp;gpt-5;0.0
300;95;low;low;numeric;overloaded;collider;soc_ovl_e=econ;k;mmp;gpt-5;0.0
321;30;low;low;numeric;overloaded;collider;weath_ovl_e=econ;a;ppp;gpt-5;0.0
322;50;low;low;numeric;overloaded;collider;weath_ovl_e=econ;a;ppp;gpt-5;0.0
323;50;low;low;numeric;overloaded;collider;weath_ovl_e=econ;b;ppp;gpt-5;0.0
324;50;low;low;numeric;overloaded;collider;weath_ovl_e=econ;b;ppp;gpt-5;0.0
325;100;low;low;numeric;overloaded;collider;weath_ovl_e=econ;c;ppp;gpt-5;0.0
326;100;low;low;numeric;overloaded;collider;weath_ovl_e=econ;c;ppp;gpt-5;0.0
327;50;low;low;numeric;overloaded;collider;weath_ovl_e=econ;d;ppp;gpt-5;0.0
328;50;low;low;numeric;overloaded;collider;weath_ovl_e=econ;d;ppp;gpt-5;0.0
329;50;low;low;numeric;overloaded;collider;weath_ovl_e=econ;e;ppp;gpt-5;0.0
330;50;low;low;numeric;overloaded;collider;weath_ovl_e=econ;e;ppp;gpt-5;0.0
331;0;low;low;numeric;overloaded;collider;weath_ovl_e=econ;f;ppp;gpt-5;0.0
332;5;low;low;numeric;overloaded;collider;weath_ovl_e=econ;f;ppp;gpt-5;0.0
333;0;low;low;numeric;overloaded;collider;weath_ovl_e=econ;g;ppp;gpt-5;0.0
334;0;low;low;numeric;overloaded;collider;weath_ovl_e=econ;g;ppp;gpt-5;0.0
335;0;low;low;numeric;overloaded;collider;weath_ovl_e=econ;h;ppp;gpt-5;0.0
336;0;low;low;numeric;overloaded;collider;weath_ovl_e=econ;h;ppp;gpt-5;0.0
337;10;low;low;numeric;overloaded;collider;weath_ovl_e=econ;i;ppp;gpt-5;0.0
338;80;low;low;numeric;overloaded;collider;weath_ovl_e=econ;j;ppp;gpt-5;0.0
339;100;low;low;numeric;overloaded;collider;weath_ovl_e=econ;j;ppp;gpt-5;0.0
340;100;low;low;numeric;overloaded;collider;weath_ovl_e=econ;k;ppp;gpt-5;0.0
381;20;low;low;numeric;overloaded;collider;weath_ovl_e=econ;a;pmm;gpt-5;0.0
382;20;low;low;numeric;overloaded;collider;weath_ovl_e=econ;a;pmm;gpt-5;0.0
383;50;low;low;numeric;overloaded;collider;weath_ovl_e=econ;b;pmm;gpt-5;0.0
384;67;low;low;numeric;overloaded;collider;weath_ovl_e=econ;b;pmm;gpt-5;0.0
385;100;low;low;numeric;overloaded;collider;weath_ovl_e=econ;c;pmm;gpt-5;0.0
386;100;low;low;numeric;overloaded;collider;weath_ovl_e=econ;c;pmm;gpt-5;0.0
387;50;low;low;numeric;overloaded;collider;weath_ovl_e=econ;d;pmm;gpt-5;0.0
388;50;low;low;numeric;overloaded;collider;weath_ovl_e=econ;d;pmm;gpt-5;0.0
389;50;low;low;numeric;overloaded;collider;weath_ovl_e=econ;e;pmm;gpt-5;0.0
390;50;low;low;numeric;overloaded;collider;weath_ovl_e=econ;e;pmm;gpt-5;0.0
391;0;low;low;numeric;overloaded;collider;weath_ovl_e=econ;f;pmm;gpt-5;0.0
392;5;low;low;numeric;overloaded;collider;weath_ovl_e=econ;f;pmm;gpt-5;0.0
393;0;low;low;numeric;overloaded;collider;weath_ovl_e=econ;g;pmm;gpt-5;0.0
