id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;67;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-5;0.0
2;67;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;a;ppp;gpt-5;0.0
3;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-5;0.0
4;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;b;ppp;gpt-5;0.0
5;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-5;0.0
6;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;c;ppp;gpt-5;0.0
7;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-5;0.0
8;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;d;ppp;gpt-5;0.0
9;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-5;0.0
10;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;e;ppp;gpt-5;0.0
11;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-5;0.0
12;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;f;ppp;gpt-5;0.0
13;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-5;0.0
14;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;g;ppp;gpt-5;0.0
15;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-5;0.0
16;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;h;ppp;gpt-5;0.0
17;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;i;ppp;gpt-5;0.0
18;70;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-5;0.0
19;75;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;j;ppp;gpt-5;0.0
20;100;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;k;ppp;gpt-5;0.0
61;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-5;0.0
62;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;a;pmm;gpt-5;0.0
63;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gpt-5;0.0
64;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;b;pmm;gpt-5;0.0
65;67;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gpt-5;0.0
66;75;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;c;pmm;gpt-5;0.0
67;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gpt-5;0.0
68;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;d;pmm;gpt-5;0.0
69;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;e;pmm;gpt-5;0.0
70;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;e;pmm;gpt-5;0.0
71;25;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;f;pmm;gpt-5;0.0
72;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;f;pmm;gpt-5;0.0
73;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;g;pmm;gpt-5;0.0
74;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;g;pmm;gpt-5;0.0
75;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;h;pmm;gpt-5;0.0
76;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;h;pmm;gpt-5;0.0
77;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;i;pmm;gpt-5;0.0
78;75;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;j;pmm;gpt-5;0.0
79;70;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;j;pmm;gpt-5;0.0
80;90;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;k;pmm;gpt-5;0.0
101;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;a;mpm;gpt-5;0.0
102;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;a;mpm;gpt-5;0.0
103;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;b;mpm;gpt-5;0.0
104;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;b;mpm;gpt-5;0.0
105;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;c;mpm;gpt-5;0.0
106;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;c;mpm;gpt-5;0.0
107;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;d;mpm;gpt-5;0.0
108;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;d;mpm;gpt-5;0.0
109;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;e;mpm;gpt-5;0.0
110;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;e;mpm;gpt-5;0.0
111;25;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;f;mpm;gpt-5;0.0
112;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;f;mpm;gpt-5;0.0
113;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;g;mpm;gpt-5;0.0
114;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;g;mpm;gpt-5;0.0
115;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;h;mpm;gpt-5;0.0
116;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;h;mpm;gpt-5;0.0
117;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;i;mpm;gpt-5;0.0
118;70;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;j;mpm;gpt-5;0.0
119;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;j;mpm;gpt-5;0.0
120;100;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;k;mpm;gpt-5;0.0
121;67;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;a;mmp;gpt-5;0.0
122;67;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;a;mmp;gpt-5;0.0
123;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;b;mmp;gpt-5;0.0
124;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;b;mmp;gpt-5;0.0
125;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;c;mmp;gpt-5;0.0
126;75;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;c;mmp;gpt-5;0.0
127;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;d;mmp;gpt-5;0.0
128;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;d;mmp;gpt-5;0.0
129;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;e;mmp;gpt-5;0.0
130;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;e;mmp;gpt-5;0.0
131;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;f;mmp;gpt-5;0.0
132;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;f;mmp;gpt-5;0.0
133;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;g;mmp;gpt-5;0.0
134;50;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;g;mmp;gpt-5;0.0
135;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;h;mmp;gpt-5;0.0
136;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;h;mmp;gpt-5;0.0
137;0;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;i;mmp;gpt-5;0.0
138;75;minimal;low;numeric;overloaded;collider;econ_ovl_e=soc;j;mmp;gpt-5;0.0
