id,prompt_category,graph,domain,task,cntbl_cond,subject,temperature,likelihood,experiment_name,confidence,reasoning,human_subj_id,reasoning_type,RW17_label
1,numeric-conf,collider,abstract_abc,VI,ppp,gpt-4o,0.0,50.0,abstract_reasoning,70.0,,,Effect-Present Diagnostic Inference,a
1,numeric,collider,abstract_abc,VI,ppp,o3,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
1,numeric,collider,abstract_abc,VI,ppp,gpt-4.1-mini,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
1,CoT,collider,abstract_abc,VI,ppp,gpt-4o,0.0,20.0,abstract_reasoning,80.0,"Given the causal relationships, powerful C can be caused by either high A or strong B independently. Observing powerful C and strong B suggests that strong B is a sufficient cause for powerful C. Therefore, the presence of high A is not necessary to explain powerful C in this scenario. Since strong B alone can account for powerful C, the likelihood of high A being present is reduced. However, it is not impossible for high A to be present alongside strong B, but it is not required. Thus, the likelihood of high A being present is low.",,Effect-Present Diagnostic Inference,a
1,numeric,collider,abstract_abc,VI,ppp,claude-3-7-sonnet-20250219,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
1,numeric,collider,abstract_abc,VI,ppp,claude-sonnet-4-20250514,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
1,numeric,collider,abstract_abc,VI,ppp,claude-opus-4-20250514,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
1,numeric,collider,abstract_abc,VI,ppp,gpt-4.1,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
1,numeric,collider,abstract_abc,VI,ppp,claude-3-haiku-20240307,0.0,75.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
1,numeric,collider,abstract_abc,VI,ppp,gpt-4o,0.0,0.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
1,numeric,collider,abstract_abc,VI,ppp,claude-3-5-haiku-20241022,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
1,numeric,collider,economy,VI,ppp,humans,,67.5,pilot_study,,,69.0,Effect-Present Diagnostic Inference,a
2,numeric-conf,collider,abstract_abc,VI,ppp,gpt-4o,0.0,50.0,abstract_reasoning,50.0,,,Effect-Present Diagnostic Inference,a
2,numeric,collider,abstract_abc,VI,ppp,claude-3-haiku-20240307,0.0,75.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
2,numeric,collider,abstract_abc,VI,ppp,o3,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
2,numeric,collider,abstract_abc,VI,ppp,claude-3-7-sonnet-20250219,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
2,numeric,collider,abstract_abc,VI,ppp,claude-opus-4-20250514,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
2,CoT,collider,abstract_abc,VI,ppp,gpt-4o,0.0,50.0,abstract_reasoning,70.0,"We know that powerful C can be caused by either high A or strong B independently. Since we observe high A, it is sufficient to explain the presence of powerful C without needing strong B. Therefore, the presence of strong B is not necessary to explain powerful C, and its likelihood is not increased by the observation of powerful C. Without additional information suggesting a correlation between high A and strong B, the likelihood of strong B being present remains at a baseline level, which is around 50, assuming no prior bias towards the presence or absence of strong B.",,Effect-Present Diagnostic Inference,a
2,numeric,collider,abstract_abc,VI,ppp,gpt-4.1,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
2,numeric,collider,abstract_abc,VI,ppp,claude-3-5-haiku-20241022,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
2,numeric,collider,abstract_abc,VI,ppp,gpt-4.1-mini,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
2,numeric,collider,abstract_abc,VI,ppp,claude-sonnet-4-20250514,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
2,numeric,collider,economy,VI,ppp,humans,,67.5,pilot_study,,,0.0,Effect-Present Diagnostic Inference,a
2,numeric,collider,abstract_abc,VI,ppp,gpt-4o,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,a
3,numeric,collider,abstract_abc,VII,ppp,claude-3-haiku-20240307,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
3,CoT,collider,abstract_abc,VII,ppp,gpt-4o,0.0,50.0,abstract_reasoning,50.0,"We know that powerful C can be caused by either high A or strong B independently. Observing powerful C does not provide direct evidence for which of the two causes is present. Without additional information about the prevalence of high A or strong B in the systems, we can only assume that both are equally likely to be the cause of powerful C. Therefore, the likelihood of high A being present is 50%. This estimate assumes no prior knowledge about the distribution of high A and strong B in the systems. My confidence in this estimate is moderate, as it is based on the assumption of equal likelihood without additional data.",,Effect-Present Diagnostic Inference,b
3,numeric,collider,abstract_abc,VII,ppp,claude-3-7-sonnet-20250219,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
3,numeric,collider,abstract_abc,VII,ppp,claude-opus-4-20250514,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
3,numeric,collider,abstract_abc,VII,ppp,gpt-4.1-mini,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
3,numeric,collider,abstract_abc,VII,ppp,gpt-4o,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
3,numeric,collider,abstract_abc,VII,ppp,claude-sonnet-4-20250514,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
3,numeric,collider,abstract_abc,VII,ppp,o3,0.0,67.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
3,numeric,collider,abstract_abc,VII,ppp,gpt-4.1,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
3,numeric-conf,collider,abstract_abc,VII,ppp,gpt-4o,0.0,50.0,abstract_reasoning,50.0,,,Effect-Present Diagnostic Inference,b
3,numeric,collider,economy,VII,ppp,humans,,78.75,pilot_study,,,25.0,Effect-Present Diagnostic Inference,b
3,numeric,collider,abstract_abc,VII,ppp,claude-3-5-haiku-20241022,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
4,numeric,collider,abstract_abc,VII,ppp,claude-3-5-haiku-20241022,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
4,numeric,collider,abstract_abc,VII,ppp,gpt-4o,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
4,CoT,collider,abstract_abc,VII,ppp,gpt-4o,0.0,50.0,abstract_reasoning,50.0,"We know that powerful C can be caused by either high A or strong B independently. Observing powerful C does not provide direct evidence about whether high A or strong B is present, as either could be the cause. Without additional information about the prevalence of high A or strong B in the systems, we cannot favor one cause over the other. Therefore, the likelihood of strong B being present is 50%, assuming no prior information about the distribution of A and B. My confidence in this estimate is moderate, as it is based on the assumption of equal likelihood without additional data.",,Effect-Present Diagnostic Inference,b
4,numeric-conf,collider,abstract_abc,VII,ppp,gpt-4o,0.0,50.0,abstract_reasoning,50.0,,,Effect-Present Diagnostic Inference,b
4,numeric,collider,abstract_abc,VII,ppp,o3,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
4,numeric,collider,abstract_abc,VII,ppp,claude-3-7-sonnet-20250219,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
4,numeric,collider,abstract_abc,VII,ppp,gpt-4.1,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
4,numeric,collider,abstract_abc,VII,ppp,claude-3-haiku-20240307,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
4,numeric,collider,abstract_abc,VII,ppp,claude-opus-4-20250514,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
4,numeric,collider,abstract_abc,VII,ppp,gpt-4.1-mini,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
4,numeric,collider,abstract_abc,VII,ppp,claude-sonnet-4-20250514,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,b
4,numeric,collider,economy,VII,ppp,humans,,78.75,pilot_study,,,69.0,Effect-Present Diagnostic Inference,b
5,numeric,collider,abstract_abc,VIII,ppp,claude-3-7-sonnet-20250219,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
5,numeric,collider,abstract_abc,VIII,ppp,gpt-4.1,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
5,numeric,collider,economy,VIII,ppp,humans,,76.875,pilot_study,,,58.0,Effect-Present Diagnostic Inference,c
5,numeric,collider,abstract_abc,VIII,ppp,gpt-4o,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
5,numeric,collider,abstract_abc,VIII,ppp,claude-sonnet-4-20250514,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
5,numeric,collider,abstract_abc,VIII,ppp,claude-3-5-haiku-20241022,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
5,CoT,collider,abstract_abc,VIII,ppp,gpt-4o,0.0,95.0,abstract_reasoning,90.0,"We observe powerful C and weak B. Since strong B is not present, it cannot be the cause of powerful C. The only remaining cause for powerful C is high A, as high A can independently cause powerful C. Therefore, given the observation of powerful C and the absence of strong B, it is highly likely that high A is present.",,Effect-Present Diagnostic Inference,c
5,numeric,collider,abstract_abc,VIII,ppp,claude-3-haiku-20240307,0.0,75.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
5,numeric,collider,abstract_abc,VIII,ppp,gpt-4.1-mini,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
5,numeric,collider,abstract_abc,VIII,ppp,o3,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
5,numeric-conf,collider,abstract_abc,VIII,ppp,gpt-4o,0.0,90.0,abstract_reasoning,85.0,,,Effect-Present Diagnostic Inference,c
5,numeric,collider,abstract_abc,VIII,ppp,claude-opus-4-20250514,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
6,numeric,collider,abstract_abc,VIII,ppp,claude-opus-4-20250514,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
6,numeric-conf,collider,abstract_abc,VIII,ppp,gpt-4o,0.0,100.0,abstract_reasoning,100.0,,,Effect-Present Diagnostic Inference,c
6,numeric,collider,abstract_abc,VIII,ppp,claude-3-haiku-20240307,0.0,50.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
6,numeric,collider,abstract_abc,VIII,ppp,claude-sonnet-4-20250514,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
6,numeric,collider,abstract_abc,VIII,ppp,gpt-4.1,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
