id,prompt_category,graph,domain,task,cntbl_cond,subject,temperature,likelihood,confidence,experiment_name,human_subj_id,reasoning_type,RW17_label
1,numeric,collider,economy,VI,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,a
1,numeric-conf,collider,abc,VI,ppp,claude-3-opus,0.0,50.0,20.0,pilot_study,,Effect-Present Diagnostic Inference,a
1,numeric-conf,collider,abc,VI,ppp,gemini-1.5-pro,0.0,50.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
1,numeric,collider,economy,VI,ppp,humans,,67.5,,pilot_study,25.0,Effect-Present Diagnostic Inference,a
2,numeric-conf,collider,abc,VI,ppp,gemini-1.5-pro,0.0,50.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
2,numeric,collider,economy,VI,ppp,humans,,67.5,,pilot_study,0.0,Effect-Present Diagnostic Inference,a
2,numeric-conf,collider,abc,VI,ppp,claude-3-opus,0.0,50.0,20.0,pilot_study,,Effect-Present Diagnostic Inference,a
2,numeric,collider,economy,VI,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,a
3,numeric,collider,economy,VII,ppp,humans,,78.75,,pilot_study,25.0,Effect-Present Diagnostic Inference,b
3,numeric-conf,collider,abc,VII,ppp,gemini-1.5-pro,0.0,75.0,70.0,pilot_study,,Effect-Present Diagnostic Inference,b
3,numeric-conf,collider,abc,VII,ppp,claude-3-opus,0.0,50.0,20.0,pilot_study,,Effect-Present Diagnostic Inference,b
3,numeric,collider,economy,VII,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,b
4,numeric,collider,economy,VII,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,b
4,numeric,collider,economy,VII,ppp,humans,,78.75,,pilot_study,58.0,Effect-Present Diagnostic Inference,b
4,numeric-conf,collider,abc,VII,ppp,gemini-1.5-pro,0.0,75.0,70.0,pilot_study,,Effect-Present Diagnostic Inference,b
4,numeric-conf,collider,abc,VII,ppp,claude-3-opus,0.0,50.0,20.0,pilot_study,,Effect-Present Diagnostic Inference,b
5,numeric,collider,economy,VIII,ppp,humans,,76.875,,pilot_study,0.0,Effect-Present Diagnostic Inference,c
5,numeric,collider,economy,VIII,ppp,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,c
5,numeric-conf,collider,abc,VIII,ppp,claude-3-opus,0.0,50.0,20.0,pilot_study,,Effect-Present Diagnostic Inference,c
5,numeric-conf,collider,abc,VIII,ppp,gemini-1.5-pro,0.0,50.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,c
6,numeric,collider,economy,VIII,ppp,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,c
6,numeric-conf,collider,abc,VIII,ppp,claude-3-opus,0.0,90.0,80.0,pilot_study,,Effect-Present Diagnostic Inference,c
6,numeric-conf,collider,abc,VIII,ppp,gemini-1.5-pro,0.0,100.0,100.0,pilot_study,,Effect-Present Diagnostic Inference,c
6,numeric,collider,economy,VIII,ppp,humans,,76.875,,pilot_study,69.0,Effect-Present Diagnostic Inference,c
7,numeric,collider,economy,IV,ppp,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,d
7,numeric-conf,collider,abc,IV,ppp,claude-3-opus,0.0,50.0,20.0,pilot_study,,Conditional Independence,d
7,numeric,collider,economy,IV,ppp,humans,,57.5,,pilot_study,0.0,Conditional Independence,d
7,numeric-conf,collider,abc,IV,ppp,gemini-1.5-pro,0.0,50.0,50.0,pilot_study,,Conditional Independence,d
8,numeric,collider,economy,IV,ppp,humans,,57.5,,pilot_study,58.0,Conditional Independence,d
8,numeric-conf,collider,abc,IV,ppp,claude-3-opus,0.0,50.0,20.0,pilot_study,,Conditional Independence,d
