id,prompt_category,graph,domain,task,cntbl_cond,subject,temperature,likelihood,experiment_name,human_subj_id,reasoning_type,RW17_label
1,single_numeric_response,collider,economy,VI,ppp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
1,single_numeric_response,collider,economy,VI,ppp,humans,,67.5,pilot_study,0.0,Effect-Present Diagnostic Inference,a
2,single_numeric_response,collider,economy,VI,ppp,humans,,67.5,pilot_study,69.0,Effect-Present Diagnostic Inference,a
2,single_numeric_response,collider,economy,VI,ppp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
3,single_numeric_response,collider,economy,VII,ppp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,b
3,single_numeric_response,collider,economy,VII,ppp,humans,,78.75,pilot_study,58.0,Effect-Present Diagnostic Inference,b
4,single_numeric_response,collider,economy,VII,ppp,humans,,78.75,pilot_study,58.0,Effect-Present Diagnostic Inference,b
4,single_numeric_response,collider,economy,VII,ppp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,b
5,single_numeric_response,collider,economy,VIII,ppp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,c
5,single_numeric_response,collider,economy,VIII,ppp,humans,,76.875,pilot_study,25.0,Effect-Present Diagnostic Inference,c
6,single_numeric_response,collider,economy,VIII,ppp,humans,,76.875,pilot_study,69.0,Effect-Present Diagnostic Inference,c
6,single_numeric_response,collider,economy,VIII,ppp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,c
7,single_numeric_response,collider,economy,IV,ppp,humans,,57.5,pilot_study,0.0,Conditional Independence,d
7,single_numeric_response,collider,economy,IV,ppp,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,d
8,single_numeric_response,collider,economy,IV,ppp,humans,,57.5,pilot_study,69.0,Conditional Independence,d
8,single_numeric_response,collider,economy,IV,ppp,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,d
9,single_numeric_response,collider,economy,V,ppp,humans,,50.625,pilot_study,69.0,Conditional Independence,e
9,single_numeric_response,collider,economy,V,ppp,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,e
10,single_numeric_response,collider,economy,V,ppp,humans,,50.625,pilot_study,69.0,Conditional Independence,e
10,single_numeric_response,collider,economy,V,ppp,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,e
11,single_numeric_response,collider,economy,IX,ppp,humans,,47.5,pilot_study,0.0,Effect-Absent Diagnostic Inference,f
11,single_numeric_response,collider,economy,IX,ppp,gpt-4o,0.0,50.0,pilot_study,,Effect-Absent Diagnostic Inference,f
12,single_numeric_response,collider,economy,IX,ppp,gpt-4o,0.0,50.0,pilot_study,,Effect-Absent Diagnostic Inference,f
12,single_numeric_response,collider,economy,IX,ppp,humans,,47.5,pilot_study,58.0,Effect-Absent Diagnostic Inference,f
13,single_numeric_response,collider,economy,X,ppp,humans,,42.5,pilot_study,69.0,Effect-Absent Diagnostic Inference,g
13,single_numeric_response,collider,economy,X,ppp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,g
14,single_numeric_response,collider,economy,X,ppp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,g
14,single_numeric_response,collider,economy,X,ppp,humans,,42.5,pilot_study,69.0,Effect-Absent Diagnostic Inference,g
15,single_numeric_response,collider,economy,XI,ppp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,h
15,single_numeric_response,collider,economy,XI,ppp,humans,,52.5,pilot_study,25.0,Effect-Absent Diagnostic Inference,h
16,single_numeric_response,collider,economy,XI,ppp,humans,,52.5,pilot_study,69.0,Effect-Absent Diagnostic Inference,h
16,single_numeric_response,collider,economy,XI,ppp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,h
17,single_numeric_response,collider,economy,I,ppp,humans,,40.0,pilot_study,69.0,Predictive Inference,i
17,single_numeric_response,collider,economy,I,ppp,gpt-4o,0.0,0.0,pilot_study,,Predictive Inference,i
18,single_numeric_response,collider,economy,II,ppp,gpt-4o,0.0,70.0,pilot_study,,Predictive Inference,j
18,single_numeric_response,collider,economy,II,ppp,humans,,80.625,pilot_study,69.0,Predictive Inference,j
19,single_numeric_response,collider,economy,II,ppp,humans,,80.625,pilot_study,58.0,Predictive Inference,j
