s;domain;diagram;attr.polarity;letter.type;study.type;trial;rt;y;type;aggr.type;betw.factors;task
0;economy;a;ppp;D;Y|X=1;0;38,788;65;CB|CA=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
0;economy;a;ppp;J;Z|X=0,Y=1;1;16,532;80;E|CA=0,CB=1;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
0;economy;a;ppp;B;X|Z=1;2;10,979;90;CA|E=1;Ci|E=1;domain, attr.polarity, diagram, letter.type;c
0;economy;a;ppp;F;X|Y=1,Z=0;3;17,956;55;CA|E=0,CB=1;Ci|E=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
0;economy;a;ppp;C;Y|X=0,Z=1;4;9,54;60;CB|E=1,CA=0;Ci|E=1,Cj=0;domain, attr.polarity, diagram, letter.type;c
0;economy;a;ppp;K;Z|X=1,Y=1;5;8,836;90;E|CA=1,CB=1;E|CA=1,CB=1;domain, attr.polarity, diagram, letter.type;c
0;economy;a;ppp;H;X|Y=0,Z=0;6;14,443;75;CA|E=0,CB=0;Ci|E=0,Cj=0;domain, attr.polarity, diagram, letter.type;c
0;economy;a;ppp;E;Y|X=0;7;34,548;55;CB|CA=0;Ci|Cj=0;domain, attr.polarity, diagram, letter.type;c
0;economy;a;ppp;A;Y|X=1,Z=1;8;7,212;80;CB|E=1,CA=1;Ci|E=1,Cj=1;domain, attr.polarity, diagram, letter.type;c
0;economy;a;ppp;D;X|Y=1;9;9,116;55;CA|CB=1;Ci|Cj=1;domain, attr.polarity, diagram, letter.type;c
0;economy;a;ppp;G;Y|Z=0;10;8,948;60;CB|E=0;Ci|E=0;domain, attr.polarity, diagram, letter.type;c
0;economy;a;ppp;J;Z|X=1,Y=0;11;8,492;80;E|CA=1,CB=0;E|Ci=0,Cj=1;domain, attr.polarity, diagram, letter.type;c
