s;domain;diagram;attr.polarity;letter.type;study.type;b;t;rt;y;type;aggr.type;betw.factors;task
2;weather;A;ppp;D;XorY=1,Z=?(X?);1;1;23,18;80;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;I;p(C|0E)/v00;1;2;11,26;20;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;K;p(C|2E)/v11;1;3;7,91;100;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;H;XorY=0,Z=0(Y?);1;4;25,1;25;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;E;XorY=0,Z=?(Y?);1;5;10,6;5;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;H;XorY=0,Z=0(X?);1;6;8,52;20;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;F;XorY=1,Z=0(X?);1;7;10,27;20;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;B;XorY=?,Z=1(X?);1;8;7,91;60;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;G;XorY=?,Z=0(X?);1;9;9,11;35;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;A;XorY=1,Z=1(Y?);1;10;5,72;75;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;C;XorY=0,Z=1(X?);1;11;9,77;60;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;C;XorY=0,Z=1(Y?);1;12;9,51;65;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;J;p(C|1E)[X]/v10;1;13;7,03;55;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;B;XorY=?,Z=1(Y?);1;14;8,67;65;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;F;XorY=1,Z=0(Y?);1;15;5,66;50;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;G;XorY=?,Z=0(Y?);1;16;4,45;40;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;A;XorY=1,Z=1(X?);1;17;9,23;75;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;J;p(C|1E)[Y]/v01;1;18;5,76;50;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;D;XorY=1,Z=?(Y?);1;19;6,65;55;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
2;weather;A;ppp;E;XorY=0,Z=?(X?);1;20;5,11;50;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;C;XorY=0,Z=1(Y?);1;1;18,07;0;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;G;XorY=?,Z=0(Y?);1;2;22,14;25;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;K;p(C|2E)/v11;1;3;8,95;75;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;G;XorY=?,Z=0(X?);1;4;9,39;30;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;C;XorY=0,Z=1(X?);1;5;10,93;70;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;E;XorY=0,Z=?(Y?);1;6;10,72;20;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;J;p(C|1E)[X]/v10;1;7;9,33;70;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
6;weather;B;mpm;H;XorY=0,Z=0(Y?);1;8;5,5;25;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
