agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,rmse_task,r2_task,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
claude-3-5-haiku-20241022,numeric,,0.063434325158596,huber,0.2729977965354919,0.3157017827033996,0.1149640317724342,0.1234207194624987,0.5809402034257112,0.0623703330755233,-547.4194805316222,-536.9775637615962,0.164287003322108,0.1350539460326685,0.2574833138841396,0.0935449149957568,0.0375736157099405,-0.002172928867918,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,4,4,2025-08-31T13:31:30.497556+00:00,0.5121279954910278,0.6770604252815247,0.5121279954910278,0.6770604252815247,,,,,,,0.4838784635066986,0.373238742351532,0.4927954077720642,0.4241735935211181,0.4927954077720642,0.4241735935211181
claude-3-7-sonnet-20250219,numeric,,0.0311231408268213,huber,0.1009523198008537,0.1381718516349792,0.8460878667012302,0.0946489221174667,0.9271806386160636,0.0765615955926478,-944.0434105618104,-933.6014937917844,0.1392868984062442,0.1172097360094388,0.8422984194568413,0.0752510322336448,0.0743640793543873,0.0326058744029565,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:31:48.775485+00:00,0.5055516958236694,0.4468902945518493,0.5055516958236694,0.4468902945518493,,,,,,,0.5037974119186401,0.046441875398159,0.5437019467353821,0.8662164211273193,0.5437019467353821,0.8662164211273193
claude-3-haiku-20240307,numeric,,0.0513483770191669,huber,0.2283691763877868,0.2737100422382355,0.1100558185605068,0.1057695299133464,0.5266840744598988,0.0445078179240226,-615.9292604139541,-605.4873436439282,0.1275796481246501,0.0988783384814407,0.3113593067275804,0.0806203497558723,0.0064134962630994,-0.0064134962630994,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,4,4,2025-08-31T13:32:15.658094+00:00,0.5121279954910278,0.6840043663978577,0.5121279954910278,0.6840043663978577,,,,,,,0.4838784635066986,0.4629750549793243,0.4927954077720642,0.4037400484085083,0.4927954077720642,0.4037400484085083
claude-3-opus,numeric,,0.0208089388906955,huber,0.1480476409196853,0.1983131915330886,0.4682890690642937,0.0454688568918233,0.9551274504346776,0.0230464443564415,-770.59570558896,-760.153788818934,0.0684532395798814,0.0499371519594481,0.8982953796531681,0.0468201544546751,0.0363632763877059,0.0030819204720583,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:32:33.485334+00:00,0.5055516958236694,0.4927535057067871,0.5055516958236694,0.4927535057067871,,,,,,,0.5037974119186401,0.3478355407714844,0.5437019467353821,0.5988994836807251,0.5437019467353821,0.5988994836807251
claude-opus-4-1-20250805,numeric,,0.0270360205322504,huber,0.1211163774132728,0.143446609377861,0.8011831695662845,0.1022394843063318,0.90335773085765,0.0869565206031276,-277.5016935043162,-270.63031518087104,0.1548444355291118,0.1247496807213985,0.7783227964042814,0.091729582874002,0.1048386978380608,0.0479466170975656,11,73,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_alnum_10_overloaded_de,1,1,2025-08-31T13:32:50.251700+00:00,0.4715025722980499,0.4144032597541809,0.4715025722980499,0.4144032597541809,,,,,,,0.494641900062561,0.1026200205087661,0.4953719675540924,0.7960110306739807,0.4953719675540924,0.7960110306739807
claude-opus-4-20250514,numeric,,0.0314573235809803,huber,0.1057217940688133,0.1553453356027603,0.7987111437405033,0.0847002701383665,0.9379412547063884,0.0788354323378631,-254.69465824060848,-247.9491725144604,0.1292379710486536,0.1142596102122104,0.8555180233519081,0.0603920080385341,0.1142596102122104,0.0708113191705761,11,70,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_alnum_10_overloaded_de,1,1,2025-08-31T13:32:58.562598+00:00,0.4715025722980499,0.4377857446670532,0.4715025722980499,0.4377857446670532,,,,,,,0.494641900062561,0.1352912485599517,0.4953719675540924,0.8819339871406555,0.4953719675540924,0.8819339871406555
claude-sonnet-4-20250514,numeric,,0.0271293707191944,huber,0.1305598467588424,0.1693038940429687,0.7092065890592243,0.0966946817898046,0.8988710841687025,0.0871847864240408,-846.5088150883257,-836.0668983182998,0.1523748163467047,0.1246744185144251,0.7488711704884194,0.087603504637554,0.1016586817033363,0.056987806558609,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,1,1,2025-08-31T13:33:06.891758+00:00,0.4715025722980499,0.384662389755249,0.4715025722980499,0.384662389755249,,,,,,,0.494641900062561,0.1774144470691681,0.4953719675540924,0.7562060952186584,0.4953719675540924,0.7562060952186584
gemini-1.5-pro,numeric,,0.0337177440524101,huber,0.1489362567663192,0.2213650643825531,0.5947410077124824,0.078554486268836,0.9279034847710756,0.0420846067368984,-717.8121684481224,-707.3702516780965,0.1119675660680263,0.0906986758564457,0.8535272743009692,0.0656542919319463,0.0345531077095956,0.0095115708582329,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:33:29.014520+00:00,0.5055516958236694,0.4651883840560913,0.5055516958236694,0.4651883840560913,,,,,,,0.5037974119186401,0.1943506002426147,0.5437019467353821,0.787874698638916,0.5437019467353821,0.787874698638916
gemini-2.5-flash,numeric,,0.0309202652424573,huber,0.0163487680256366,0.02788014896214,0.9947379541452486,0.0119614265222169,0.9990517549772578,0.0012465500387183,-1626.4071912894358,-1616.1191544025723,0.0190233509595797,0.0155167328816793,0.9976015612060808,0.0110054024192645,0.0022945138001403,-0.0018984536129094,11,228,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,3,3,2025-08-31T13:33:53.910478+00:00,0.5055516958236694,0.4957819581031799,0.5055516958236694,0.4957819581031799,,,,,,,0.5037974119186401,0.0166246574372053,0.5437019467353821,0.9867414832115172,0.5437019467353821,0.9867414832115172
gemini-2.5-flash-lite,numeric,,0.0495847128331661,huber,0.2356841713190078,0.302199512720108,0.3444300705540218,0.1374231921682554,0.7571720996916881,0.0919591881334781,-568.4005888817542,-557.9586721117282,0.1931581464404253,0.1451592156381318,0.5202614936416723,0.1274318313908387,0.1103483763608065,0.0393896301587422,11,240,noisy_or,3,0.1,lbfgs,1,abstract_overloaded_lorem_de,collider,0.0,abs_all_10_overloaded_de;abs_alnum_10_overloaded_de;abs_num_symb_10_overloaded_de,1,1,2025-08-31T13:34:37.830219+00:00,0.4715025722980499,0.4244760572910309,0.4715025722980499,0.4244760572910309,,,,,,,0.494641900062561,0.2983381450176239,0.4953719675540924,0.6241680383682251,0.4953719675540924,0.6241680383682251
