agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
gpt-4o,numeric,abstract_abc,0.0698392838239669,huber,0.2126771509647369,0.3141860067844391,0.4150350358751085,0.1100775681436061,-179.2432218526464,-172.09714194862477,0.2971562257402564,0.2302384566177021,0.2555151732057393,0.1878618524088718,0.1008116088130257,-0.007461588491093,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_abc,130,7,2025-08-18T22:10:09.186004+00:00,0.4842737317085266,0.4473546743392944,0.4842737317085266,0.4473546743392944,0.0927602797746658,-1.549609661102295,0.4338200390338897,2.9789061546325684,0.4338200390338897,2.9789061546325684,,,,,,
o3,numeric,abstract_abc,0.041827268898487,huber,0.0838675051927566,0.1102438494563102,0.9003028435581926,0.072529948502779,-346.8096911094582,-339.66361120543655,0.1288129366716781,0.0958217093890363,0.8672303870299289,0.0860870063583629,0.0722058768976818,0.0002009105953303,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_abc,130,7,2025-08-18T22:10:17.070667+00:00,0.4842737317085266,0.4802705943584442,0.4842737317085266,0.4802705943584442,0.0927602797746658,-1.264155626296997,0.4338200390338897,2.990840435028076,0.4338200390338897,2.990840435028076,,,,,,
gpt-4o,numeric,abstract_quintuplets,0.0648532733321189,huber,0.1791937798261642,0.2785939276218414,0.5219121143630887,0.0874149572104215,-198.4800031374928,-191.33392323347115,0.2287530711101382,0.1828901452774351,0.5661372798204223,0.137401463975893,0.129340015690435,-0.0143634903837334,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_quintuplets,130,7,2025-08-18T22:10:24.513175+00:00,0.4842737317085266,0.4494422078132629,0.4842737317085266,0.4494422078132629,0.0927602797746658,-1.4917635917663574,0.4338200390338897,2.9858641624450684,0.4338200390338897,2.9858641624450684,,,,,,
o3,numeric,abstract_quintuplets,0.0405942797660827,huber,0.0866483598947525,0.1107135415077209,0.8957173434344274,0.0746650714427232,-346.12946060516066,-338.983380701139,0.1208140713569726,0.0948425118625164,0.8773820448058076,0.074839413289096,0.0651053682105107,0.0068839057873595,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_quintuplets,130,7,2025-08-18T22:10:32.070179+00:00,0.4842737317085266,0.4673304557800293,0.4842737317085266,0.4673304557800293,0.0927602797746658,-1.292473554611206,0.4338200390338897,2.99100112915039,0.4338200390338897,2.99100112915039,,,,,,
gpt-4o,numeric,abstract_triplets,0.0638275220990181,huber,0.1705564260482788,0.2616461217403412,0.5770890734835952,0.0947224501520395,-208.52197060968447,-201.37589070566284,0.209340908657655,0.1664830134673552,0.6558112752583443,0.1269134439862108,0.106983489610932,-0.0141400383277372,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets,130,7,2025-08-18T22:10:39.599523+00:00,0.4842737317085266,0.4389870166778564,0.4842737317085266,0.4389870166778564,0.0927602797746658,-1.4403423070907593,0.4338200390338897,2.9919440746307373,0.4338200390338897,2.9919440746307373,,,,,,
o3,numeric,abstract_triplets,0.0378348194062709,huber,0.0936011523008346,0.1175934895873069,0.8743747821856743,0.0819274432957172,-336.4834591064837,-329.33737920246205,0.1268374759289828,0.106367869187485,0.8564487591272849,0.0690914010897836,0.065045715868473,0.0052375431223349,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets,130,7,2025-08-18T22:10:47.252625+00:00,0.4842737317085266,0.4660196304321289,0.4842737317085266,0.4660196304321289,0.0927602797746658,-1.372804880142212,0.4338200390338897,2.989577293395996,0.4338200390338897,2.989577293395996,,,,,,
gpt-4o,numeric,abstract_triplets_symb,0.0603289306163787,huber,0.1544063687324524,0.2438887953758239,0.6189357383467292,0.0825172916054725,-219.76686432934028,-212.62078442531865,0.1821503405909764,0.1387298649007624,0.7312382704022458,0.1180371600896299,0.0930552834814245,-0.0137662264433774,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets_symb,130,7,2025-08-18T22:10:54.707804+00:00,0.4842737317085266,0.4707698225975036,0.4842737317085266,0.4707698225975036,0.0927602797746658,-1.5079519748687744,0.4338200390338897,2.988248109817505,0.4338200390338897,2.988248109817505,,,,,,
o3,numeric,abstract_triplets_symb,0.042359285056591,huber,0.0979966297745704,0.1178931444883346,0.8835707889631066,0.0645519122481346,-336.07626296103456,-328.9301830570129,0.1307025956389299,0.1066283084181222,0.8609589751627128,0.0755881759975953,0.0678891426731239,0.0113004294173284,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_triplets_symb,130,7,2025-08-18T22:11:02.189866+00:00,0.4842737317085266,0.4542179107666015,0.4842737317085266,0.4542179107666015,0.0927602797746658,-1.4415830373764038,0.4338200390338897,2.9916679859161377,0.4338200390338897,2.9916679859161377,,,,,,
gpt-4o,numeric,abstract_xyz,0.0679692551493644,huber,0.1872357130050659,0.2602332234382629,0.5985954847974199,0.1047913413494825,-209.3883252548539,-202.24224535083223,0.2168851004697469,0.1603913361375982,0.6547192863849288,0.1459923494494427,0.1308817863464355,-0.0292898741635409,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_xyz,130,7,2025-08-18T22:11:09.638925+00:00,0.4842737317085266,0.3794929385185241,0.4842737317085266,0.3794929385185241,0.0927602797746658,-1.5784084796905518,0.4338200390338897,2.9931094646453857,0.4338200390338897,2.9931094646453857,,,,,,
o3,numeric,abstract_xyz,0.0405264496803283,huber,0.093560479581356,0.1162686869502067,0.8839094644181398,0.0781399819999933,-338.29623769234377,-331.15015778832213,0.1279830994654691,0.0996382491019639,0.861321905439387,0.0803236768623246,0.0640286628901958,0.0033533409644257,11,80,logistic,3,0.1,lbfgs,2,abstract_reasoning,collider,0.0,abstract_xyz,130,7,2025-08-18T22:11:17.324102+00:00,0.4842737317085266,0.4604119956493377,0.4842737317085266,0.4604119956493377,0.0927602797746658,-1.3548487424850464,0.4338200390338897,2.9929215908050537,0.4338200390338897,2.9929215908050537,,,,,,
