agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2,rmse_task,r2_task
claude-3-5-haiku-20241022,CoT,,0.0260023958981037,huber,0.1587488204240799,0.1974009424448013,0.4065507085244975,0.0299197129905223,-772.8088182785503,-762.3669015085244,,,,,,,,240,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-25T19:19:49.214053+00:00,0.5055516958236694,0.5825710892677307,0.5055516958236694,0.5825710892677307,0.0455659590661525,-0.9283602833747864,0.5204474329948425,1.3646926879882812,0.5204474329948425,1.3646926879882812,,,,,,,,
claude-3-7-sonnet-20250219,CoT,,0.0320193991065025,huber,0.0743480026721954,0.0927895754575729,0.9102278888343188,0.055834099650383,-1135.1620829335495,-1124.7201661635236,,,,,,,,240,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-25T19:19:51.689839+00:00,0.5055516958236694,0.4418631196022033,0.5055516958236694,0.4418631196022033,0.0455659590661525,-1.8444825410842896,0.5204474329948425,2.9999938011169434,0.5204474329948425,2.9999938011169434,,,,,,,,
claude-3-haiku-20240307,CoT,,0.0385207943618297,huber,0.187283381819725,0.2288680374622345,0.1423705451280357,0.0145521432161331,-701.8126585204922,-691.3707417504662,,,,,,,,240,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-25T19:19:57.475367+00:00,0.5055516958236694,0.6946945786476135,0.5055516958236694,0.6946945786476135,0.0455659590661525,0.1482058763504028,0.5204474329948425,0.8106493949890137,0.5204474329948425,0.8106493949890137,,,,,,,,
claude-3-opus,CoT,,0.0165689028799533,huber,0.1169637441635131,0.1520672142505645,0.5453166431724932,0.0225129395723342,-898.0476868391289,-887.605770069103,,,,,,,,240,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-25T19:19:59.543595+00:00,0.5055516958236694,0.5078556537628174,0.5055516958236694,0.5078556537628174,0.0455659590661525,-0.9754298329353333,0.5204474329948425,1.4554359912872314,0.5204474329948425,1.4554359912872314,,,,,,,,
claude-opus-4-20250514,CoT,,0.0340629927814006,huber,0.0556068047881126,0.0741688162088394,0.948645658241718,0.0555952310562133,-98.05646088623458,-95.0692640655726,,,,,,,,20,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_alnum_10,3,3,2025-08-25T19:20:01.252021+00:00,0.5055516958236694,0.4659096300601959,0.5055516958236694,0.4659096300601959,0.0455659590661525,-1.2644894123077393,0.5204474329948425,2.9999990463256836,0.5204474329948425,2.9999990463256836,,,,,,,,
claude-sonnet-4-20250514,CoT,,0.0210790000855922,huber,0.0691616907715797,0.0886222273111343,0.8908839592949658,0.0413175366818905,-1157.2188316175009,-1146.7769148474747,,,,,,,,240,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-25T19:20:02.692568+00:00,0.5055516958236694,0.4572088420391083,0.5055516958236694,0.4572088420391083,0.0455659590661525,-1.2347851991653442,0.5204474329948425,2.6801986694335938,0.5204474329948425,2.6801986694335938,,,,,,,,
claude-3-5-haiku-20241022,CoT,,0.0260023958981037,huber,0.1587488204240799,0.1974009424448013,0.4065507085244975,0.0299197129905223,-772.8088182785503,-762.3669015085244,0.1251661550118306,0.0909360921744144,0.6256575578168091,0.0860069386764349,0.0711206298885923,-0.016627237291047,11.0,240,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-25T19:20:33.073774+00:00,0.5055516958236694,0.5825710892677307,0.5055516958236694,0.5825710892677307,0.0455659590661525,-0.9283602833747864,0.5204474329948425,1.3646926879882812,0.5204474329948425,1.3646926879882812,,,,,,,,
claude-3-7-sonnet-20250219,CoT,,0.027943355962634,huber,0.074347861111164,0.0927895009517669,0.9102280338449944,0.0558340966701507,-1135.1624706106336,-1124.7205538406076,0.0762531525799011,0.0642447351235331,0.9432101701787996,0.0410750202346968,0.0310478887503797,0.0089365491090398,11.0,240,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,8,8,2025-08-25T19:20:56.441265+00:00,0.510697066783905,0.4418631196022033,0.510697066783905,0.4418631196022033,0.4291347861289978,-1.844477653503418,0.7355052828788757,2.999998092651367,0.7355052828788757,2.999998092651367,,,,,,,,
claude-3-haiku-20240307,CoT,,0.0385207943618297,huber,0.187283381819725,0.2288680374622345,0.1423705451280357,0.0145521432161331,-701.8126585204922,-691.3707417504662,0.0540860122403321,0.0391754403258815,0.77261358620457,0.0372905027498243,0.0082076780723803,-0.0040456056594848,11.0,240,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-25T19:22:11.185008+00:00,0.5055516958236694,0.6946945786476135,0.5055516958236694,0.6946945786476135,0.0455659590661525,0.1482058763504028,0.5204474329948425,0.8106493949890137,0.5204474329948425,0.8106493949890137,,,,,,,,
claude-3-opus,CoT,,0.0165689028799533,huber,0.1169637441635131,0.1520672142505645,0.5453166431724932,0.0225129395723342,-898.0476868391289,-887.605770069103,0.0833690065644098,0.0713138568581956,0.8294867617018852,0.0431824625924159,0.0249788771073023,-0.0116380658113595,11.0,240,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-25T19:22:34.521092+00:00,0.5055516958236694,0.5078556537628174,0.5055516958236694,0.5078556537628174,0.0455659590661525,-0.9754298329353333,0.5204474329948425,1.4554359912872314,0.5204474329948425,1.4554359912872314,,,,,,,,
claude-opus-4-20250514,CoT,,0.0276012457907199,huber,0.0556067526340484,0.0741688162088394,0.948645654763998,0.0555950738489627,-98.05645953183304,-95.06926271117104,0.0753118302068292,0.0588404229870348,0.9438414496670958,0.0470071951068036,0.02392310890736,0.0027436048018209,11.0,20,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_alnum_10,8,8,2025-08-25T19:22:59.337047+00:00,0.510697066783905,0.4659092128276825,0.510697066783905,0.4659092128276825,0.4291347861289978,-1.264482021331787,0.7355052828788757,2.9999990463256836,0.7355052828788757,2.9999990463256836,,,,,,,,
claude-sonnet-4-20250514,CoT,,0.0168273877352476,huber,0.0691613256931305,0.0886222273111343,0.8908839592949658,0.0413180015981197,-1157.2188316175009,-1146.7769148474747,0.077147546910515,0.0631247293903972,0.9202954531707064,0.0443510150244528,0.0310465728107726,-0.0135205296268968,11.0,240,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,8,8,2025-08-25T19:23:18.889185+00:00,0.510697066783905,0.4572146236896515,0.510697066783905,0.4572146236896515,0.4291347861289978,-1.234729886054993,0.7355052828788757,2.6801540851593018,0.7355052828788757,2.6801540851593018,,,,,,,,
gemini-1.5-pro,CoT,,0.0270236954092979,huber,0.0917863026261329,0.1341949552297592,0.8162809807465135,0.0247238468378782,-958.0616201472176,-947.6197033771916,0.0763872613144197,0.0599084349292697,0.9349865850583632,0.0473919098100393,0.0315291313510952,-0.0178936917673457,11.0,240,logistic,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,8,8,2025-08-25T19:24:02.589552+00:00,0.510697066783905,0.4424627125263214,0.510697066783905,0.4424627125263214,0.4291347861289978,-1.5074104070663452,0.7355052828788757,2.999994993209839,0.7355052828788757,2.999994993209839,,,,,,,,
