agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2,rmse_task,r2_task
gpt-5-mini-v_low-r_medium,numeric,,0.0261721480637788,huber,0.0536319650709629,0.0708929747343063,0.9598319344771392,0.0058034339919686,-1264.3602609280706,-1253.9183441580446,0.0494806652406382,0.0439098800989714,0.9811825303685908,0.0228091793440722,0.0050139238211241,-0.0002375260582476,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T22:09:36.200377+00:00,0.5055516958236694,0.4624033570289612,0.5055516958236694,0.4624033570289612,,,,,,,0.5037974119186401,0.0342520661652088,0.5437019467353821,0.9272831678390504,0.5437019467353821,0.9272831678390504,,
gpt-5-mini-v_low-r_medium,numeric-conf,,0.0211298819631338,huber,0.0750597044825553,0.0888087898492813,0.9213796253861544,0.0118039783090353,-1156.2094411678604,-1145.7675243978344,0.0849110180300383,0.0710520529385769,0.93047310086096,0.046491792352104,0.0471154553420615,0.00598732928435,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T22:12:46.747936+00:00,0.5055516958236694,0.4219236373901367,0.5055516958236694,0.4219236373901367,,,,,,,0.5037974119186401,0.0842164829373359,0.5437019467353821,0.857154369354248,0.5437019467353821,0.857154369354248,,
gpt-5-mini-v_low-r_medium,numeric,,0.0265846084803342,huber,0.0527030639350414,0.0705464333295822,0.9602236825456996,0.0041207762435078,-1264.712403392938,-1250.78984769957,0.0595877911869861,0.0509437429498542,0.9727099244153812,0.0309101910832501,0.0108961483971639,0.0028835309590354,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T22:18:21.198275+00:00,0.5055516958236694,0.4620842933654785,0.5055516958236694,0.4620842933654785,,,,,,,0.5037974119186401,0.0360527075827121,0.5437019467353821,0.9371110796928406,0.4951467514038086,0.9102344512939452,,
gpt-5-mini-v_low-r_medium,numeric-conf,,0.0209209490567445,huber,0.0747827589511871,0.088768646121025,0.9214506869082416,0.0102083526551723,-1154.4264647773364,-1140.5039090839684,0.1015670461413202,0.0836616207704399,0.9005212294787178,0.0575899129356536,0.0575779644557923,0.0156928653518358,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:22:37.535310+00:00,0.4715025722980499,0.4223812520503998,0.4715025722980499,0.4223812520503998,,,,,,,0.494641900062561,0.085587166249752,0.4953719675540924,0.8627245426177979,0.5772022008895874,0.8512608408927917,,
gpt-5-mini-v_low-r_medium,numeric,,0.0265827178955078,huber,0.0529106445610523,0.0702842846512794,0.9605187450900984,0.0022112457081675,-1264.499370510373,-1247.096175893663,0.0603841404770621,0.0497394439713521,0.971975624610466,0.0342378757310423,0.010520230689735,0.0025997485039812,11,240,noisy_or,5,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T22:29:54.565919+00:00,0.5055516958236694,0.4645804762840271,0.5004981160163879,0.5135449767112732,,,,,,,0.5037974119186401,0.0336842611432075,0.5437019467353821,0.9388765096664428,0.4951467514038086,0.9072434306144714,,
gpt-5-mini-v_low-r_medium,numeric-conf,,0.0209523756057024,huber,0.0739939957857132,0.0880085602402687,0.9227900817286724,0.0047986898571252,-1156.5541518207417,-1139.1509572040316,0.103709077952367,0.0808720455025181,0.8962810023522385,0.0649252270382536,0.0591884758616938,0.016263374595931,11,240,noisy_or,5,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:35:37.595048+00:00,0.4715025722980499,0.4276784360408783,0.5583577156066895,0.5318082571029663,,,,,,,0.494641900062561,0.0820955261588096,0.4953719675540924,0.8691365718841553,0.5772022008895874,0.8461219668388367,,
gpt-5-mini-v_low-r_medium,numeric,,0.0255398955196142,huber,0.0556044690310955,0.0783697515726089,0.950617195990151,0.0028757283464074,-1216.2322942799033,-1205.790377509877,0.0573041817106807,0.0464299196140332,0.9740782214417372,0.0335861847515481,0.0064807902728066,-0.0064807902728066,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-31T13:38:25.099295+00:00,0.5055516958236694,0.4650297164916992,0.5055516958236694,0.4650297164916992,,,,,,,0.5037974119186401,0.0562117509543895,0.5437019467353821,0.9319239258766174,0.5437019467353821,0.9319239258766174,0.0374061234584416,0.9889546975679064
gpt-5-mini-v_low-r_medium,CoT,,0.020455801859498,huber,0.0774733796715736,0.0950996503233909,0.9081312303014772,0.0063320693849515,-1113.9470606049404,-1103.530248583926,0.0897726580873675,0.060181534743506,0.920917230235065,0.0666131594805979,0.0514703717212046,0.0015374201158518,11,238,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-31T13:51:38.449350+00:00,0.5055516958236694,0.4164332747459411,0.5055516958236694,0.4164332747459411,,,,,,,0.5037974119186401,0.1067335158586502,0.5437019467353821,0.8587483167648315,0.5437019467353821,0.8587483167648315,0.0646451085716893,0.9589923391579324
gpt-5-mini-v_low-r_medium,numeric,,0.0259562227874994,huber,0.0540656968951225,0.0778237208724021,0.9513029298190806,0.0045897364616394,-1217.5883100170286,-1203.6657543236606,0.06520872259283,0.0509059266881509,0.9664336938758884,0.0407524739152025,0.0115057159012014,-0.0046257098335208,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-31T14:04:57.231072+00:00,0.5055516958236694,0.4644668698310852,0.5055516958236694,0.4644668698310852,,,,,,,0.5037974119186401,0.0588180385529994,0.5437019467353821,0.9442679286003112,0.4951467514038086,0.9084824323654176,0.0361460858361596,0.9896862937673488
gpt-5-mini-v_low-r_medium,CoT,,0.019998278468847275,huber,0.07661662250757217,0.09479019045829773,0.9087281490690754,0.0059334461678977775,-1113.4985151023368,-1099.609432407651,0.10239098866645296,0.07157350971679056,0.8971232643001104,0.07321985568760832,0.05969540901420532,0.014703232716594518,11,238,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-31T14:21:50.734071+00:00,0.4715025722980499,0.4153842329978943,0.4715025722980499,0.4153842329978943,,,,,,,0.49464190006256104,0.10263914614915848,0.4953719675540924,0.8422114253044128,0.5772022008895874,0.8761560320854187,0.0642745024358643,0.9594611797981722
