agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2,rmse_task,r2_task
gpt-5-mini-v_low-r_minimal,CoT,,0.015997864305973,huber,0.0777985528111457,0.1002097874879837,0.8669367314177592,0.0384566761553287,-1098.234912420583,-1087.792995650557,0.0802690149870622,0.0512240372823946,0.9181152349726918,0.061799779704179,0.0469433472915129,-0.00158144298828,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:07:24.196617+00:00,0.4715025722980499,0.3768964111804962,0.4715025722980499,0.3768964111804962,,,,,,,0.494641900062561,0.1291379481554031,0.4953719675540924,0.7375789880752563,0.4953719675540924,0.7375789880752563,,
gpt-5-mini-v_low-r_minimal,numeric,,0.0148546658456325,huber,0.1187452971935272,0.1633721590042114,0.5715837714417797,0.0303673893213272,-863.6277503912023,-853.1858336211764,0.0782904185251128,0.0608208371834321,0.8681196616646417,0.049297214902505,0.0295709994886861,0.017372083140142,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:10:03.857420+00:00,0.4715025722980499,0.4447237551212311,0.4715025722980499,0.4447237551212311,,,,,,,0.494641900062561,0.3523816764354706,0.4953719675540924,0.5924959778785706,0.4953719675540924,0.5924959778785706,,
gpt-5-mini-v_low-r_minimal,numeric-conf,,0.0182520858943462,huber,0.1416528224945068,0.1847100406885147,0.4519473620782892,0.0446564778685569,-804.7046628148189,-794.262746044793,0.1175070574053581,0.0817252106558193,0.6641663198104835,0.084432804544964,0.0753527325753009,0.0002073992924256,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:13:09.302713+00:00,0.4715025722980499,0.4207124710083008,0.4715025722980499,0.4207124710083008,,,,,,,0.494641900062561,0.3706161677837372,0.4953719675540924,0.5226390361785889,0.4953719675540924,0.5226390361785889,,
gpt-5-mini-v_low-r_minimal,CoT,,0.0157646797597408,huber,0.077243871986866,0.0985730588436126,0.8712478896501874,0.0362884670495987,-1104.1395016031045,-1090.2169459097363,0.1075878773255047,0.068229925993717,0.8528928037890061,0.0831855068284118,0.0652741854841059,0.0230331308913953,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:15:13.456082+00:00,0.4715025722980499,0.3707363307476043,0.4715025722980499,0.3707363307476043,,,,,,,0.494641900062561,0.1121894717216491,0.4953719675540924,0.677448034286499,0.5772022008895874,0.7741000056266785,,
gpt-5-mini-v_low-r_minimal,numeric,,0.0149243455380201,huber,0.1192995011806488,0.1633383631706237,0.5717610218296705,0.0321169361472129,-861.7270671136519,-847.8045114202839,0.1358123587860372,0.0921995507045225,0.603136272261372,0.0997208085051032,0.0626916508060513,0.0460469403230782,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:18:59.791937+00:00,0.4715025722980499,0.4434432983398437,0.4715025722980499,0.4434432983398437,,,,,,,0.494641900062561,0.3463477790355682,0.4953719675540924,0.5826182961463928,0.5772022008895874,0.6061540246009827,,
gpt-5-mini-v_low-r_minimal,numeric-conf,,0.0180925633758306,huber,0.1374343186616897,0.1778748929500579,0.4917579787193299,0.0096916005015373,-820.8039227267334,-806.8813670333654,0.0748594724815739,0.0636711383227146,0.8637018780511974,0.0393691092724902,0.0216560392307512,-0.0005094535784287,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:23:04.913653+00:00,0.4715025722980499,0.4047826826572418,0.4715025722980499,0.4047826826572418,,,,,,,0.494641900062561,0.2595064640045166,0.4953719675540924,0.3583820462226867,0.5772022008895874,0.7138346433639526,,
gpt-5-mini-v_low-r_minimal,CoT,,0.0157803576439619,huber,0.077141985297203,0.0985686853528022,0.8712593154463284,0.0359533466398716,-1102.1608007705372,-1084.7576061538273,0.112553569408656,0.074149989991477,0.839000033908559,0.0846763542607557,0.063437296314673,0.0198313441240426,11,240,noisy_or,5,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:25:59.963847+00:00,0.4715025722980499,0.3712563812732696,0.5583577156066895,0.3797548711299896,,,,,,,0.494641900062561,0.1121963411569595,0.4953719675540924,0.6788280010223389,0.5772022008895874,0.7737579941749573,,
gpt-5-mini-v_low-r_minimal,numeric,,0.0149117289111018,huber,0.113557368516922,0.1627243012189865,0.574974873051346,0.02526146620512,-861.5350136477861,-844.1318190310761,0.1233796619888625,0.0842707403681495,0.6724708369561421,0.0901164985465475,0.0561134600458722,0.0438642182314034,11,240,noisy_or,5,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:30:35.057844+00:00,0.4715025722980499,0.4520585238933563,0.5583577156066895,0.8916642665863037,,,,,,,0.494641900062561,0.3452524244785309,0.4953719675540924,0.6015280485153198,0.5772022008895874,0.599461019039154,,
gpt-5-mini-v_low-r_minimal,numeric-conf,,0.0180895421653985,huber,0.1383906900882721,0.1773145049810409,0.4949552942011527,0.0185748949646949,-820.3185152736773,-802.9153206569674,0.0804246722679252,0.0720015456820979,0.8426832569575384,0.0358316247020973,0.0190869866356705,-0.0084096157550811,11,240,noisy_or,5,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:36:12.130819+00:00,0.4715025722980499,0.3972936868667602,0.5583577156066895,0.1318029463291168,,,,,,,0.494641900062561,0.2551611661911011,0.4953719675540924,0.332727700471878,0.5772022008895874,0.7211487889289856,,
gpt-5-mini-v_low-r_minimal,numeric,,0.0148546658456325,huber,0.1187452971935272,0.1633721590042114,0.5715837714417797,0.0303673893213272,-863.6277503912023,-853.1858336211764,0.0782889270586193,0.0608191736719825,0.8681246863722859,0.0492968986230071,0.029556466792569,0.0173581356532646,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-31T13:38:57.699098+00:00,0.4715025722980499,0.4447237551212311,0.4715025722980499,0.4447237551212311,,,,,,,0.494641900062561,0.3523816764354706,0.4953719675540924,0.5924959778785706,0.4953719675540924,0.5924959778785706,0.0465204657045255,0.9534359305493044
