agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2,rmse_task,r2_task
gpt-5-nano-v_low-r_low,CoT,,0.0144621646031737,huber,0.0968069210648536,0.137456014752388,0.6710607492411014,0.0325794979929923,-946.536654180201,-936.0947374101752,0.0727044630594718,0.0546604305614124,0.8866413157575234,0.0479392978631009,0.0285565976952061,0.0145480674252365,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:07:41.911144+00:00,0.4715025722980499,0.40988290309906,0.4715025722980499,0.40988290309906,,,,,,,0.494641900062561,0.2026790082454681,0.4953719675540924,0.5705376267433167,0.4953719675540924,0.5705376267433167,,
gpt-5-nano-v_low-r_low,numeric,,0.0184813179075717,huber,0.1024836078286171,0.1454811692237854,0.7145294482860047,0.0322859250009059,-919.300134851188,-908.858218081162,0.0534018185347441,0.0439021010651732,0.9545410509960248,0.0304032851001507,0.0439021010651732,0.0147471447243834,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:10:20.649442+00:00,0.4715025722980499,0.39191535115242,0.4715025722980499,0.39191535115242,,,,,,,0.494641900062561,0.1712054014205932,0.4953719675540924,0.6688686609268188,0.4953719675540924,0.6688686609268188,,
gpt-5-nano-v_low-r_low,CoT,,0.0148963714018464,huber,0.0911674797534942,0.1329753398895263,0.6921561227962887,0.019603756070137,-960.4439317726824,-946.5213760793145,0.0534754091447828,0.0396968986879695,0.9386745299452008,0.0358298146486833,0.0279310621023177,0.0188218193451563,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,2,2,2025-08-26T22:15:42.065145+00:00,0.4699035882949829,0.4244750440120697,0.4699035882949829,0.4244750440120697,,,,,,,0.5169669389724731,0.2611978352069855,0.4875771999359131,0.6781895160675049,0.465628981590271,0.4626472890377044,,
gpt-5-nano-v_low-r_low,numeric,,0.0186982955783605,huber,0.1016552299261093,0.1451862901449203,0.7156855520077041,0.0290209449827671,-918.2740645759718,-904.351508882604,0.0827386557266183,0.0572508118730602,0.8908750095969162,0.0597329866265142,0.0493890083558631,0.0292190292026057,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:19:21.159309+00:00,0.4715025722980499,0.3955938220024109,0.4715025722980499,0.3955938220024109,,,,,,,0.494641900062561,0.1830102056264877,0.4953719675540924,0.6984513998031616,0.5772022008895874,0.6462252736091614,,
gpt-5-nano-v_low-r_low,CoT,,0.0148992035537958,huber,0.089638166129589,0.132241740822792,0.6955434599132766,0.0154035687446594,-961.0993903637265,-943.6961957470164,0.0461485255719181,0.0362680033228614,0.9543281804981638,0.0285362637259137,0.0195447965932614,0.0195447965932614,11,240,noisy_or,5,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,2,2,2025-08-26T22:26:34.582648+00:00,0.4699035882949829,0.4316915571689605,0.4939348399639129,0.7619531154632568,,,,,,,0.5169669389724731,0.2569256722927093,0.4875771999359131,0.6913237571716309,0.465628981590271,0.4588266313076019,,
gpt-5-nano-v_low-r_low,numeric,,0.0187105294317007,huber,0.1007084175944328,0.1449263393878936,0.716702733551121,0.0102424584329128,-917.1342435523234,-899.7310489356134,0.083477066896613,0.0572173127080454,0.8889185194857899,0.0607832199223712,0.0572173127080454,0.0303796007235844,11,240,noisy_or,5,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:31:14.800414+00:00,0.4715025722980499,0.4001580774784088,0.5583577156066895,0.5182579159736633,,,,,,,0.494641900062561,0.1814764142036438,0.4953719675540924,0.7079228162765503,0.5772022008895874,0.6428461074829102,,
gpt-5-nano-v_low-r_low,numeric,,0.0184813179075717,huber,0.1024836078286171,0.1454811692237854,0.7145294482860047,0.0322859250009059,-919.300134851188,-908.858218081162,0.0534159329220038,0.0439206489469065,0.9545170177319612,0.0304012908609258,0.0439206489469065,0.0147564322117603,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-31T13:39:18.881989+00:00,0.4715025722980499,0.39191535115242,0.4715025722980499,0.39191535115242,,,,,,,0.494641900062561,0.1712054014205932,0.4953719675540924,0.6688686609268188,0.4953719675540924,0.6688686609268188,0.0369034543657164,0.9782909231696268
gpt-5-nano-v_low-r_low,CoT,,0.0144621646031737,huber,0.0968069210648536,0.137456014752388,0.6710607492411014,0.0325794979929923,-946.536654180201,-936.0947374101752,0.0727015197773964,0.0546483809406107,0.8866504937313616,0.0479485707661142,0.0285539330966544,0.0145409378969308,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-31T13:52:22.066590+00:00,0.4715025722980499,0.40988290309906,0.4715025722980499,0.40988290309906,,,,,,,0.494641900062561,0.2026790082454681,0.4953719675540924,0.5705376267433167,0.4953719675540924,0.5705376267433167,0.0422828784435085,0.9616591492940804
gpt-5-nano-v_low-r_low,numeric,,0.0186982955783605,huber,0.1016552299261093,0.1451862901449203,0.7156855520077041,0.0290209449827671,-918.2740645759718,-904.351508882604,0.0827272058873231,0.0572427042867198,0.8909052101637092,0.0597248976547194,0.0493896572337006,0.0292108728488286,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-31T14:05:57.548193+00:00,0.4715025722980499,0.3955938220024109,0.4715025722980499,0.3955938220024109,,,,,,,0.494641900062561,0.1830102056264877,0.4953719675540924,0.6984513998031616,0.5772022008895874,0.6462252736091614,0.0361830260918572,0.9791302577419928
gpt-5-nano-v_low-r_low,CoT,,0.014896371401846409,huber,0.09116747975349426,0.13297533988952637,0.6921561227962887,0.019603756070137025,-960.4439317726824,-946.5213760793145,0.05352968008707157,0.03971676735444501,0.9385499912104417,0.03588878712268106,0.027945842699571063,0.018839114174698343,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,2,2,2025-08-31T14:22:48.449949+00:00,0.4699035882949829,0.4244750440120697,0.4699035882949829,0.4244750440120697,,,,,,,0.5169669389724731,0.2611978352069855,0.4875771999359131,0.6781895160675049,0.465628981590271,0.46264728903770447,0.02469023512679489,0.98692676382321
