agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2,rmse_task,r2_task
gpt-5-nano-v_low-r_minimal,CoT,,0.0110590793192386,huber,0.0957107245922088,0.1244408339262008,0.6728568291383195,0.0218891896307468,-994.2839545160376,-983.8420377460118,0.0387194518982016,0.0334144742199868,0.9603438763091956,0.019561923931428,0.0296994935021255,0.0097778617613243,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:08:01.396024+00:00,0.4715025722980499,0.4322689473628998,0.4715025722980499,0.4322689473628998,,,,,,,0.494641900062561,0.2421695590019226,0.4953719675540924,0.5364658236503601,0.4953719675540924,0.5364658236503601,,
gpt-5-nano-v_low-r_minimal,numeric,,0.0398759022355079,huber,0.220845952630043,0.2712160050868988,0.0904207338483232,0.0248194426298141,-620.3230521200918,-609.8811353500658,0.0894365608133235,0.0763717447988914,0.3406720076133206,0.0465430446628528,0.0363649888833363,0.0086047538482781,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,4,4,2025-08-26T22:11:03.298435+00:00,0.5121279954910278,0.4657811224460602,0.5121279954910278,0.4657811224460602,,,,,,,0.4838784635066986,0.3784391582012176,0.4927954077720642,0.2896774709224701,0.4927954077720642,0.2896774709224701,,
gpt-5-nano-v_low-r_minimal,numeric-conf,,0.0423064157366752,huber,0.2375944256782531,0.2834446430206299,0.1267929658135095,0.0450538858771324,-599.1544601510225,-588.7125433809965,0.1303202016891472,0.1113227695407289,0.3202309581929318,0.0677539367865939,0.0322416416081515,-0.0189154775214917,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:13:47.642707+00:00,0.4715025722980499,0.4484719634056091,0.4715025722980499,0.4484719634056091,,,,,,,0.494641900062561,0.4378054440021515,0.4953719675540924,0.3159055709838867,0.4953719675540924,0.3159055709838867,,
gpt-5-nano-v_low-r_minimal,CoT,,0.0114002060145139,huber,0.093839056789875,0.1228754818439483,0.6810353895219736,0.0089580506086349,-998.3602142203669,-984.4376585269988,0.0367688696252958,0.0292335150277975,0.9642387726213436,0.0223013760257418,0.0246687136816255,0.0053484008348349,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T22:16:05.690457+00:00,0.5055516958236694,0.4398873150348663,0.5055516958236694,0.4398873150348663,,,,,,,0.5037974119186401,0.2769340872764587,0.5437019467353821,0.5963033437728882,0.4951467514038086,0.4684872329235077,,
gpt-5-nano-v_low-r_minimal,numeric,,0.0396494008600711,huber,0.2213064581155777,0.2710070610046386,0.091821696105775,0.0209233954548835,-618.692992549885,-604.7704368565171,0.1149514476633135,0.1027665731401154,-0.0891814180531218,0.0515059876609392,0.0313407773682565,0.0126745020981991,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,4,4,2025-08-26T22:20:17.346656+00:00,0.5121279954910278,0.4684258699417114,0.5121279954910278,0.4684258699417114,,,,,,,0.4838784635066986,0.4086510837078094,0.4927954077720642,0.3228013515472412,0.4725507199764251,0.2243718951940536,,
gpt-5-nano-v_low-r_minimal,numeric-conf,,0.0421748869121074,huber,0.2372628599405288,0.2830541133880615,0.1291975368306289,0.0593185886740684,-597.8162655031921,-583.8937098098241,0.1389095442198486,0.1199222246083346,0.2276714883228711,0.070103648409724,0.0405956331888835,-0.0336356952696135,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,2,2,2025-08-26T22:23:59.459307+00:00,0.4699035882949829,0.4518737196922302,0.4699035882949829,0.4518737196922302,,,,,,,0.5169669389724731,0.4762547314167022,0.4875771999359131,0.3572424054145813,0.465628981590271,0.2122040539979934,,
gpt-5-nano-v_low-r_minimal,CoT,,0.0113991200923919,huber,0.092971570789814,0.1225998252630233,0.6824648878361667,0.0080567292869091,-997.4382356555049,-980.0350410387948,0.0365771976415951,0.0296355415835525,0.9646106393546112,0.0214388913510433,0.026304166244738,0.0041707688389402,11,240,noisy_or,5,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T22:27:09.375924+00:00,0.5055516958236694,0.4354684948921203,0.5004981160163879,0.2539410889148712,,,,,,,0.5037974119186401,0.2784836888313293,0.5437019467353821,0.5864946246147156,0.4951467514038086,0.4716173112392425,,
gpt-5-nano-v_low-r_minimal,numeric,,0.039664302021265,huber,0.2206067591905594,0.2706903517246246,0.0939431869316637,0.0222155302762985,-617.2542847721851,-599.8510901554752,0.1142461145934142,0.1030698009332021,-0.0758561616616106,0.0492827640791548,0.0301094023025397,0.0143370896758455,11,240,noisy_or,5,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,4,4,2025-08-26T22:32:20.794258+00:00,0.5121279954910278,0.470473051071167,0.4847850501537323,0.9999860525131226,,,,,,,0.4838784635066986,0.3986149728298187,0.4927954077720642,0.3314241766929626,0.4725507199764251,0.2396572083234787,,
gpt-5-nano-v_low-r_minimal,numeric-conf,,0.0421940125524997,huber,0.2359198629856109,0.2821485102176666,0.1347606662349529,0.0440771043300628,-597.3544261967174,-579.9512315800075,0.1607926241213201,0.1320872965364745,-0.0348326934596567,0.0916908614067159,0.0549369039318778,-0.0393174728119012,11,240,noisy_or,5,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,2,2,2025-08-26T22:37:20.013365+00:00,0.4699035882949829,0.4474881291389465,0.4939348399639129,3.7381789752544137e-06,,,,,,,0.5169669389724731,0.4359439611434936,0.4875771999359131,0.3502217531204223,0.465628981590271,0.2941369116306305,,
gpt-5-nano-v_low-r_minimal,numeric,,0.0398759022355079,huber,0.220845952630043,0.2712160050868988,0.0904207338483232,0.0248194426298141,-620.3230521200918,-609.8811353500658,0.0894308129303616,0.0763655242414185,0.3407567518906129,0.0465422067452613,0.0363615697441678,0.0085990751512123,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,4,4,2025-08-31T13:40:14.634151+00:00,0.5121279954910278,0.4657811224460602,0.5121279954910278,0.4657811224460602,,,,,,,0.4838784635066986,0.3784391582012176,0.4927954077720642,0.2896774709224701,0.4927954077720642,0.2896774709224701,0.0704682442444718,0.5906844479882449
