agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2,rmse_task,r2_task
gpt-5-v_low-r_low,CoT,,0.0204945020377635,huber,0.0660983026027679,0.0811013355851173,0.9383434887093068,0.0159369818866252,-1199.7867875726463,-1189.3448708026203,0.0595427780130726,0.046861618946899,0.9678151049063674,0.0367332422090627,0.0207330083937355,-0.0076218278570608,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T22:08:16.655101+00:00,0.5055516958236694,0.4462290406227112,0.5055516958236694,0.4462290406227112,,,,,,,0.5037974119186401,0.1078513264656066,0.5437019467353821,0.8943972587585449,0.5437019467353821,0.8943972587585449,,
gpt-5-v_low-r_low,numeric,,0.0303718578070402,huber,0.0607698373496532,0.079527772963047,0.9533638879848088,0.014718160033226,-1209.191504476875,-1198.749587706849,0.0648126042135106,0.0533035298572345,0.9700437968169454,0.0368701419809591,0.0133873305921301,0.0024825235591693,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-26T22:11:21.114091+00:00,0.5055516958236694,0.4406359493732452,0.5055516958236694,0.4406359493732452,,,,,,,0.5037974119186401,0.0342486463487148,0.5437019467353821,0.9641210436820984,0.5437019467353821,0.9641210436820984,,
gpt-5-v_low-r_low,CoT,,0.0203805956989526,huber,0.0659181177616119,0.080826424062252,0.938760781837925,0.0171864546835422,-1199.4166364894484,-1185.4940807960804,0.0680410850790135,0.0555403913151134,0.957972227435394,0.0393046332039065,0.0146625124866312,0.0023629044944589,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:16:25.331972+00:00,0.4715025722980499,0.4457311332225799,0.4715025722980499,0.4457311332225799,,,,,,,0.494641900062561,0.1046190187335014,0.4953719675540924,0.8832607269287109,0.5772022008895874,0.911593496799469,,
gpt-5-v_low-r_low,numeric,,0.0302987452596426,huber,0.0601291097700595,0.0793055072426796,0.953624200055155,0.0115279644727706,-1208.534882086969,-1194.612326393601,0.0681562567461689,0.0543749747335007,0.9668732153850558,0.0410930341588553,0.0133550829440355,0.0021851211041212,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:20:45.260256+00:00,0.4715025722980499,0.4398652613162994,0.4715025722980499,0.4398652613162994,,,,,,,0.494641900062561,0.0355379320681095,0.4953719675540924,0.972833812236786,0.5772022008895874,0.949837863445282,,
gpt-5-v_low-r_low,CoT,,0.0203952901065349,huber,0.0621355772018432,0.078153371810913,0.9427443497738404,0.0067963510751724,-1213.5593898778457,-1196.1561952611355,0.0667382008251117,0.0521516213904727,0.9595663543639672,0.0416436770196595,0.0162704669435819,0.0055674174969846,11,240,noisy_or,5,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:27:38.553942+00:00,0.4715025722980499,0.4552905261516571,0.5583577156066895,0.6660551428794861,,,,,,,0.494641900062561,0.098073273897171,0.4953719675540924,0.8920279741287231,0.5772022008895874,0.9017929434776306,,
gpt-5-v_low-r_low,numeric,,0.03031762316823,huber,0.0547226704657077,0.0751873478293418,0.9583155345617546,0.0025726410560309,-1232.130700244399,-1214.7275056276887,0.0649587185566391,0.0496638463008584,0.9699085772922722,0.0418704846774593,0.0131147565647508,0.0052893513237888,11,240,noisy_or,5,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-26T22:33:13.155962+00:00,0.4715025722980499,0.4493979513645172,0.5583577156066895,0.6584306359291077,,,,,,,0.494641900062561,0.0253154747188091,0.4953719675540924,0.9787574410438538,0.5772022008895874,0.9368881583213806,,
gpt-5-v_low-r_low,numeric,,0.0303718578070402,huber,0.0607698373496532,0.079527772963047,0.9533638879848088,0.014718160033226,-1209.191504476875,-1198.749587706849,0.0648188889667106,0.0533113267204978,0.9700379869448053,0.0368699174148668,0.0133785465269377,0.0024936637011441,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-31T13:40:36.931345+00:00,0.5055516958236694,0.4406359493732452,0.5055516958236694,0.4406359493732452,,,,,,,0.5037974119186401,0.0342486463487148,0.5437019467353821,0.9641210436820984,0.5437019467353821,0.9641210436820984,0.043697799685184,0.9863828268072948
gpt-5-v_low-r_low,CoT,,0.0204945020377635,huber,0.0660983026027679,0.0811013355851173,0.9383434887093068,0.0159369818866252,-1199.7867875726463,-1189.3448708026203,0.059555742469979,0.0468766515092416,0.9678010879214328,0.0367350786637456,0.0207448588808377,-0.0076351522044702,11,240,noisy_or,3,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,3,3,2025-08-31T13:53:00.453539+00:00,0.5055516958236694,0.4462290406227112,0.5055516958236694,0.4462290406227112,,,,,,,0.5037974119186401,0.1078513264656066,0.5437019467353821,0.8943972587585449,0.5437019467353821,0.8943972587585449,0.0405673704409906,0.985060102838586
gpt-5-v_low-r_low,numeric,,0.0302987452596426,huber,0.0601291097700595,0.0793055072426796,0.953624200055155,0.0115279644727706,-1208.534882086969,-1194.612326393601,0.0681607162378022,0.0543839911213427,0.9668688802452212,0.0410884989719011,0.0133541081032969,0.002186811200597,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-31T14:07:25.007749+00:00,0.4715025722980499,0.4398652613162994,0.4715025722980499,0.4398652613162994,,,,,,,0.494641900062561,0.0355379320681095,0.4953719675540924,0.972833812236786,0.5772022008895874,0.949837863445282,0.0432974157915261,0.9866312200567998
gpt-5-v_low-r_low,CoT,,0.020380595698952675,huber,0.06591811776161194,0.08082642406225204,0.938760781837925,0.01718645468354225,-1199.4166364894484,-1185.4940807960804,0.06802940287065126,0.05553454870527442,0.9579866579826656,0.0392926654102121,0.014663764184171504,0.002374050563031962,11,240,noisy_or,4,0.1,lbfgs,1,random_abstract,collider,0.0,abs_all_10;abs_alnum_10;abs_num_symb_10,1,1,2025-08-31T14:23:36.777614+00:00,0.4715025722980499,0.44573113322257996,0.4715025722980499,0.44573113322257996,,,,,,,0.49464190006256104,0.10461901873350143,0.4953719675540924,0.8832607269287109,0.5772022008895874,0.911593496799469,0.0401796218857982,0.9853443331790258
