agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
gpt-4o,numeric-conf,economy,0.0376273319125175,huber,0.105127528309822,0.1441749781370163,0.8090771661692379,0.0612474065274,-303.87641015174853,-296.7303302477269,0.0904317396067077,0.0753404446623542,0.9241833425749796,0.050017166316917,0.0310409532351927,0.0067350644956935,11,80,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy,3,3,2025-08-19T19:00:50.027189+00:00,0.5055516958236694,0.4621945917606354,0.5055516958236694,0.4621945917606354,0.0455659590661525,-1.7231528759002686,0.5204474329948425,2.99999737739563,0.5204474329948425,2.99999737739563,,,,,,
gpt-4o,numeric-conf,sociology,0.0313984453678131,huber,0.1129159703850746,0.1615998595952987,0.7115215372777772,0.0501705884933471,-285.62112987051887,-278.47504996649724,0.0979198059559885,0.075864426927133,0.8883298662129846,0.061910234416259,0.0509820214726707,0.0054488526149229,11,80,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,sociology,3,3,2025-08-19T19:01:03.532710+00:00,0.5055516958236694,0.4580640792846679,0.5055516958236694,0.4580640792846679,0.0455659590661525,-1.7811686992645264,0.5204474329948425,2.760751724243164,0.5204474329948425,2.760751724243164,,,,,,
gpt-4o,numeric-conf,weather,0.0479535833001136,huber,0.092079222202301,0.1153693795204162,0.9020190932306018,0.0897389780730009,-339.5386056710747,-332.3925257670531,0.1377816764770042,0.1099803735586729,0.8694957099575042,0.0829946251555401,0.0878231379796157,0.0249096984890374,11,80,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,weather,3,3,2025-08-19T19:01:10.105155+00:00,0.5055516958236694,0.4569966793060303,0.5055516958236694,0.4569966793060303,0.0455659590661525,-1.4058212041854858,0.5204474329948425,3.0,0.5204474329948425,3.0,,,,,,
gpt-4o,CoT,economy,0.0240098126232624,huber,0.0795303434133529,0.105521410703659,0.8557409771120472,0.0546394381672144,-353.81462845547003,-346.6685485514484,0.0956070695314666,0.0831007953394543,0.8886553803886957,0.0472754646549859,0.0364246277646585,-0.00368453331969,11,80,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy,3,3,2025-08-19T19:01:22.623984+00:00,0.5055516958236694,0.4533503949642181,0.5055516958236694,0.4533503949642181,0.0455659590661525,-1.4903430938720703,0.5204474329948425,2.898707389831543,0.5204474329948425,2.898707389831543,,,,,,
gpt-4o,CoT,sociology,0.0239876061677932,huber,0.0820795744657516,0.1040441691875457,0.8539572670108813,0.0435771379619836,-356.07036215255494,-348.9242822485333,0.1047030643853808,0.0915829294107177,0.8652325710060622,0.0507474012363263,0.0348173313520171,0.0039093560793183,11,80,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,sociology,3,3,2025-08-19T19:01:31.023252+00:00,0.5055516958236694,0.4360992610454559,0.5055516958236694,0.4360992610454559,0.0455659590661525,-1.6594352722167969,0.5204474329948425,2.8962182998657227,0.5204474329948425,2.8962182998657227,,,,,,
gpt-4o,CoT,weather,0.0332055836915969,huber,0.0725224092602729,0.0909521952271461,0.9175959787704216,0.0494562808424234,-377.5874020019538,-370.4413220979322,0.0999249027347113,0.0884297620166432,0.908520229955957,0.046531316080908,0.0326907027851451,0.0046383066610856,11,80,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,weather,3,3,2025-08-19T19:01:39.249072+00:00,0.5055516958236694,0.4378393888473511,0.5055516958236694,0.4378393888473511,0.0455659590661525,-1.3348426818847656,0.5204474329948425,2.999997854232788,0.5204474329948425,2.999997854232788,,,,,,
humans,numeric,economy,0.0105475764721632,huber,0.0856812447309494,0.0995938330888748,0.7604579039569086,0.0434926778078079,-363.0648090260768,-355.91872912205514,0.075773544665723,0.0610515273881681,0.8576673221209552,0.0448814112387308,0.0235699264389095,-0.0119933595982465,11,80,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy,3,3,2025-08-19T19:01:52.780854+00:00,0.5055516958236694,0.5444164276123047,0.5055516958236694,0.5444164276123047,0.0455659590661525,-0.7891149520874023,0.5204474329948425,1.452627420425415,0.5204474329948425,1.452627420425415,,,,,,
humans,numeric,sociology,0.0120386183261871,huber,0.0878943353891372,0.1081092357635498,0.7473376685544082,0.0326278254389762,-349.9381012683583,-342.7920213643367,0.0680462324985368,0.0613887199849793,0.8968298112663311,0.0293549794047062,0.0436509968656482,-0.0166386118440916,11,80,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,sociology,3,3,2025-08-19T19:01:56.396637+00:00,0.5055516958236694,0.5355109572410583,0.5055516958236694,0.5355109572410583,0.0455659590661525,-0.8162968754768372,0.5204474329948425,1.547258377075195,0.5204474329948425,1.547258377075195,,,,,,
humans,numeric,weather,0.0207213554531335,huber,0.0901707112789154,0.1100884154438972,0.8299707180806006,0.020191653817892,-347.0354374402936,-339.889357536272,0.0745012285882726,0.0629850158005049,0.9208608307542312,0.039790964373488,0.0211578135960029,-0.0115214275771921,11,80,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,weather,3,3,2025-08-19T19:02:00.053215+00:00,0.5055516958236694,0.5196864604949951,0.5055516958236694,0.5196864604949951,0.0455659590661525,-1.4101827144622805,0.5204474329948425,2.3530521392822266,0.5204474329948425,2.3530521392822266,,,,,,
gpt-4o,numeric,economy,0.053899060934782,huber,0.1176833286881446,0.1500541865825653,0.8498525215673967,0.0851123016327619,-297.4814120177182,-290.33533211369655,0.1564926749977278,0.1212309490550648,0.8387327980037399,0.0989596600598078,0.0887729742310263,0.0081677653572776,11,80,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy,3,3,2025-08-19T19:02:04.925695+00:00,0.5055516958236694,0.444522351026535,0.5055516958236694,0.444522351026535,0.0455659590661525,-1.347076177597046,0.5204474329948425,3.0,0.5204474329948425,3.0,,,,,,
