spec_hash,short_spec_hash,friendly_name,link,params_tying,optimizer,lr,epochs,restarts,loss,primary_metric,selection_rule,cv_enabled,timestamp_first_seen
24b2e60b0ed97351ee3b45553808cca0602307314dd8392d323ac4550cba22a0,24b2e60b0ed9,logistic-p3-lbfgs-lr0.005-e300-r5-huber-cv,logistic,3,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T20:39:18.583927+00:00
561265373fe9979cc3d6ce7206744e5d474d695b67807c4b2c0f5fa5be016a94,561265373fe9,logistic-p3-lbfgs-lr0.005-e300-r5-huber-cv,logistic,3,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T20:45:33.875852+00:00
aef9b4640b4b2b9dda5cb5a8334a870ed124d3242aab6ffa6f9f7c3ea47b1b64,aef9b4640b4b,logistic-p4-lbfgs-lr0.005-e300-r5-huber-cv,logistic,4,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T20:59:30.984726+00:00
16138c024e9b8e0df4a8041619ec372c3d654319fc7ac3ec1277bec227cbbc64,16138c024e9b,logistic-p4-lbfgs-lr0.005-e300-r5-huber-cv,logistic,4,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:06:55.313552+00:00
20628310a02c8d3ff16215924d757748aece1be5b27850d3e2ce97d2a9bc1306,20628310a02c,logistic-p5-lbfgs-lr0.005-e300-r5-huber-cv,logistic,5,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:23:52.728817+00:00
01761fdd5809da687c632d430e13b1b29aac31d05b5d3d1cd9b0db4e0d3182ab,01761fdd5809,logistic-p5-lbfgs-lr0.005-e300-r5-huber-cv,logistic,5,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:32:44.198751+00:00
a3b30e4bbc08bda4b4877b42095e8f9e2eb14e0c6cd58f9d50f855a33b1f0424,a3b30e4bbc08,noisy_or-p3-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,3,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:46:46.706289+00:00
b34e29f498e230b36ecad0074fbec34f0ed6ba5dbe2f5c4197d0df68c73b4fa4,b34e29f498e2,noisy_or-p3-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,3,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:52:13.008151+00:00
ba7034b6103c49f9e1630a29683c667c71c832fa01b6d796027789ceb0eb1b72,ba7034b6103c,noisy_or-p4-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,4,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T22:08:20.300254+00:00
87460f7d0988f5aaa29003a1d1cb054bee8c449e00ddbc7ff0c387d1339250f2,87460f7d0988,noisy_or-p4-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,4,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T22:16:10.304714+00:00
7dcca6c0490aff73368984284142aa2ec859972209e24c88b75a450ac6abe0ab,7dcca6c0490a,noisy_or-p5-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,5,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T22:37:47.474232+00:00
21e13de11ae450859bf763bdd6f6ff24086300f9d5351ce5070ef2062c632435,21e13de11ae4,noisy_or-p5-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,5,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T22:48:11.229523+00:00
