agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
gpt-5-nano-v_low-r_minimal,CoT,,0.0104342140257358,huber,0.090500071644783,0.1146968305110931,0.6155275781117083,0.018049356341362,-1033.422184929712,-1022.980268159686,0.0537539130940652,0.0416012849952235,0.8923227288208052,0.0340413903897961,0.0204165770068312,0.0009129103747281,11,240,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T20:33:14.234413+00:00,0.5055516958236694,0.4440105259418487,0.5055516958236694,0.4440105259418487,0.0455659590661525,-0.6588984727859497,0.5204474329948425,1.102116346359253,0.5204474329948425,1.102116346359253,,,,,,
gpt-5-nano-v_low-r_minimal,numeric,,0.0195792913436889,huber,0.1412361711263656,0.196516677737236,0.1116870963970864,0.0042206376791,-774.9638143782146,-764.5218976081886,0.0683013072159015,0.0559551904779492,0.5148151702140249,0.0391674000410722,0.0143752237883481,0.0004899115634687,11,240,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T20:40:16.020776+00:00,0.5055516958236694,0.4991077184677124,0.5055516958236694,0.4991077184677124,0.0455659590661525,-0.1091060638427734,0.5204474329948425,0.4613502323627472,0.5204474329948425,0.4613502323627472,,,,,,
gpt-5-nano-v_low-r_minimal,numeric-conf,,0.0223332364112138,huber,0.1550129503011703,0.2104662954807281,0.1930729520606866,0.0110331341624259,-742.0463015184091,-731.6043847483832,0.0617583417801593,0.0525874621940381,0.7556692123425981,0.0323828905353673,0.0168621131868073,-0.0053523681380531,11,240,logistic,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T20:45:55.494904+00:00,0.5055516958236694,0.5111424326896667,0.5055516958236694,0.5111424326896667,0.0455659590661525,-0.1002423465251922,0.5204474329948425,0.6763421297073364,0.5204474329948425,0.6763421297073364,,,,,,
gpt-5-nano-v_low-r_minimal,CoT,,0.0127120018005371,huber,0.0906250923871994,0.1137731596827507,0.6216950483137371,0.0180857345461845,-1035.3033307460614,-1021.3807750526936,0.0590607962678271,0.0464958445231119,0.8700122378689752,0.0364185954956033,0.0310482412396054,0.0016923928260803,11,240,logistic,4,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T20:52:13.776978+00:00,0.5055516958236694,0.4396181106567383,0.5055516958236694,0.4396181106567383,0.0455659590661525,-0.8420270681381226,0.5204474329948425,1.0217678546905518,-0.0582337826490402,1.380379319190979,,,,,,
gpt-5-nano-v_low-r_minimal,numeric,,0.0199490580707788,huber,0.1410982310771942,0.1962756961584091,0.1138643847595115,0.0020961612462997,-773.5527855021221,-759.6302298087542,0.1713927281200175,0.101310613263737,-2.0551600416648226,0.1382448078321489,0.0495702324852798,0.0465958870179725,11,240,logistic,4,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,0,0,2025-08-25T21:00:36.797819+00:00,0.4914670884609222,0.4971776008605957,0.4914670884609222,0.4971776008605957,0.0991249084472656,-0.2354001849889755,0.2758013904094696,0.4089179039001465,0.0662448182702064,0.653301477432251,,,,,,
gpt-5-nano-v_low-r_minimal,numeric-conf,,0.0238307043910026,huber,0.1542074382305145,0.2102411240339279,0.1947985032772299,0.0139943748712539,-740.5600725219604,-726.6375168285924,0.0999377687600025,0.0776609910256934,0.3601970475440499,0.0628993489444437,0.0427324217377286,0.01189192479307,11,240,logistic,4,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T21:07:25.790188+00:00,0.5055516958236694,0.5140784382820129,0.5055516958236694,0.5140784382820129,0.0455659590661525,0.0126493368297815,0.5204474329948425,0.728801429271698,-0.0582337826490402,0.4922848343849182,,,,,,
gpt-5-nano-v_low-r_minimal,CoT,,0.0127119058743119,huber,0.0894054248929023,0.1133604869246482,0.6244344235594284,0.0127648547291755,-1035.0475372858923,-1017.6443426691826,0.0596538146853693,0.0475778986107219,0.8673887671194573,0.0359850131346962,0.0065518022667277,-0.0004808873480016,11,240,logistic,5,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T21:15:22.404329+00:00,0.5055516958236694,0.4330657422542572,0.5004981160163879,0.0808283239603042,0.0455659590661525,-0.8368324041366577,0.5204474329948425,1.003206729888916,-0.0582337826490402,1.3867082595825195,,,,,,
gpt-5-nano-v_low-r_minimal,numeric,,0.019948998466134,huber,0.141066774725914,0.1962713599205017,0.1139035962412915,0.0020703598856925,-771.5634057318977,-754.1602111151877,0.1715573091237949,0.1026488594575361,-2.0610303341868295,0.1374595284651606,0.0499030458565914,0.0471978641278816,11,240,logistic,5,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,0,0,2025-08-25T21:25:35.022759+00:00,0.4914670884609222,0.4971494674682617,0.4732560813426971,0.4729414582252502,0.0991249084472656,-0.2355201691389084,0.2758013904094696,0.4091024100780487,0.0662448182702064,0.6534734964370728,,,,,,
gpt-5-nano-v_low-r_minimal,numeric-conf,,0.0238307677209377,huber,0.1538958400487899,0.2097816914319992,0.1983138849904695,0.0133934199810028,-739.6101683108565,-722.2069736941465,0.1547604013027152,0.0948748704158898,-0.5342871092536294,0.1222683146810553,0.0570565570484507,0.0331590218977494,11,240,logistic,5,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T21:33:31.978312+00:00,0.5055516958236694,0.5110103487968445,0.5004981160163879,3.937278506782604e-06,0.0455659590661525,-0.0381701067090034,0.5204474329948425,0.7332030534744263,-0.0582337826490402,0.5652674436569214,,,,,,
gpt-5-nano-v_low-r_minimal,CoT,,0.0082749519497156,huber,0.0907993465662002,0.1145392432808876,0.6165833324139565,0.0054339110851287,-1034.0821270897648,-1023.6402103197388,0.045696396611733,0.0373982426253232,0.9221842009275382,0.0262589434637852,0.0102022352001883,0.0046772064945914,11,240,noisy_or,3,0.005,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,1,1,2025-08-25T21:40:29.182815+00:00,0.4715025722980499,0.4414644539356231,0.4715025722980499,0.4414644539356231,,,,,,,0.494641900062561,0.3250483870506286,0.4953719675540924,0.4547234773635864,0.4953719675540924,0.4547234773635864
