spec_hash,short_spec_hash,friendly_name,link,params_tying,optimizer,lr,epochs,restarts,loss,primary_metric,selection_rule,cv_enabled,timestamp_first_seen
0764504701ce2686ca28bdb5caa880a5222138b2fc1b7fa8c9922197c5f3d12b,0764504701ce,logistic-p3-lbfgs-lr0.005-e300-r5-huber-cv,logistic,3,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T20:33:47.293147+00:00
1d3df77995b46d4627cd783f97543c2da64686d3f5f61f94cad705266567174d,1d3df77995b4,logistic-p3-lbfgs-lr0.005-e300-r5-huber-cv,logistic,3,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T20:41:47.849453+00:00
504d4dabceac5fc1c7132008e7fb9e7510f272c3de46f0f19e99874b6777a93e,504d4dabceac,logistic-p3-lbfgs-lr0.005-e300-r5-huber-cv,logistic,3,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T20:47:24.055636+00:00
53ff22f9d1c23eb8c2ea7998ff417fa08c5b64b36d398ea3392c085960f01b7d,53ff22f9d1c2,logistic-p4-lbfgs-lr0.005-e300-r5-huber-cv,logistic,4,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T20:52:59.304375+00:00
43632f68d7dcf0cb4f44477c2158264f8678a271d45bdc2f36fb2bcbdbd32fb3,43632f68d7dc,logistic-p4-lbfgs-lr0.005-e300-r5-huber-cv,logistic,4,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:02:29.507903+00:00
b3e0a9d082ec3083d707fef401ab7a3a59a5a2a241475f14cc1fc6eac8b6dd00,b3e0a9d082ec,logistic-p4-lbfgs-lr0.005-e300-r5-huber-cv,logistic,4,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:09:07.557348+00:00
61dd8bc99ec89bf3f8d4da40b7d4106e179b04b06c02777864c8f368366b86de,61dd8bc99ec8,logistic-p5-lbfgs-lr0.005-e300-r5-huber-cv,logistic,5,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:16:37.965550+00:00
24d012855a6ea18a06e2cf15a7c8e87a39e9350022488bfe8e39fa27fb077edd,24d012855a6e,logistic-p5-lbfgs-lr0.005-e300-r5-huber-cv,logistic,5,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:27:51.023921+00:00
6af7cd0ab25110fb11311673da53a847dea70cdcb3d758dbb1550d0a4fae960c,6af7cd0ab251,logistic-p5-lbfgs-lr0.005-e300-r5-huber-cv,logistic,5,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:36:05.754228+00:00
9cec2f4b2423b6520320f2d0de6a321186704df0b81cb25375bd559b182f9240,9cec2f4b2423,noisy_or-p3-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,3,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:41:21.926559+00:00
054e343ab8431ee82c32790b536db9a821a2ed8105f627e1d4102f0ccba40640,054e343ab843,noisy_or-p3-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,3,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:49:09.198637+00:00
8d9e3eb69742132c96a7135112ad2761fcd488a9a40c89a5d397e546a6352fa7,8d9e3eb69742,noisy_or-p3-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,3,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T21:54:03.938276+00:00
5d7bcc1c03b615575b74374d14f83f5323b1b3a01fbf78c06871e3a09a0d73cb,5d7bcc1c03b6,noisy_or-p4-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,4,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T22:00:15.612286+00:00
9720ef75cee9e52e6a35d949106d2b93d6f4ebfa2e25f00d4f91b190869f89db,9720ef75cee9,noisy_or-p4-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,4,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T22:11:44.682410+00:00
31ac7143d3524b3600910ddc0eae95990df493d2071acd1860e0733d29e12497,31ac7143d352,noisy_or-p4-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,4,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T22:18:42.460102+00:00
36c529562fc700d55650ccfda6b97ce1926bc9b5363087ea6f7e1fbd0bf0775c,36c529562fc7,noisy_or-p5-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,5,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T22:27:30.839763+00:00
c74ea1f8fe4c8c316f8bcd501eddfbe3158e05a42ab8b162b07e8a70640cdcb8,c74ea1f8fe4c,noisy_or-p5-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,5,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T22:42:14.622349+00:00
1d3c0bb7b9366e9be10475876d100c3c5085e4ba50bfc3e80198e92a21542561,1d3c0bb7b936,noisy_or-p5-lbfgs-lr0.005-e300-r5-huber-cv,noisy_or,5,lbfgs,0.005,300,5,huber,aic,best_loss,True,2025-08-25T22:52:04.910411+00:00
