spec_hash,short_spec_hash,friendly_name,link,params_tying,optimizer,lr,epochs,restarts,loss,primary_metric,selection_rule,cv_enabled,timestamp_first_seen
8a032dbcfc177ad267ee60412b892b0379b1b7c196dac8b5e8286e5cd7719e15,8a032dbcfc17,logistic-p3-lbfgs-lr0.1-e300-r5-huber,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,False,2025-08-19T18:34:58.455105+00:00
4d1e52783ff4c60c0c09c09663bd0c7547035f5797ddadee7f8a60a64087f5c9,4d1e52783ff4,logistic-p3-lbfgs-lr0.1-e300-r5-huber,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,False,2025-08-19T18:34:59.607532+00:00
ca51a0ba8c32523f0ac69680cf5f98ed89ae07577b84f812fa74d0fa2c8ef23b,ca51a0ba8c32,logistic-p3-lbfgs-lr0.1-e300-r5-huber,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,False,2025-08-19T18:35:02.211232+00:00
71aa378bdcb4f85b3e626b4274b6224aeb4ad911e8cd3ec8d3ca13d57d217278,71aa378bdcb4,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:36:13.110032+00:00
77f9b8791cfd69137c42331aa8f2adcc6ebac09c0a43d88cff006fff07ab3ea2,77f9b8791cfd,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:36:19.774779+00:00
1dacf5274d12deac9a76dd5b01d640a6e0bbf51fda0599769e26396393102adb,1dacf5274d12,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:36:32.462838+00:00
a80c423b7e0fde0608b48a0f140acc228024963af298e7348aecc970ffadafba,a80c423b7e0f,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:36:40.853834+00:00
97c6010048d17a1698b4eced3ddc66c1b02042794b9ce54038f6563973847173,97c6010048d1,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:36:49.394266+00:00
220792449b5df2615405031446c997189f586eb27bf6b64181604f782370579d,220792449b5d,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:37:03.306023+00:00
fe9163fdaf7aa251fcbb9e01a38433311874c981907b23dda142e7c04c1e8300,fe9163fdaf7a,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:37:07.121857+00:00
45068ed1427308fe481d3eb4742b474e162aba2b10054073b3ae9182db43db5a,45068ed14273,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:37:10.762126+00:00
fec58fa642b13451b0ac132090242f54fe051168ff7bd231e0dd2f0abf43724a,fec58fa642b1,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:37:15.496261+00:00
e0b49bc9d02bcb5d908198adf79a1f9a0d64aa482dba44b50f8775b9e01a363e,e0b49bc9d02b,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:37:28.963569+00:00
cd974863adb2257899150bc8e0d3c279c5fb0e63475b95e8f6695e0a384c0ce2,cd974863adb2,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:37:42.128249+00:00
ee5b9f26a6352812859e505287abb57c9261628e781ae6f25303f814988ce6bd,ee5b9f26a635,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:37:55.075408+00:00
3a35353eaa8111a5bb3667d35df7be099043c80d6b8508c0865ba62356824ed7,3a35353eaa81,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:38:09.047762+00:00
80027f285dfc278b0a2dad211dc54aecd5b6b2561b54fea715288866705b4797,80027f285dfc,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:38:22.636629+00:00
9a322433d86cf0a19ee28050345bca225f6dccff6daf073dd619bbb9bb245c5c,9a322433d86c,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:38:36.743360+00:00
b05a03306faa35173dfb186054d78942a97ee3da0cacaf2cf781bf441bb01d2b,b05a03306faa,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:38:51.747876+00:00
5ce17ea19cb5a2fe7a8d172f8b07d6ebce775041bed1dfce6ad4ac786690043b,5ce17ea19cb5,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:39:06.211895+00:00
b29a096a674ee5d97b6b98a16e7f2eff12175403c19a151999003e7ea803a467,b29a096a674e,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:39:20.316204+00:00
efebc6b64d22e7b232667d36ac0c93bc4b86ce702f36fbb661897548608e93d1,efebc6b64d22,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:39:24.959462+00:00
b1da6faeb6923c3674fbeb899a43aa2a041564c7d3faab1221290544b5640e09,b1da6faeb692,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:39:29.981251+00:00
327d2e2b2a7f49c0bf55b3ccdf62a49e3404e15d194db685c906c85b62181dd7,327d2e2b2a7f,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:39:36.527998+00:00
c32df5d8f42d8935091df7982593fd85d3c2e704277f9a44c2a059f848aab704,c32df5d8f42d,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:39:51.357892+00:00
ab27b2937b6684c763bac761bf0d0e1733e5ada7398897b1d7e4b235b7bf3829,ab27b2937b66,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:40:04.921149+00:00
5c29ea111ef821be8b827741a1ea1a55448f853496afcbbd2b7de608e2ea17d4,5c29ea111ef8,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:40:19.322852+00:00
58b1575627f7ad30e0d8bd0a97d1ca142a88a10d11735acc50839d69d811c260,58b1575627f7,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:40:36.062107+00:00
88b1eab820ae51b11aee3957a07bccf4a59959c4dd3889a5163cb4e5f4ed8041,88b1eab820ae,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:40:53.024038+00:00
711f27b03c26d4e9c6b8db96fb2dc7ac90f7adbde8f9bece8a480d95e2aac6b1,711f27b03c26,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:41:09.004944+00:00
df61ca3d69b900213a850f5b0944889609468c94f347ca0965e96ee7fc510560,df61ca3d69b9,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:41:27.025015+00:00
86748a5c3c0008a67d3a2884a8b08f71172666b4999d0aaac39d8de4aa548668,86748a5c3c00,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:41:47.130694+00:00
67c5c0d32d38281a29edc6a12e6fb4fdb19b8e16526d54d8e9bb6f6790bcbc63,67c5c0d32d38,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:42:03.874264+00:00
c6e71aa4e87e08a5fdf5b77ffe4e36fab5e848b06bce095e21ee353294a66a68,c6e71aa4e87e,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:42:18.437656+00:00
e3ed93b4e5ed9754a99de2a194cd15c1ac195f28957b721feeb6ea28e1fbf25f,e3ed93b4e5ed,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-19T18:42:27.974177+00:00
