agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2,rmse_task,r2_task
gpt-4o,numeric-conf,economy,0.0376273319125175,huber,0.105127528309822,0.1441749781370163,0.8090771661692379,0.0612474065274,-303.87641015174853,-296.7303302477269,,,,,,,,80,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy,3,3,2025-08-19T18:34:55.628445+00:00,0.5055516958236694,0.4621945917606354,0.5055516958236694,0.4621945917606354,0.0455659590661525,-1.7231528759002686,0.5204474329948425,2.99999737739563,0.5204474329948425,2.99999737739563,,,,,,,,
gpt-4o,numeric-conf,sociology,0.0313984453678131,huber,0.1129159703850746,0.1615998595952987,0.7115215372777772,0.0501705884933471,-285.62112987051887,-278.47504996649724,,,,,,,,80,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,sociology,3,3,2025-08-19T18:34:58.474693+00:00,0.5055516958236694,0.4580640792846679,0.5055516958236694,0.4580640792846679,0.0455659590661525,-1.7811686992645264,0.5204474329948425,2.760751724243164,0.5204474329948425,2.760751724243164,,,,,,,,
gpt-4o,numeric-conf,weather,0.0479535833001136,huber,0.092079222202301,0.1153693795204162,0.9020190932306018,0.0897389780730009,-339.5386056710747,-332.3925257670531,,,,,,,,80,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,weather,3,3,2025-08-19T18:34:59.633782+00:00,0.5055516958236694,0.4569966793060303,0.5055516958236694,0.4569966793060303,0.0455659590661525,-1.4058212041854858,0.5204474329948425,3.0,0.5204474329948425,3.0,,,,,,,,
gpt-4o,numeric-conf,economy,0.0376273319125175,huber,0.105127528309822,0.1441749781370163,0.8090771661692379,0.0612474065274,-303.87641015174853,-296.7303302477269,0.0904299995147886,0.0753411846404725,0.924186260282506,0.0500129054266485,0.0310427627102894,0.0067381744357672,11.0,80,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy,3,3,2025-08-19T18:35:59.977219+00:00,0.5055516958236694,0.4621945917606354,0.5055516958236694,0.4621945917606354,0.0455659590661525,-1.7231528759002686,0.5204474329948425,2.99999737739563,0.5204474329948425,2.99999737739563,,,,,,,,
gpt-4o,numeric-conf,sociology,0.0313984453678131,huber,0.1129159703850746,0.1615998595952987,0.7115215372777772,0.0501705884933471,-285.62112987051887,-278.47504996649724,0.0979159126826198,0.0758568141270767,0.8883387460041703,0.061913404905243,0.0509905127639119,0.0054499359970742,11.0,80,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,sociology,3,3,2025-08-19T18:36:13.149141+00:00,0.5055516958236694,0.4580640792846679,0.5055516958236694,0.4580640792846679,0.0455659590661525,-1.7811686992645264,0.5204474329948425,2.760751724243164,0.5204474329948425,2.760751724243164,,,,,,,,
gpt-4o,numeric-conf,weather,0.0479535833001136,huber,0.092079222202301,0.1153693795204162,0.9020190932306018,0.0897389780730009,-339.5386056710747,-332.3925257670531,0.1377825332387697,0.1099795394323088,0.869494086934234,0.0829971527942368,0.0878239727833054,0.0249093141068111,11.0,80,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,weather,3,3,2025-08-19T18:36:19.784121+00:00,0.5055516958236694,0.4569966793060303,0.5055516958236694,0.4569966793060303,0.0455659590661525,-1.4058212041854858,0.5204474329948425,3.0,0.5204474329948425,3.0,,,,,,,,
gpt-4o,CoT,economy,0.0240098126232624,huber,0.0795303434133529,0.105521410703659,0.8557409771120472,0.0546394381672144,-353.81462845547003,-346.6685485514484,0.0956057722671905,0.0830949185246771,0.8886584019731478,0.0472831704328629,0.0364195122637532,-0.0036776459352536,11.0,80,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy,3,3,2025-08-19T18:36:32.498756+00:00,0.5055516958236694,0.4533503949642181,0.5055516958236694,0.4533503949642181,0.0455659590661525,-1.4903430938720703,0.5204474329948425,2.898707389831543,0.5204474329948425,2.898707389831543,,,,,,,,
gpt-4o,CoT,sociology,0.0239876061677932,huber,0.0820795744657516,0.1040441691875457,0.8539572670108813,0.0435771379619836,-356.07036215255494,-348.9242822485333,0.104704144394484,0.0916027462617917,0.865229790747401,0.0507138514676095,0.0348273540762337,0.0039321321655403,11.0,80,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,sociology,3,3,2025-08-19T18:36:40.863535+00:00,0.5055516958236694,0.4360992610454559,0.5055516958236694,0.4360992610454559,0.0455659590661525,-1.6594352722167969,0.5204474329948425,2.8962182998657227,0.5204474329948425,2.8962182998657227,,,,,,,,
gpt-4o,CoT,weather,0.0332055836915969,huber,0.0725224092602729,0.0909521952271461,0.9175959787704216,0.0494562808424234,-377.5874020019538,-370.4413220979322,0.0999257783131889,0.0884300512346354,0.9085186267906494,0.0465326467132092,0.0326886281371116,0.0046408432451161,11.0,80,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,weather,3,3,2025-08-19T18:36:49.403935+00:00,0.5055516958236694,0.4378393888473511,0.5055516958236694,0.4378393888473511,0.0455659590661525,-1.3348426818847656,0.5204474329948425,2.999997854232788,0.5204474329948425,2.999997854232788,,,,,,,,
humans,numeric,economy,0.0105475764721632,huber,0.0856812447309494,0.0995938330888748,0.7604579039569086,0.0434926778078079,-363.0648090260768,-355.91872912205514,0.0757623161602163,0.0610404842730724,0.8577095021417257,0.0448774757497496,0.0235664422764922,-0.0119871227849613,11.0,80,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy,3,3,2025-08-19T18:37:03.318637+00:00,0.5055516958236694,0.5444164276123047,0.5055516958236694,0.5444164276123047,0.0455659590661525,-0.7891149520874023,0.5204474329948425,1.452627420425415,0.5204474329948425,1.452627420425415,,,,,,,,
