spec_hash,short_spec_hash,friendly_name,link,params_tying,optimizer,lr,epochs,restarts,loss,primary_metric,selection_rule,cv_enabled,timestamp_first_seen
777a8219caec4d81976b060a1596d3cbe3a9f1557ed24ab3fc9aa43f60fe1463,777a8219caec,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:07:02.866553+00:00
f054efdb67553790883778a127e986294e33863c9c19edddcd1f5f690a8ccf1d,f054efdb6755,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:08:40.669089+00:00
80ec6762cc8f72d2ed73c5005074885a64f5e00605d0b6044a6ed2de191b3639,80ec6762cc8f,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:12:36.122038+00:00
51a2733a0f43fab390f1fddbf403c2eadb10494cd7b157e2d3d475010a93702f,51a2733a0f43,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:15:46.878059+00:00
8cddf1d26e97f6b81c1279661675981453f193e3f62b878b205905962acc4253,8cddf1d26e97,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:18:05.654007+00:00
da2815a584f1557a12cd4a6b4f76ee6aea9f0df23d6c8dfc0d6932f9d770efb0,da2815a584f1,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:43:11.400821+00:00
a4d9dffc55f499ab282de73c0148f52cca631f4753a45a9fccaae2daccb54a54,a4d9dffc55f4,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:51:02.972137+00:00
58841b0bf21f192445ea0b42f821f823ff6ff998ba98539ba2dd89ed262ec6ab,58841b0bf21f,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:59:51.342167+00:00
a61e31e61a27ecd94f14dfceb4f1aa10f3fefc0421e51d0863de28e5bf457515,a61e31e61a27,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:08:16.322209+00:00
d94f4c3cf0af0418d4391024ebe60c9788561b0db81fce09d58b39eba5c92980,d94f4c3cf0af,noisy_or-p3-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:15:46.256684+00:00
1823aff22a133f479fb8608897a7fe631fbeffdb94b2aa1ddde5983498452f1a,1823aff22a13,noisy_or-p3-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:22:07.287721+00:00
8c6af2cd9ed236b72822c63915909b2fe0800c75020764bab4e63ba06d92f743,8c6af2cd9ed2,noisy_or-p3-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:28:09.953628+00:00
4cdc364fa911cb2c775edde3cdfa4ab61b7c354d80e52fc43c98f029def35b66,4cdc364fa911,noisy_or-p4-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:34:38.088414+00:00
1d60735315133533a7f25ab07001895ee93641717bae5805d9c148ac59efe0f8,1d6073531513,noisy_or-p4-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:44:03.655278+00:00
e42083d213dfa03fa854ca4f34500aa54a1da3e30cfab6b2e434fccc1e651609,e42083d213df,noisy_or-p4-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:51:49.385768+00:00
cbc61df6c785724f2f4b9828b88066b36f0a26bc288cae9f72c4d95aa8da1f4f,cbc61df6c785,noisy_or-p5-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T20:00:34.318171+00:00
b8770126f855e515b67c39ee2facad64ebeb558036469398a7190568e0f67b91,b8770126f855,noisy_or-p5-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T20:13:29.603629+00:00
a47889b9a2557fef45bb0b274df925cee698250c4119a741ffa78d8691fc3e81,a47889b9a255,noisy_or-p5-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T20:23:53.219023+00:00
