agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2,rmse_task,r2_task
gpt-5-mini-v_low-r_low,CoT,,0.0264511443674564,huber,0.0872443616390228,0.101763479411602,0.8615793500264693,0.0314930863991505,-1081.7095117552035,-1071.292699734189,0.1059770665963452,0.0920052568208087,0.8584136321651896,0.0525944042812846,0.0741560599207878,0.0112535080392212,11,238,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:06:33.840016+00:00,0.5055516958236694,0.4017908871173858,0.5055516958236694,0.4017908871173858,0.0455659590661525,-1.642306208610535,0.5204474329948425,2.992447853088379,0.5204474329948425,2.992447853088379,,,,,,,,
gpt-5-mini-v_low-r_low,numeric,,0.036280307918787,huber,0.0968226939439773,0.1139037311077117,0.8711481837974917,0.0439323484897613,-1036.7527996331949,-1026.310882863169,0.1108694818233132,0.0953710927881978,0.8823856064828377,0.0565366841984472,0.0838882149214094,0.0124985455608729,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:08:06.260218+00:00,0.5055516958236694,0.4101493060588836,0.5055516958236694,0.4101493060588836,0.0455659590661525,-1.607509732246399,0.5204474329948425,2.9999990463256836,0.5204474329948425,2.9999990463256836,,,,,,,,
gpt-5-mini-v_low-r_low,CoT,,0.0264511443674564,huber,0.0872443616390228,0.101763479411602,0.8615793500264693,0.0314930863991505,-1081.7095117552035,-1071.292699734189,0.1059649245504363,0.0919755215536464,0.8584460740839946,0.0526219409554075,0.0741263205896724,0.0112387457297567,11,238,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:10:02.167149+00:00,0.5055516958236694,0.4017908871173858,0.5055516958236694,0.4017908871173858,0.0455659590661525,-1.642306208610535,0.5204474329948425,2.992447853088379,0.5204474329948425,2.992447853088379,,,,,,,,
gpt-5-mini-v_low-r_low,numeric-conf,,0.0286733172833919,huber,0.088818684220314,0.1027080565690994,0.8698424520912449,0.0307399723678827,-1086.41507827849,-1075.973161508464,0.1043098034943536,0.0893200799506722,0.8720016427504045,0.0538744691169777,0.0734268823943354,0.0100335966140935,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:12:01.032397+00:00,0.5055516958236694,0.4046125710010528,0.5055516958236694,0.4046125710010528,0.0455659590661525,-1.622082233428955,0.5204474329948425,2.9999983310699463,0.5204474329948425,2.9999983310699463,,,,,,,,
gpt-5-mini-v_low-r_low,CoT,,0.0315213873982429,huber,0.0874456018209457,0.1017306447029113,0.8616686612391158,0.0320961301942833,-1079.8631227152905,-1065.974040020605,0.1124731986367532,0.0987423853982578,0.8405238491749711,0.0538531497448798,0.0808935989574952,0.0180529437902259,11,238,logistic,4,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:15:10.353220+00:00,0.5055516958236694,0.4013824760913849,0.5055516958236694,0.4013824760913849,0.0455659590661525,-1.6422898769378662,0.5204474329948425,2.938394069671631,-0.0582337826490402,2.9999775886535645,,,,,,,,
gpt-5-mini-v_low-r_low,numeric,,0.036280307918787,huber,0.0968226939439773,0.1139037311077117,0.8711481837974917,0.0439323484897613,-1036.7527996331949,-1026.310882863169,0.1108674047706545,0.0953696538101543,0.8823900132681215,0.05653503845149,0.0838867766206915,0.0124978875391411,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:15:46.843925+00:00,0.5055516958236694,0.4101493060588836,0.5055516958236694,0.4101493060588836,0.0455659590661525,-1.607509732246399,0.5204474329948425,2.9999990463256836,0.5204474329948425,2.9999990463256836,,,,,,,,
gpt-5-mini-v_low-r_low,numeric,,0.0424829088151454,huber,0.0968221500515937,0.1139037311077117,0.8711481837974917,0.0439339634031057,-1034.7527996331949,-1020.8302439398268,0.1108694883656407,0.09537138200619,0.8823855926021577,0.0565362091467788,0.0838884702731262,0.012497289122054,11,240,logistic,4,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:17:30.788491+00:00,0.5055516958236694,0.4101525545120239,0.5055516958236694,0.4101525545120239,0.0455659590661525,-1.6075290441513062,0.5204474329948425,2.9999985694885254,-0.0582337826490402,3.0,,,,,,,,
gpt-5-mini-v_low-r_low,numeric-conf,,0.0286733172833919,huber,0.088818684220314,0.1027080565690994,0.8698424520912449,0.0307399723678827,-1086.41507827849,-1075.973161508464,0.1043296066070324,0.0893379901304389,0.8719530374148023,0.0538831173395874,0.0734451495246453,0.0100183117479989,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:21:54.011310+00:00,0.5055516958236694,0.4046125710010528,0.5055516958236694,0.4046125710010528,0.0455659590661525,-1.622082233428955,0.5204474329948425,2.9999983310699463,0.5204474329948425,2.9999983310699463,,,,,,,,
gpt-5-mini-v_low-r_low,CoT,,0.0315213873982429,huber,0.0874456018209457,0.1017306447029113,0.8616686612391158,0.0320961301942833,-1079.8631227152905,-1065.974040020605,0.1125076658941311,0.0987836995449933,0.8404260917032943,0.0538493787257563,0.0809344714879989,0.018034807722402,11,238,logistic,4,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:28:19.627990+00:00,0.5055516958236694,0.4013824760913849,0.5055516958236694,0.4013824760913849,0.0455659590661525,-1.6422898769378662,0.5204474329948425,2.938394069671631,-0.0582337826490402,2.9999775886535645,,,,,,,,
gpt-5-mini-v_low-r_low,numeric,,0.0424829088151454,huber,0.0968221500515937,0.1139037311077117,0.8711481837974917,0.0439339634031057,-1034.7527996331949,-1020.8302439398268,0.1108684215689147,0.095371246879751,0.882387855985221,0.0565343450460351,0.0838883507251739,0.0124976193182396,11,240,logistic,4,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:35:34.515984+00:00,0.5055516958236694,0.4101525545120239,0.5055516958236694,0.4101525545120239,0.0455659590661525,-1.6075290441513062,0.5204474329948425,2.9999985694885254,-0.0582337826490402,3.0,,,,,,,,
