spec_hash,short_spec_hash,friendly_name,link,params_tying,optimizer,lr,epochs,restarts,loss,primary_metric,selection_rule,cv_enabled,timestamp_first_seen
9e77ae20a11b48c05ed51225329d654b2f6d21ea7a11ce72412d6118569fa1c5,9e77ae20a11b,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:07:19.311478+00:00
c40495d64460039359147a7cb48284967d68922b12e81ef87f060cd8157b6356,c40495d64460,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:09:28.047630+00:00
aff881fa0fb03c8939ac98f74a166b1766247b31b17e0c342b46edbf2e29387a,aff881fa0fb0,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:13:22.989670+00:00
28f4f60d458080efc0c37fd588849fc03d433cb203a88a9dd13adebe885f3ef5,28f4f60d4580,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:16:24.191872+00:00
db4a3b7eb535fcb904a4bc5b2420b6ca16b795bbb97c479f65b102da1d1e355f,db4a3b7eb535,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:19:03.175570+00:00
11600cee0ab65cbd1cdfb70b8883eadbb43ef5afa1d1c988e7fc0d5e44bebf9c,11600cee0ab6,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:44:01.663256+00:00
3b80563206674dde63fea6452a24fda61cacb9ed9eba059b746e2f2f0f2fcb53,3b8056320667,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:51:35.202104+00:00
12d52be2b4715f4eb6831ef28ab61a04f120545b0c2def0cb4ab7c89da6f1731,12d52be2b471,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:01:06.145024+00:00
2826cbb6bdb1c6c8f43edb2675d733a01346d8d17f5b4a16efbb24e8b68a7856,2826cbb6bdb1,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:09:19.760500+00:00
fc86278ffa0ecf6fb7d7ee474b920822cb694b5346a603ab1083c3c5204ae960,fc86278ffa0e,noisy_or-p3-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:16:05.279660+00:00
acc8548329eb5806a17cd3b87d9d57c31086435dc45b3641c82cc46df216f3ca,acc8548329eb,noisy_or-p3-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:22:48.259689+00:00
6c03a69ce5c2a7e92d3fb9b6f2d9849994a7e98d3985d64f8e116809b11cd846,6c03a69ce5c2,noisy_or-p3-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:28:51.415547+00:00
c3cb2af919e7b3c9a5b0d1769e6d2dd13d3fd4b9357fabed6a725328853dd3a3,c3cb2af919e7,noisy_or-p4-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:35:08.711190+00:00
72d323d2f63a3329ebf6e98a8d3cf5ee1a6983212240848c7c5be7b7391399dc,72d323d2f63a,noisy_or-p4-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:44:57.213077+00:00
a5375e89f0a6aa7c3717ac2b613ebdeabb2e030426e8abb7c2b03310b17c18ed,a5375e89f0a6,noisy_or-p4-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:52:39.951704+00:00
ce9cd8981eecb725ce8371480c3931ddd532743740978248098c3f396865d3cb,ce9cd8981eec,noisy_or-p5-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T20:01:07.642973+00:00
4d54269f463166d6ac87ff8b29db13f14a71443af65f819ad59ea6a64eab1cbe,4d54269f4631,noisy_or-p5-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T20:14:41.177325+00:00
22b3a51d76e7a83f4f6034a9fcb02b52c8ca4dc69db1a3926cb72ed25776289a,22b3a51d76e7,noisy_or-p5-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T20:24:57.287188+00:00
