spec_hash,short_spec_hash,friendly_name,link,params_tying,optimizer,lr,epochs,restarts,loss,primary_metric,selection_rule,cv_enabled,timestamp_first_seen
a8b1a82d342d4e4c70d948d428c7dcfbaf30e62194298ce082c09a522bcf5c26,a8b1a82d342d,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:07:39.348266+00:00
eba3d564f4b1ce180b4e29b40a8dd039e6f5beb27e3a2efbc70d01664f83ea68,eba3d564f4b1,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:10:26.313025+00:00
99175507f0d284a34baa90ea56fcf3ece124c909717a98f1e0784c01d322ca55,99175507f0d2,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:13:45.391558+00:00
d67cb18ed75d89ee9a4b68d3d5c779ecf5881bbc6eb2375396f9c04d83c32764,d67cb18ed75d,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:16:50.522472+00:00
5fa7ea5711b853b24fb32e634c39e5a503227fa106a54e482bacf78e7c38eca9,5fa7ea5711b8,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:37:54.670407+00:00
5b6b61f83c2c292ddc5a591d58a64c30e788a6c9853c95abbac6fcd5c64be06e,5b6b61f83c2c,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:44:24.685031+00:00
274245eb66de9cb82601f1c4da6d008d421d7edfc7d11b67d7d99c0c92065e35,274245eb66de,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:52:20.678737+00:00
520ac4ca5db40fbe6c09f81e18cf874cc08959e1e2096a8ca9b4c8d4656cd4fa,520ac4ca5db4,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:02:27.096121+00:00
4d4280a598365b97830bdb7738accef4f52648113c3de8402b66d0aa4dafb3db,4d4280a59836,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:10:15.654022+00:00
e5d42c4b11d535f1218557be397299eca40cc8b4f4b878f1ccf4e0d6ff96bbb4,e5d42c4b11d5,noisy_or-p3-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:16:37.215319+00:00
04c5bb4db7414ffde0129f2baf13a6a6d1e3ae9c2b5fdfdd66fb8517e40871ff,04c5bb4db741,noisy_or-p3-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:23:54.297778+00:00
e4b80531340c53c7085391c53efbcb7533d05caf029423429dc591359f4a8299,e4b80531340c,noisy_or-p3-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:29:27.550820+00:00
b7ae8bc3a391e7ccf8b809434fc6023a64d2dcaf26aaca8f4d00f7bcdc163095,b7ae8bc3a391,noisy_or-p4-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:35:51.625000+00:00
8059f7460c4a43eac09effde0fcb54882bb0c564eb16c8f33608b51e43de7e68,8059f7460c4a,noisy_or-p4-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:46:17.017146+00:00
c7469a46553b5717c8b372c96711d73e688159d9792bb6ed657f0d09edc12bba,c7469a46553b,noisy_or-p4-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:53:28.431019+00:00
5e7c2c0be84f0ac603319469b975ceb70c94492914f965f50c0408a145060419,5e7c2c0be84f,noisy_or-p5-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T20:02:16.140245+00:00
79361285d922d1e6dbdd7ac4dfe82127e1c2ffb0bb4b73640b857213f0b0b3cb,79361285d922,noisy_or-p5-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T20:16:28.412381+00:00
efb9b98f5a7de3a3cab386e332aa1f46505250fccebb117a87fc0cd013024f0f,efb9b98f5a7d,noisy_or-p5-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T20:26:24.206682+00:00
