spec_hash,short_spec_hash,friendly_name,link,params_tying,optimizer,lr,epochs,restarts,loss,primary_metric,selection_rule,cv_enabled,timestamp_first_seen
69e0d4960bbdf661775eddbcd2f0aab9a9a2aabbef8a66d7ab0a7d4687c54ebb,69e0d4960bbd,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:07:54.704876+00:00
fbcb01b993e9f90ba16b2d3adcf8436b9614b030e1db64253b4f56c3154ee498,fbcb01b993e9,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:11:02.145420+00:00
b42c3ef46f520acb0670ab7775445acad51bdd6762ee15357553e7d183dc5a00,b42c3ef46f52,logistic-p3-lbfgs-lr0.1-e300-r5-huber-cv,logistic,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:14:19.459807+00:00
8f47b96e2f56b65f1fbc9f59324d631d85530550f70704b6a2f353d154d3dbef,8f47b96e2f56,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:17:14.370942+00:00
7d34bc6700a059d96c9f7d4aafdf4c8544e99cc35b9b807f367b6296887d4e8d,7d34bc6700a0,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:38:24.952474+00:00
72e21fd71840a9b59bf480a447133c3bcb96f83fc059e38f3123c12bbcdbdc95,72e21fd71840,logistic-p4-lbfgs-lr0.1-e300-r5-huber-cv,logistic,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:45:01.537631+00:00
3e2c5c3dd5b6509e69eef94f69b8616ce3bc8b71bcf8d96a43691d9c377da1dd,3e2c5c3dd5b6,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T18:52:48.029361+00:00
24bfccdbdaa6b8ab3a5d6d35578c28f3be62902da015ad9a21fc2703a99e6e22,24bfccdbdaa6,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:03:00.914197+00:00
0551fc65ecf5dfa074b0156f08fc1b5ae5c92442f6adf0d49f380d06717febde,0551fc65ecf5,logistic-p5-lbfgs-lr0.1-e300-r5-huber-cv,logistic,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:11:02.653640+00:00
911f334ec0c1ed6f6dec26c8769328785756bfa6f43b309bd85bde3d4a612ea8,911f334ec0c1,noisy_or-p3-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:16:55.995014+00:00
90c39be19a97a0fa01b1f36844293f186a5a2bc643b1de7ed9049766c2d3ab47,90c39be19a97,noisy_or-p3-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:24:22.452503+00:00
5d7558f9bac2d26f17de158a9ffed19999e8d60b6a0fe117e06a11fea50f0f54,5d7558f9bac2,noisy_or-p3-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,3,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:29:48.604661+00:00
d33f72cd553f1ff9289889ade3543a676334d71f2153d0dce1ee49fc2b8f62fa,d33f72cd553f,noisy_or-p4-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:36:18.392693+00:00
c7867399bdc212a50ec29abcea81c86256df2c4e37a73e6eb43777a179e987a7,c7867399bdc2,noisy_or-p4-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:46:49.749494+00:00
c900ae72f60f3f4ce4d9904d242b85fad562cf5f5baeac0a47d922d914222327,c900ae72f60f,noisy_or-p4-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,4,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T19:53:56.693228+00:00
ab7f068cc2ac659c228ffc47f86dbd147b28fcee148d666372fda3d22e4a15a3,ab7f068cc2ac,noisy_or-p5-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T20:02:51.869497+00:00
e5f47fbc52ddeda9eda4733050dd2ceadd5de7cbc9b79945077f90d037d22068,e5f47fbc52dd,noisy_or-p5-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T20:17:05.207775+00:00
b3b489707770ed7228d238e92dde047c6c29e92a185d879d397a1f209c156220,b3b489707770,noisy_or-p5-lbfgs-lr0.1-e300-r5-huber-cv,noisy_or,5,lbfgs,0.1,300,5,huber,aic,best_loss,True,2025-08-25T20:26:57.743243+00:00
