agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2,rmse_task,r2_task
gpt-5-v_low-r_minimal,CoT,,0.011460343375802,huber,0.0756337419152259,0.0938670188188552,0.7855481678414119,0.0601077862083911,-1129.620554364115,-1119.178637594089,0.1089896796046615,0.0982245292266209,0.7346068449638101,0.0472302034564267,0.0493434901129115,0.0024465449470462,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:07:54.731451+00:00,0.5055516958236694,0.4602713882923126,0.5055516958236694,0.4602713882923126,0.0455659590661525,-0.9559961557388306,0.5204474329948425,1.6130807399749756,0.5204474329948425,1.6130807399749756,,,,,,,,
gpt-5-v_low-r_minimal,CoT,,0.011460343375802,huber,0.0756337419152259,0.0938670188188552,0.7855481678414119,0.0601077862083911,-1129.620554364115,-1119.178637594089,0.1089839769671223,0.0982239345348242,0.734634616425849,0.0472182795119518,0.0493505519086664,0.0024374674305771,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:11:15.439070+00:00,0.5055516958236694,0.4602713882923126,0.5055516958236694,0.4602713882923126,0.0455659590661525,-0.9559961557388306,0.5204474329948425,1.6130807399749756,0.5204474329948425,1.6130807399749756,,,,,,,,
gpt-5-v_low-r_minimal,numeric,,0.0345464833080768,huber,0.1133245378732681,0.1443953514099121,0.7836859292007672,0.0643154572695493,-922.8961274529375,-912.4542106829116,0.1098458460917078,0.0904315050713943,0.8728773894089704,0.06235585613337,0.0791513219836986,0.0380730975848255,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:11:36.800472+00:00,0.5055516958236694,0.435185045003891,0.5055516958236694,0.435185045003891,0.0455659590661525,-1.5199785232543943,0.5204474329948425,2.9364590644836426,0.5204474329948425,2.9364590644836426,,,,,,,,
gpt-5-v_low-r_minimal,numeric-conf,,0.0125739835202693,huber,0.0641934648156166,0.0928721576929092,0.8156885588974729,0.0367570258677005,-1134.7350494308616,-1124.2931326608357,0.0856721734795007,0.0656611242619427,0.8495388430296474,0.0550303377180204,0.0509326747150132,0.0130990073717001,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:14:58.067686+00:00,0.5055516958236694,0.4706622064113617,0.5055516958236694,0.4706622064113617,0.0455659590661525,-0.8831976652145386,0.5204474329948425,1.6878199577331543,0.5204474329948425,1.6878199577331543,,,,,,,,
gpt-5-v_low-r_minimal,CoT,,0.0148962335661053,huber,0.0712672397494316,0.0886052772402763,0.8089166535860024,0.0575489208102226,-1155.310663066015,-1141.388107372647,0.0994646807368253,0.0904365577119769,0.7789671866127112,0.0414059385026696,0.0560238008788137,0.0135776405623465,11,240,logistic,4,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:17:14.406620+00:00,0.5055516958236694,0.4468564391136169,0.5055516958236694,0.4468564391136169,0.0455659590661525,-1.3610613346099854,0.5204474329948425,1.4349292516708374,-0.0582337826490402,2.218228816986084,,,,,,,,
gpt-5-v_low-r_minimal,numeric,,0.0345464833080768,huber,0.1133245378732681,0.1443953514099121,0.7836859292007672,0.0643154572695493,-922.8961274529375,-912.4542106829116,0.1098386485651735,0.0904307234377572,0.8728940479976973,0.0623443099019274,0.0791527430126161,0.0380740092649604,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:18:55.560832+00:00,0.5055516958236694,0.435185045003891,0.5055516958236694,0.435185045003891,0.0455659590661525,-1.5199785232543943,0.5204474329948425,2.9364590644836426,0.5204474329948425,2.9364590644836426,,,,,,,,
gpt-5-v_low-r_minimal,numeric-conf,,0.0125739835202693,huber,0.0641934648156166,0.0928721576929092,0.8156885588974729,0.0367570258677005,-1134.7350494308616,-1124.2931326608357,0.0856735049781767,0.0656531385941938,0.8495341661227833,0.0550419371750053,0.0509224782568035,0.013092774622368,11,240,logistic,3,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:24:32.311926+00:00,0.5055516958236694,0.4706622064113617,0.5055516958236694,0.4706622064113617,0.0455659590661525,-0.8831976652145386,0.5204474329948425,1.6878199577331543,0.5204474329948425,1.6878199577331543,,,,,,,,
gpt-5-v_low-r_minimal,CoT,,0.0148962335661053,huber,0.0712672397494316,0.0886052772402763,0.8089166535860024,0.0575489208102226,-1155.310663066015,-1141.388107372647,0.099470229521743,0.0904358275550784,0.7789425246373811,0.0414208601496438,0.056033198092923,0.0135718142083197,11,240,logistic,4,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:30:07.027855+00:00,0.5055516958236694,0.4468564391136169,0.5055516958236694,0.4468564391136169,0.0455659590661525,-1.3610613346099854,0.5204474329948425,1.4349292516708374,-0.0582337826490402,2.218228816986084,,,,,,,,
gpt-5-v_low-r_minimal,numeric,,0.0397405065596103,huber,0.1059739887714386,0.1422899812459945,0.7899478949373289,0.052864178828895,-927.946310763716,-914.023755070348,0.1385127474923818,0.0978209245295235,0.7978680275473049,0.0980655288165907,0.0623048062487082,0.0513853655710364,11,240,logistic,4,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:38:57.228312+00:00,0.5055516958236694,0.4400647282600403,0.5055516958236694,0.4400647282600403,0.0455659590661525,-1.297247052192688,0.5204474329948425,2.999997615814209,-0.0582337826490402,2.4188344478607178,,,,,,,,
gpt-5-v_low-r_minimal,numeric-conf,,0.0163867305964231,huber,0.0638202503323555,0.0922459214925766,0.818165808374244,0.0356698878109455,-1135.98265854204,-1122.060102848672,0.1220774027926347,0.0870855482419331,0.6944970634129098,0.0855511517163686,0.0453878875212235,0.0278089067430207,11,240,logistic,4,0.1,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-25T18:45:38.610576+00:00,0.5055516958236694,0.4659280776977539,0.5055516958236694,0.4659280776977539,0.0455659590661525,-0.9970340728759766,0.5204474329948425,1.6156668663024902,-0.0582337826490402,1.881740927696228,,,,,,,,
