spec_hash,short_spec_hash,friendly_name,link,params_tying,optimizer,lr,epochs,restarts,loss,primary_metric,selection_rule,cv_enabled,timestamp_first_seen
4347a638b639c34dda68f00378bbb4439f4c16ad3d8fa75404fb2e4a770c905a,4347a638b639,logistic-p3-lbfgs-lr0.1-e50-r2-huber,logistic,3,lbfgs,0.1,50,2,huber,aic,best_loss,False,2025-08-18T21:32:17.725713+00:00
58edc7d664b9b79497fab845b80556e9608b250b982d77bfb29f3902139ae39b,58edc7d664b9,logistic-p3-lbfgs-lr0.1-e50-r2-huber,logistic,3,lbfgs,0.1,50,2,huber,aic,best_loss,False,2025-08-18T21:32:21.294976+00:00
360182c41b9f7bd8bf6ac7a82a559cf7afa703af91c8d5feca83f8ed2a1afe1d,360182c41b9f,logistic-p3-lbfgs-lr0.1-e50-r2-huber,logistic,3,lbfgs,0.1,50,2,huber,aic,best_loss,False,2025-08-18T21:32:23.836461+00:00
cafeefaa50ef0011ab0c9771473dc988dfe5d32c43770a8b6a74fa48aff6595b,cafeefaa50ef,logistic-p5-lbfgs-lr0.1-e50-r2-huber,logistic,5,lbfgs,0.1,50,2,huber,aic,best_loss,False,2025-08-18T21:32:26.781075+00:00
de106c886db80007e9368add340ce14ee9ad526f85880e87026001208a776e98,de106c886db8,logistic-p5-lbfgs-lr0.1-e50-r2-huber,logistic,5,lbfgs,0.1,50,2,huber,aic,best_loss,False,2025-08-18T21:32:30.799041+00:00
15dea7b0ff7c78eb22652019b67e23ea2e6f8a73ae8038928ddfd61f7c7ab915,15dea7b0ff7c,logistic-p5-lbfgs-lr0.1-e50-r2-huber,logistic,5,lbfgs,0.1,50,2,huber,aic,best_loss,False,2025-08-18T21:32:34.079161+00:00
6b1b151c0d9c4fdc627d668593b1154f3d27590af5dc21f709a939272ae81da5,6b1b151c0d9c,logistic-p3-lbfgs-lr0.1-e12-r6-huber-cv,logistic,3,lbfgs,0.1,12,6,huber,aic,best_loss,True,2025-08-18T21:36:09.293588+00:00
ef58cfd47cdffd0efcf1bfdc5791094060fe0ac376e2f744bc94035e7f5979b5,ef58cfd47cdf,logistic-p3-lbfgs-lr0.1-e12-r6-huber-cv,logistic,3,lbfgs,0.1,12,6,huber,aic,best_loss,True,2025-08-18T21:36:21.355811+00:00
5f1faaf950cc1213f2327ca6e14261d1ed04223a551087962c6080c0caaeee45,5f1faaf950cc,logistic-p3-lbfgs-lr0.1-e12-r6-huber-cv,logistic,3,lbfgs,0.1,12,6,huber,aic,best_loss,True,2025-08-18T21:36:33.723084+00:00
bc73c221742a3b453ed8d64318cac48ebec7a16a5ec0584b29bfe4edba36a4a9,bc73c221742a,logistic-p5-lbfgs-lr0.1-e12-r6-huber-cv,logistic,5,lbfgs,0.1,12,6,huber,aic,best_loss,True,2025-08-18T21:36:46.321020+00:00
