agent,prompt_category,domain,loss,mae,rmse,r2,ece_10bin,aic,bic,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2,loss_function,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds
claude-3-5-haiku-20241022,numeric,,0.0362669639289379,0.1461769044399261,0.1812885254621505,0.4474302563530404,0.0510819513350725,-813.6794409702729,-803.237524200247,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,4,4,2025-08-16T12:25:25.355057+00:00,0.5121279954910278,0.5038653612136841,0.5121279954910278,0.5038653612136841,,,,,,,0.4838784635066986,0.295783519744873,0.4927954077720642,0.5348392128944397,0.4927954077720642,0.5348392128944397,,,,,,,,
claude-3-7-sonnet-20250219,numeric,,0.0630161091685295,0.0737416297197341,0.1171108037233352,0.8970541780375582,0.0360904674977064,-1023.4246809380536,-1012.9827641680276,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:25:32.918179+00:00,0.5055516958236694,0.4650417864322662,0.5055516958236694,0.4650417864322662,,,,,,,0.5037974119186401,0.0195731800049543,0.5437019467353821,0.9195854067802428,0.5437019467353821,0.9195854067802428,,,,,,,,
claude-3-haiku-20240307,numeric,,0.0517412349581718,0.1543903946876526,0.1900574266910553,0.4000095176291308,0.0438014984130859,-791.005923658663,-780.5640068886371,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,4,4,2025-08-16T12:25:47.499334+00:00,0.5121279954910278,0.6575976014137268,0.5121279954910278,0.6575976014137268,,,,,,,0.4838784635066986,0.3533318638801574,0.4927954077720642,0.5734022855758667,0.4927954077720642,0.5734022855758667,,,,,,,,
claude-opus-4-20250514,numeric,,0.0446566119790077,0.1109447479248046,0.1469364315271377,0.7770434569442919,0.0344288004562258,-914.522514357144,-904.0805975871182,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:25:56.185415+00:00,0.5055516958236694,0.4781279861927032,0.5055516958236694,0.4781279861927032,,,,,,,0.5037974119186401,0.095585711300373,0.5437019467353821,0.7826939225196838,0.5437019467353821,0.7826939225196838,,,,,,,,
claude-sonnet-4-20250514,numeric,,0.0426519475877285,0.0875427424907684,0.1023057475686073,0.8967638661606763,0.037879154458642,-1088.2989152891694,-1077.8569985191434,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:26:05.291259+00:00,0.5055516958236694,0.4582407176494598,0.5055516958236694,0.4582407176494598,,,,,,,0.5037974119186401,0.1029290780425071,0.5437019467353821,0.8522419929504395,0.5437019467353821,0.8522419929504395,,,,,,,,
gpt-4,numeric,,0.0380274914205074,0.1614135056734085,0.1745432466268539,0.4979012242351085,0.1221175037324428,-831.8797006041899,-821.437783834164,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,4,4,2025-08-16T12:26:15.239953+00:00,0.5121279954910278,0.5803623795509338,0.5121279954910278,0.5803623795509338,,,,,,,0.4838784635066986,0.2425358295440673,0.4927954077720642,0.6150877475738525,0.4927954077720642,0.6150877475738525,,,,,,,,
gpt-4.1,numeric,,0.0664432570338249,0.0420170091092586,0.0905497893691062,0.9437437204856692,0.023745698062703,-1146.890609166602,-1136.448692396576,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:26:24.320710+00:00,0.5055516958236694,0.4697129428386688,0.5055516958236694,0.4697129428386688,,,,,,,0.5037974119186401,0.0220829676836729,0.5437019467353821,0.9830159544944764,0.5437019467353821,0.9830159544944764,,,,,,,,
gpt-4.1-mini,numeric,,0.0807877033948898,0.1217351928353309,0.1772844940423965,0.7755680228550701,0.0656974906101822,-824.3997904256536,-813.9578736556276,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,1,1,2025-08-16T12:26:39.762037+00:00,0.4715025722980499,0.3839560747146606,0.4715025722980499,0.3839560747146606,,,,,,,0.494641900062561,0.0238707605749368,0.4953719675540924,0.8592097163200378,0.4953719675540924,0.8592097163200378,,,,,,,,
gpt-4o,numeric,,0.0750834643840789,0.0723438560962677,0.1255282908678054,0.8956724712592451,0.0228901723399758,-990.1075883522518,-979.665671582226,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:26:52.183257+00:00,0.5055516958236694,0.4122550189495086,0.5055516958236694,0.4122550189495086,,,,,,,0.5037974119186401,0.0172093007713556,0.5437019467353821,0.9766597747802734,0.5437019467353821,0.9766597747802734,,,,,,,,
humans,numeric,,0.0189701560884714,0.0908365324139595,0.1100012958049774,0.7723586302181731,0.0062899634242057,-1053.4862800164385,-1043.0443632464123,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,9,9,2025-08-16T12:27:08.529728+00:00,0.5083481073379517,0.5285243391990662,0.5083481073379517,0.5285243391990662,,,,,,,0.4851265251636505,0.2389554679393768,0.5145881772041321,0.630224883556366,0.5145881772041321,0.630224883556366,,,,,,,,
o3,numeric,,0.0373092330992221,0.0763840675354003,0.0894799903035163,0.9160298598180694,0.0087282471358776,-1152.595322661836,-1142.15340589181,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:27:40.464161+00:00,0.5055516958236694,0.4431931376457214,0.5055516958236694,0.4431931376457214,,,,,,,0.5037974119186401,0.1069962978363037,0.5437019467353821,0.8417131900787354,0.5437019467353821,0.8417131900787354,,,,,,,,
o3-mini,numeric,,0.0714692026376724,0.0527851432561874,0.1018101051449775,0.9303838549390636,0.0233044391497969,-1090.6300418596145,-1080.1881250895883,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:28:34.479408+00:00,0.5055516958236694,0.4521187543869018,0.5055516958236694,0.4521187543869018,,,,,,,0.5037974119186401,0.0199316758662462,0.5437019467353821,0.9917479753494264,0.5437019467353821,0.9917479753494264,,,,,,,,
gpt-4,numeric-conf,,0.0302866585552692,0.1373448371887207,0.1564459949731826,0.5144030422027983,0.0823599107563495,-884.4213098575515,-873.9793930875255,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,4,4,2025-08-16T12:29:22.535000+00:00,0.5121279954910278,0.5643704533576965,0.5121279954910278,0.5643704533576965,,,,,,,0.4838784635066986,0.265695184469223,0.4927954077720642,0.572147011756897,0.4927954077720642,0.572147011756897,,,,,,,,
gpt-4.1,numeric-conf,,0.0542099066078662,0.0746400281786918,0.0908345729112625,0.9313174533160536,0.0353097353130578,-1145.3833229253842,-1134.9414061553582,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:29:31.557066+00:00,0.5055516958236694,0.4348857700824737,0.5055516958236694,0.4348857700824737,,,,,,,0.5037974119186401,0.050321627408266,0.5437019467353821,0.910256803035736,0.5437019467353821,0.910256803035736,,,,,,,,
gpt-4.1-mini,numeric-conf,,0.057564940303564,0.132268413901329,0.194859966635704,0.6218896279092,0.0314726948738098,-779.0275595128023,-768.5856427427764,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,1,1,2025-08-16T12:29:43.333071+00:00,0.4715025722980499,0.4170363545417785,0.4715025722980499,0.4170363545417785,,,,,,,0.494641900062561,0.109730340540409,0.4953719675540924,0.7240182161331177,0.4953719675540924,0.7240182161331177,,,,,,,,
gpt-4o,numeric-conf,,0.0520013161003589,0.0981190875172615,0.1344042271375656,0.838559462637499,0.0354033507406711,-957.3136496118278,-946.871732841802,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:29:52.136823+00:00,0.5055516958236694,0.4586287438869476,0.5055516958236694,0.4586287438869476,,,,,,,0.5037974119186401,0.0707995370030403,0.5437019467353821,0.8430184721946716,0.5437019467353821,0.8430184721946716,,,,,,,,
o3,numeric-conf,,0.0314762815833091,0.078666478395462,0.0928124114871025,0.8909521031839491,0.0188604187220335,-1135.0439259911732,-1124.6020092211472,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,1,1,2025-08-16T12:30:03.108074+00:00,0.4715025722980499,0.4120751619338989,0.4715025722980499,0.4120751619338989,,,,,,,0.494641900062561,0.1385425925254821,0.4953719675540924,0.7737535834312439,0.4953719675540924,0.7737535834312439,,,,,,,,
o3-mini,numeric-conf,,0.0638151243329048,0.072221502661705,0.0890300646424293,0.9395734946567308,0.0327533886302262,-1155.0149601031978,-1144.573043333172,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:30:12.126652+00:00,0.5055516958236694,0.4073264598846435,0.5055516958236694,0.4073264598846435,,,,,,,0.5037974119186401,0.0352192036807537,0.5437019467353821,0.9513192176818848,0.5437019467353821,0.9513192176818848,,,,,,,,
claude-3-haiku-20240307,CoT,,0.0490652248263359,0.1240504905581474,0.1621418595314026,0.5635309674345539,0.0166603296995162,-867.2561434596873,-856.8142266896614,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,4,4,2025-08-16T12:30:27.142408+00:00,0.5121279954910278,0.6932862401008606,0.5121279954910278,0.6932862401008606,,,,,,,0.4838784635066986,0.2810781002044678,0.4927954077720642,0.6753186583518982,0.4927954077720642,0.6753186583518982,,,,,,,,
claude-opus-4-20250514,CoT,,0.0195590537041425,0.0429193302989006,0.073487214744091,0.9133024109674448,0.0234947461220953,-181.9663585159473,-177.21580170057894,36,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy,3,3,2025-08-16T12:30:36.151365+00:00,0.5055516958236694,0.4871291220188141,0.5055516958236694,0.4871291220188141,,,,,,,0.5037974119186401,0.1499552726745605,0.5437019467353821,0.7519852519035339,0.5437019467353821,0.7519852519035339,,,,,,,,
gpt-4,CoT,,0.0156241869553923,0.0713313892483711,0.0985914170742034,0.7954457689752727,0.0376250296831131,-1106.0501049802033,-1095.608188210177,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,9,9,2025-08-16T12:30:38.534378+00:00,0.5083481073379517,0.4911625981330871,0.5083481073379517,0.4911625981330871,,,,,,,0.4851265251636505,0.2401269376277923,0.5145881772041321,0.6233679056167603,0.5145881772041321,0.6233679056167603,,,,,,,,
gpt-4.1,CoT,,0.0457984134554863,0.0500314943492412,0.0693231299519538,0.9581633167722208,0.0236957121640443,-1275.1088149753068,-1264.6668982052809,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:30:57.332672+00:00,0.5055516958236694,0.4512118697166443,0.5055516958236694,0.4512118697166443,,,,,,,0.5037974119186401,0.072879858314991,0.5437019467353821,0.91785991191864,0.5437019467353821,0.91785991191864,,,,,,,,
gpt-4.1-mini,CoT,,0.0355505235493183,0.0685012862086296,0.0886570662260055,0.9109537971316596,0.0148420324198371,-1152.184202459092,-1141.7548118032976,239,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,1,1,2025-08-16T12:31:53.048844+00:00,0.4715025722980499,0.4154747128486633,0.4715025722980499,0.4154747128486633,,,,,,,0.494641900062561,0.11183562874794,0.4953719675540924,0.8179116249084473,0.4953719675540924,0.8179116249084473,,,,,,,,
gpt-4o,CoT,,0.0314433015882968,0.0700941383838653,0.0897116959095001,0.904138256076976,0.01861142963171,-1151.3539729857562,-1140.9120562157302,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:32:37.023521+00:00,0.5055516958236694,0.4384744763374328,0.5055516958236694,0.4384744763374328,,,,,,,0.5037974119186401,0.1346149146556854,0.5437019467353821,0.8021177053451538,0.5437019467353821,0.8021177053451538,,,,,,,,
o3,CoT,,0.0277405399829149,0.0732545182108879,0.0851029455661773,0.8994891562598906,0.0113104526595822,-1137.246637466941,-1126.9064253519418,232,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,1,1,2025-08-16T12:32:54.178323+00:00,0.4715025722980499,0.4043623507022857,0.4715025722980499,0.4043623507022857,,,,,,,0.494641900062561,0.1384163945913314,0.4953719675540924,0.7438451051712036,0.4953719675540924,0.7438451051712036,,,,,,,,
o3-mini,CoT,,0.0543907433748245,0.068649336695671,0.0988714396953582,0.9195495604119468,0.0346872491762042,-1104.6887213247464,-1094.2468045547205,240,noisy_or,3,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:33:03.615142+00:00,0.5055516958236694,0.4523042440414428,0.5055516958236694,0.4523042440414428,,,,,,,0.5037974119186401,0.0843330100178718,0.5437019467353821,0.9371206164360046,0.5437019467353821,0.9371206164360046,,,,,,,,
claude-3-5-haiku-20241022,numeric,,0.036409918218851,0.1206349283456802,0.1672922372817993,0.5294583188302001,0.0189775872975587,-850.2462683476624,-836.3237126542945,240,noisy_or,4,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,4,4,2025-08-16T12:33:17.242727+00:00,0.5121279954910278,0.4736384153366089,0.5121279954910278,0.4736384153366089,,,,,,,0.4838784635066986,0.1570818424224853,0.4927954077720642,0.2749340236186981,0.4725507199764251,0.7661409378051758,,,,,,,,
claude-3-7-sonnet-20250219,numeric,,0.0636698752641677,0.0715234950184822,0.116353802382946,0.89838075304273,0.0345079500228166,-1024.537455430686,-1010.6148997373182,240,noisy_or,4,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:33:31.100740+00:00,0.5055516958236694,0.4655625224113464,0.5055516958236694,0.4655625224113464,,,,,,,0.5037974119186401,0.0237227212637662,0.5437019467353821,0.9392496943473816,0.4951467514038086,0.8883877992630005,,,,,,,,
claude-3-haiku-20240307,numeric,,0.0517060346901416,0.1497460752725601,0.1894264370203018,0.4039868569594066,0.032846300303936,-790.602181291793,-776.6796255984251,240,noisy_or,4,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,4,4,2025-08-16T12:33:49.108882+00:00,0.5121279954910278,0.6498293280601501,0.5121279954910278,0.6498293280601501,,,,,,,0.4838784635066986,0.3228882849216461,0.4927954077720642,0.5341503024101257,0.4725507199764251,0.6419850587844849,,,,,,,,
claude-opus-4-20250514,numeric,,0.0451906211674213,0.1102244034409523,0.1440034657716751,0.7858553684980076,0.0231213448569178,-922.2005727732708,-908.278017079903,240,noisy_or,4,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T12:34:00.860664+00:00,0.5055516958236694,0.467177540063858,0.5055516958236694,0.467177540063858,,,,,,,0.5037974119186401,0.0746972858905792,0.5437019467353821,0.715480387210846,0.4951467514038086,0.8501876592636108,,,,,,,,
claude-sonnet-4-20250514,numeric,,0.0427802391350269,0.0857708752155304,0.1020666286349296,0.8972458847781788,0.0336312569677829,-1087.422120682406,-1073.4995649890382,240,noisy_or,4,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,1,1,2025-08-16T12:34:28.152784+00:00,0.4715025722980499,0.4595219790935516,0.4715025722980499,0.4595219790935516,,,,,,,0.494641900062561,0.1065809428691864,0.4953719675540924,0.8647428750991821,0.5772022008895874,0.8346793055534363,,,,,,,,
gpt-4,numeric,,0.0384164415299892,0.0647821798920631,0.1289149671792984,0.7261014291387551,0.0171147175133228,-975.3290621142152,-961.4065064208472,240,noisy_or,4,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,4,4,2025-08-16T12:50:05.763689+00:00,0.5121279954910278,0.4917770028114319,0.5121279954910278,0.4917770028114319,,,,,,,0.4838784635066986,0.0046695414930582,0.4927954077720642,0.1272840946912765,0.4725507199764251,0.9027717113494872,,,,,,,,
gpt-4.1,numeric,,0.0666582956910133,0.0423875823616981,0.0903774350881576,0.9439576758689326,0.0249887614045292,-1145.8051237277427,-1131.8825680343748,240,noisy_or,4,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,1,1,2025-08-16T12:50:20.631858+00:00,0.4715025722980499,0.4705118536949157,0.4715025722980499,0.4705118536949157,,,,,,,0.494641900062561,0.0210242588073015,0.4953719675540924,0.9764154553413392,0.5772022008895874,0.9964984655380248,,,,,,,,
gpt-4.1-mini,numeric,,0.080302856862545,0.1115747317671775,0.1757228374481201,0.7795045234465702,0.055903161689639,-826.6467065766741,-812.7241508833062,240,noisy_or,4,0.15,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,1,1,2025-08-16T13:03:03.506593+00:00,0.4715025722980499,0.3892849087715149,0.4715025722980499,0.3892849087715149,,,,,,,0.494641900062561,0.0325566492974758,0.4953719675540924,0.919958472251892,0.5772022008895874,0.8165490031242371,,,,,,,,
