agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
claude-3-5-haiku-20241022,numeric,,0.0188077017664909,huber,0.1461770981550216,0.1812885254621505,0.447430222948511,0.0510814864188432,-813.67942646154,-803.237509691514,,,,,,,,240,noisy_or,3,0.05,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-17T21:32:57.321666+00:00,0.5055516958236694,0.5038642883300781,0.5055516958236694,0.5038642883300781,,,,,,,0.5037974119186401,0.2957458198070526,0.5437019467353821,0.5348365902900696,0.5437019467353821,0.5348365902900696
claude-3-7-sonnet-20250219,numeric,,0.0315080545842647,huber,0.0737582296133041,0.1171108037233352,0.8970541705809099,0.0361074345186352,-1023.424663554196,-1012.98274678417,,,,,,,,240,noisy_or,3,0.05,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-17T21:33:00.191488+00:00,0.5055516958236694,0.4649455845355987,0.5055516958236694,0.4649455845355987,,,,,,,0.5037974119186401,0.019561143592,0.5437019467353821,0.919590950012207,0.5437019467353821,0.919590950012207
claude-3-haiku-20240307,numeric,,0.0276773739606142,huber,0.1543891578912735,0.1900574117898941,0.4000096496350828,0.0438002452254295,-791.0059764618871,-780.5640596918612,,,,,,,,240,noisy_or,3,0.05,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-17T21:33:04.832406+00:00,0.5055516958236694,0.6576029658317566,0.5055516958236694,0.6576029658317566,,,,,,,0.5037974119186401,0.3533401787281036,0.5437019467353821,0.573406457901001,0.5437019467353821,0.573406457901001
claude-opus-4-20250514,numeric,,0.0223283059895038,huber,0.1109438240528106,0.1469364315271377,0.7770434569442919,0.0344364074990153,-914.522514357144,-904.0805975871182,,,,,,,,240,noisy_or,3,0.05,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-17T21:33:07.612057+00:00,0.5055516958236694,0.4781195819377899,0.5055516958236694,0.4781195819377899,,,,,,,0.5037974119186401,0.0956129655241966,0.5437019467353821,0.7827267646789551,0.5437019467353821,0.7827267646789551
claude-sonnet-4-20250514,numeric,,0.0213259737938642,huber,0.0875425413250923,0.1023057475686073,0.8967638759591967,0.0378775406628847,-1088.2989380684514,-1077.8570212984257,,,,,,,,240,noisy_or,3,0.05,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-17T21:33:11.231403+00:00,0.5055516958236694,0.4582443237304687,0.5055516958236694,0.4582443237304687,,,,,,,0.5037974119186401,0.1029442995786666,0.5437019467353821,0.8522472381591797,0.5437019467353821,0.8522472381591797
gpt-4,numeric,,0.0199041087180376,huber,0.1614141762256622,0.1745432466268539,0.4979012569798743,0.1221183948218822,-831.8797162559789,-821.437799485953,,,,,,,,240,noisy_or,3,0.05,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-17T21:33:14.779977+00:00,0.5055516958236694,0.5803689956665039,0.5055516958236694,0.5803689956665039,,,,,,,0.5037974119186401,0.2425559610128402,0.5437019467353821,0.6150904893875122,0.5437019467353821,0.6150904893875122
gpt-4.1,numeric,,0.0332216285169124,huber,0.0420078672468662,0.0905497893691062,0.9437437170777052,0.0237357700709253,-1146.8905946275795,-1136.4486778575535,,,,,,,,240,noisy_or,3,0.05,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-17T21:33:18.281959+00:00,0.5055516958236694,0.4697062075138092,0.5055516958236694,0.4697062075138092,,,,,,,0.5037974119186401,0.0220526717603206,0.5437019467353821,0.9830378293991088,0.5437019467353821,0.9830378293991088
gpt-4.1-mini,numeric,,0.0403938516974449,huber,0.1217345520853996,0.1772844940423965,0.7755680086676929,0.0656975822523236,-824.3997752541507,-813.9578584841247,,,,,,,,240,noisy_or,3,0.05,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,1,1,2025-08-17T21:33:23.100120+00:00,0.4715025722980499,0.3839605748653412,0.4715025722980499,0.3839605748653412,,,,,,,0.494641900062561,0.0238795969635248,0.4953719675540924,0.8592252731323242,0.4953719675540924,0.8592252731323242
gpt-4o,numeric,,0.0375417321920394,huber,0.0723320320248603,0.1255282908678054,0.8956724646819919,0.0228845696896314,-990.1075732216268,-979.6656564516009,,,,,,,,240,noisy_or,3,0.05,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-17T21:33:26.994621+00:00,0.5055516958236694,0.4122667610645294,0.5055516958236694,0.4122667610645294,,,,,,,0.5037974119186401,0.0171553492546081,0.5437019467353821,0.9766656756401062,0.5437019467353821,0.9766656756401062
humans,numeric,,0.0097725437954068,huber,0.0908351391553878,0.1100012958049774,0.7723586489071014,0.006282390654087,-1053.4862997199878,-1043.0443829499618,,,,,,,,240,noisy_or,3,0.05,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-17T21:33:32.145574+00:00,0.5055516958236694,0.5285348892211914,0.5055516958236694,0.5285348892211914,,,,,,,0.5037974119186401,0.2390221357345581,0.5437019467353821,0.6302096843719482,0.5437019467353821,0.6302096843719482
