agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,rmse_task,r2_task,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
claude-3-5-haiku-20241022,numeric,,0.029946181923151,huber,0.1093311011791229,0.1462295353412628,0.3596075932269549,0.0943180836113584,0.6886508228718875,0.0420079380273819,-1839.674669516034,-1827.153311204328,0.1487362643265937,0.1112488020550121,0.225731589381347,0.0987227449332478,0.0579749118198048,0.0081685517773483,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,4,4,2025-08-31T13:33:14.245156+00:00,0.5121279954910278,0.7317970991134644,0.5121279954910278,0.7317970991134644,,,,,,,0.4838784635066986,0.4110470116138458,0.4927954077720642,0.4881303608417511,0.4927954077720642,0.4881303608417511
claude-3-7-sonnet-20250219,numeric,,0.0268228035420179,huber,0.1242777779698371,0.1633062958717346,0.7518109605873531,0.0756579371861271,0.9413081757118604,0.037961534038186,-1733.642622512818,-1721.121264201112,0.1045100004070561,0.0861266458576375,0.8880086914039714,0.0591991643386623,0.0550189149199109,-0.0201368896347103,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,3,3,2025-08-31T13:33:54.595275+00:00,0.5055516958236694,0.4675023555755615,0.5055516958236694,0.4675023555755615,,,,,,,0.5037974119186401,0.0483548678457737,0.5437019467353821,0.7740605473518372,0.5437019467353821,0.7740605473518372
claude-3-haiku-20240307,numeric,,0.0273867323994636,huber,0.1138892173767089,0.155820295214653,0.3437470061713147,0.0942585732775077,0.6430271267454112,0.0043701276183128,-1778.689783148197,-1766.168424836491,0.1156421759121325,0.0943362774270953,0.4626886691500492,0.0668863185628473,0.0253874421119689,0.0017418771079092,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,4,4,2025-08-31T13:34:51.853417+00:00,0.5121279954910278,0.7112950682640076,0.5121279954910278,0.7112950682640076,,,,,,,0.4838784635066986,0.4771848022937774,0.4927954077720642,0.4978323876857757,0.4927954077720642,0.4978323876857757
claude-3-opus,numeric,,0.0090984720736742,huber,0.1104402244091034,0.1315860599279403,0.4974361074043788,0.0612279334548362,0.8571617286922233,0.0344686985015869,-1940.9704296412503,-1928.4490713295447,0.091570458044951,0.0837192743113546,0.6805107520325853,0.0370975995900312,0.0579056326187018,-0.0051064417217716,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,4,4,2025-08-31T13:35:34.319531+00:00,0.5121279954910278,0.5370668172836304,0.5121279954910278,0.5370668172836304,,,,,,,0.4838784635066986,0.4614630341529846,0.4927954077720642,0.4611842632293701,0.4927954077720642,0.4611842632293701
claude-sonnet-4-20250514,numeric,,0.0098138470202684,huber,0.0567908138036727,0.0941180437803268,0.8579739199696432,0.0254499138439481,0.989764223427786,0.0197927720844745,-2262.677295396377,-2250.155937084671,0.0358601171111483,0.0340210399483189,0.9796777624595254,0.011336526807632,0.0292655718687808,0.0106787607164094,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,3,3,2025-08-31T13:36:11.065823+00:00,0.5055516958236694,0.4836991131305694,0.5055516958236694,0.4836991131305694,,,,,,,0.5037974119186401,0.2113725692033767,0.5437019467353821,0.700874924659729,0.5437019467353821,0.700874924659729
gemini-1.5-pro,numeric,,0.0198282208293676,huber,0.1430847197771072,0.1844408363103866,0.571400335269346,0.0723114691513084,0.9114465618052894,0.0534672915935516,-1616.8094889011888,-1604.288130589483,0.1205339214236339,0.0960361614371791,0.7539577874581898,0.072838739075926,0.0853289997938907,-0.0044842730868946,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,3,3,2025-08-31T13:36:51.225285+00:00,0.5055516958236694,0.562299907207489,0.5055516958236694,0.562299907207489,,,,,,,0.5037974119186401,0.3321526050567627,0.5437019467353821,0.6890394687652588,0.5437019467353821,0.6890394687652588
gemini-2.5-flash-lite,numeric,,0.0417440235614776,huber,0.2353109717369079,0.2872435450553894,0.2919780300529142,0.1690987486641079,0.6002314223019294,0.037341073342447,-1186.5381926976067,-1174.0293605001325,0.2303269753754255,0.1847932799334375,0.2583184458890294,0.1374843964856887,0.1136114859258183,0.0182581921918095,11,478,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,1,1,2025-08-31T13:37:31.013517+00:00,0.4715025722980499,0.4528203308582306,0.4715025722980499,0.4528203308582306,,,,,,,0.494641900062561,0.416836678981781,0.4953719675540924,0.533787190914154,0.4953719675540924,0.533787190914154
gpt-3.5-turbo,numeric,,0.0236385520547628,huber,0.0765256062150001,0.0923312306404113,0.3764054688471345,0.0402599657254572,0.7943792462290381,0.0014101952314376,-2281.0778936689603,-2268.5565353572547,0.0545663063487195,0.0466396310112692,0.6222805917664622,0.0283236051320266,0.0245134288614446,0.0010840459303422,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,4,4,2025-08-31T13:38:08.231168+00:00,0.5121279954910278,0.7184109091758728,0.5121279954910278,0.7184109091758728,,,,,,,0.4838784635066986,0.6164478063583374,0.4927954077720642,0.3805820047855377,0.4927954077720642,0.3805820047855377
gpt-4,numeric,,0.0156984087079763,huber,0.1397929787635803,0.1745016872882843,0.4409500968444397,0.0969398434611883,0.7678875719915028,0.0683891594409942,-1669.988034368737,-1657.4666760570317,0.1598386519696331,0.1438060968211203,0.368959313587347,0.0697724958744064,0.0788682487877932,-0.0102741774284478,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,4,4,2025-08-31T13:38:49.898554+00:00,0.5121279954910278,0.5489267706871033,0.5121279954910278,0.5489267706871033,,,,,,,0.4838784635066986,0.452477753162384,0.4927954077720642,0.5364559888839722,0.4927954077720642,0.5364559888839722
gpt-4.1,numeric,,0.0249424614012241,huber,0.0991518422961235,0.1268254965543747,0.8547371814963589,0.055836182597894,0.9715796155065703,0.0432543739676475,-1976.345417230827,-1963.8240589191212,0.0736158101104302,0.0604017506404356,0.9505984340225172,0.0420822530027274,0.0520426884203246,0.0246398889295982,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_d,collider,0.0,econ_ovl_d=ctl;econ_ovl_d=soc;soc_ovl_d=ctl;soc_ovl_d=econ;weath_ovl_d=ctl;weath_ovl_d=econ,3,3,2025-08-31T13:39:27.238685+00:00,0.5055516958236694,0.4557806253433227,0.5055516958236694,0.4557806253433227,,,,,,,0.5037974119186401,0.1002629175782203,0.5437019467353821,0.8623483180999756,0.5437019467353821,0.8623483180999756
