agent,prompt_category,domain,loss,loss_function,mae,rmse,r2,rmse_task,r2_task,ece_10bin,aic,bic,loocv_rmse,loocv_mae,loocv_r2,loocv_consistency,loocv_calibration,loocv_bias,loocv_n_folds,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
gemini-1.5-pro,numeric,,0.0176831278949975,huber,0.1338299065828323,0.1715161949396133,0.6207539018904947,0.0708148513050481,0.9173860455324624,0.0638929009437561,-1686.5544539260911,-1674.0330956143853,0.1129824571365405,0.0963651008678205,0.7897060566332939,0.0589813780387081,0.0733787256659883,-0.0043015575770175,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_de,collider,0.0,econ_ovl_de=ctl;econ_ovl_de=soc;soc_ovl_de=ctl;soc_ovl_de=econ;weath_ovl_de=ctl;weath_ovl_de=econ,3,3,2025-08-31T13:32:54.949780+00:00,0.5055516958236694,0.5681218504905701,0.5055516958236694,0.5681218504905701,,,,,,,0.5037974119186401,0.349611222743988,0.5437019467353821,0.7067369818687439,0.5437019467353821,0.7067369818687439
gemini-2.5-flash-lite,numeric,,0.0471517294645309,huber,0.257648766040802,0.3056838810443878,0.2534950320068776,0.175550697443389,0.5637915072972639,0.0219054506090519,-1100.9803712426142,-1088.5413834696076,0.2303908769272416,0.1790980858621406,0.2486893622072182,0.1449269878656859,0.1019689623071698,0.0055138817728543,11,467,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_de,collider,0.0,econ_ovl_de=ctl;econ_ovl_de=soc;soc_ovl_de=ctl;soc_ovl_de=econ;weath_ovl_de=ctl;weath_ovl_de=econ,1,1,2025-08-31T13:33:33.260384+00:00,0.4715025722980499,0.4389227032661438,0.4715025722980499,0.4389227032661438,,,,,,,0.494641900062561,0.4371539354324341,0.4953719675540924,0.4974130094051361,0.4953719675540924,0.4974130094051361
gpt-4o,numeric,,0.0404667370021343,huber,0.1444804966449737,0.2080850452184677,0.7020398829405649,0.0601076145999212,0.969279829470854,0.0393212864175438,-1501.016087684892,-1488.494729373186,0.0925273146410179,0.0812106333898775,0.927204495982616,0.0443411431865805,0.0565365609797564,0.0367432383876858,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_de,collider,0.0,econ_ovl_de=ctl;econ_ovl_de=soc;soc_ovl_de=ctl;soc_ovl_de=econ;weath_ovl_de=ctl;weath_ovl_de=econ,3,3,2025-08-31T13:34:12.277056+00:00,0.5055516958236694,0.4632143378257751,0.5055516958236694,0.4632143378257751,,,,,,,0.5037974119186401,0.0727148130536079,0.5437019467353821,0.856281578540802,0.5437019467353821,0.856281578540802
gemini-1.5-pro,CoT,,0.0097667267546057,huber,0.0635275095701217,0.0972079783678054,0.8556828005004579,0.0362620836366216,0.9802597537432476,0.0259749263525009,-2231.666363682907,-2219.1450053712015,0.0516922962752561,0.0464830897071144,0.9598857474812296,0.0226145056432638,0.0346908699382435,-0.0062874356905619,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_de,collider,0.0,econ_ovl_de=ctl;econ_ovl_de=soc;soc_ovl_de=ctl;soc_ovl_de=econ;weath_ovl_de=ctl;weath_ovl_de=econ,3,3,2025-08-31T13:38:18.202417+00:00,0.5055516958236694,0.4736327528953552,0.5055516958236694,0.4736327528953552,,,,,,,0.5037974119186401,0.2301287204027176,0.5437019467353821,0.7222555875778198,0.5437019467353821,0.7222555875778198
gemini-2.5-flash-lite,CoT,,0.0128886122256517,huber,0.0705198124051094,0.0970719531178474,0.877147421233561,0.0238767649296028,0.99249423343196,0.0181785061531567,-2125.7247660548614,-2113.350715882179,0.0401598766809715,0.0315879438440379,0.978766147059348,0.0247995463413495,0.0274306419317364,0.014835925233083,11,457,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_de,collider,0.0,econ_ovl_de=ctl;econ_ovl_de=soc;soc_ovl_de=ctl;soc_ovl_de=econ;weath_ovl_de=ctl;weath_ovl_de=econ,3,3,2025-08-31T13:39:01.371830+00:00,0.5055516958236694,0.4726142585277557,0.5055516958236694,0.4726142585277557,,,,,,,0.5037974119186401,0.1860167980194091,0.5437019467353821,0.7548990249633789,0.5437019467353821,0.7548990249633789
gpt-4o,CoT,,0.0115460539236664,huber,0.0753018781542778,0.0921016111969947,0.866420554713657,0.0368539217947293,0.9794428089926672,0.0129768393933773,-2283.4683416874777,-2270.946983375772,0.047334478408593,0.0390794402722156,0.9660881434957488,0.0267086164790296,0.0231426673405098,0.0031377087036768,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_de,collider,0.0,econ_ovl_de=ctl;econ_ovl_de=soc;soc_ovl_de=ctl;soc_ovl_de=econ;weath_ovl_de=ctl;weath_ovl_de=econ,1,1,2025-08-31T13:39:44.972509+00:00,0.4715025722980499,0.4101981818675995,0.4715025722980499,0.4101981818675995,,,,,,,0.494641900062561,0.1777238547801971,0.4953719675540924,0.6930537223815918,0.4953719675540924,0.6930537223815918
claude-opus-4-1-20250805,numeric-conf,,0.0077428626827895,huber,0.0569280683994293,0.096146784722805,0.8146628759049577,0.0334442200395015,0.9769202617093352,0.0162094488739967,-1680.1530834829368,-1668.4947713885863,0.0425384499350221,0.0337129958049215,0.9626619097551026,0.0259413499404276,0.0100603032292742,0.00132556115136,11,360,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_de,collider,0.0,econ_ovl_de=ctl;econ_ovl_de=soc;soc_ovl_de=ctl;soc_ovl_de=econ;weath_ovl_de=econ,3,3,2025-08-31T13:42:39.386958+00:00,0.5055516958236694,0.4824675917625427,0.5055516958236694,0.4824675917625427,,,,,,,0.5037974119186401,0.2539361417293548,0.5437019467353821,0.6413739323616028,0.5437019467353821,0.6413739323616028
claude-opus-4-20250514,numeric-conf,,0.0075249979272484,huber,0.0622012615203857,0.0998173281550407,0.7986938525348922,0.0429088649618971,0.961690593246518,0.0156763136386871,-2206.236966118099,-2193.7156078063936,0.0561172861624724,0.0437787783868385,0.9344753573656294,0.0351079530761464,0.0075097331494995,0.0009015478871085,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_de,collider,0.0,econ_ovl_de=ctl;econ_ovl_de=soc;soc_ovl_de=ctl;soc_ovl_de=econ;weath_ovl_de=ctl;weath_ovl_de=econ,3,3,2025-08-31T13:43:10.600863+00:00,0.5055516958236694,0.498758852481842,0.5055516958236694,0.498758852481842,,,,,,,0.5037974119186401,0.2766866087913513,0.5437019467353821,0.6419684290885925,0.5437019467353821,0.6419684290885925
gemini-1.5-pro,numeric-conf,,0.0146808382123708,huber,0.1217537745833396,0.1554434895515442,0.6224145363204339,0.0612579917752329,0.9277625256881232,0.036818353831768,-1781.014074534054,-1768.4927162223482,0.1063119816652924,0.0854465154084292,0.7824287635553219,0.0632544895652359,0.07437812035734,-0.0025623059634006,11,480,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_de,collider,0.0,econ_ovl_de=ctl;econ_ovl_de=soc;soc_ovl_de=ctl;soc_ovl_de=econ;weath_ovl_de=ctl;weath_ovl_de=econ,3,3,2025-08-31T13:43:50.329362+00:00,0.5055516958236694,0.5681167840957642,0.5055516958236694,0.5681167840957642,,,,,,,0.5037974119186401,0.341821014881134,0.5437019467353821,0.6610746383666992,0.5437019467353821,0.6610746383666992
gemini-2.5-flash-lite,numeric-conf,,0.0175328683108091,huber,0.1348754912614822,0.1840995699167251,0.3179585119262711,0.0819875369556597,0.7580859468129999,0.0373455056777367,-1577.9727256449733,-1565.5273207572204,0.1078862580435417,0.092120156805312,0.5811122367019852,0.0561544422535064,0.015539442702906,-0.0032313261872748,11,468,noisy_or,3,0.1,lbfgs,1,rw17_overloaded_de,collider,0.0,econ_ovl_de=ctl;econ_ovl_de=soc;soc_ovl_de=ctl;soc_ovl_de=econ;weath_ovl_de=ctl;weath_ovl_de=econ,4,4,2025-08-31T13:44:27.335392+00:00,0.5121279954910278,0.52552729845047,0.5121279954910278,0.52552729845047,,,,,,,0.4838784635066986,0.4955326020717621,0.4927954077720642,0.404306024312973,0.4927954077720642,0.404306024312973
