agent,prompt_category,experiment,link,EA_raw,MV_raw,EA_raw_tasks,MV_raw_tasks,EA_model,MV_model,b,m1,m2,pC1,pC2,m_bar,m_gap,normative_metric,domain,loocv_r2,r2,loss,mae,rmse,loocv_rmse,params_tying,EA_raw_mean,EA_raw_median,EA_raw_lo,EA_raw_hi,MV_raw_mean,MV_raw_median,MV_raw_lo,MV_raw_hi,n_domains
claude-3-5-haiku-20241022,CoT,abstract_overloaded_lorem_de,noisy_or,0.13541666666666663,0.11458333333333337,VIII - VI,IV - V,0.13785845041275024,0.0,0.2520815134048462,0.659778892993927,0.5293547511100769,0.624538242816925,0.624538242816925,0.594566822052002,0.1304241418838501,0.34248530864715576,all,0.903122248950648,0.5069571639122294,0.0249011944979429,0.1550550907850265,0.1868627518415451,0.0653416996134864,4,0.13541666666666666,0.17499999999999993,0.05625000000000002,0.17500000000000004,0.11458333333333333,0.15625,0.0,0.1875,3
claude-3-7-sonnet-20250219,CoT,abstract_overloaded_lorem_de,noisy_or,0.41041666666666676,0.039583333333333304,VIII - VI,IV - V,0.4025394916534424,0.0,0.0856780931353569,0.7938202619552612,0.7938202619552612,0.4348385632038116,0.4348385632038116,0.7938202619552612,0.0,0.7081421688199043,all,0.9272613289918604,0.9164884937155054,0.0184401478618383,0.0667150169610977,0.0870142430067062,0.0835901332964704,3,0.41041666666666665,0.4125,0.40625,0.4124999999999999,0.03958333333333334,0.03749999999999998,0.025000000000000022,0.05625000000000002,3
claude-3-haiku-20240307,CoT,abstract_overloaded_lorem_de,noisy_or,-0.03125,0.16249999999999998,VIII - VI,IV - V,0.0339091420173645,0.0,0.5723683834075928,0.481421411037445,0.481421411037445,0.701863169670105,0.701863169670105,0.481421411037445,0.0,-0.09094697237014776,all,0.5696056614761771,0.1816627671719055,0.0374610796570777,0.1734570115804672,0.2172140330076217,0.0832343420741414,3,-0.031250000000000035,-0.07500000000000007,-0.07500000000000007,0.05625000000000002,0.16250000000000006,0.16875000000000007,0.08125000000000004,0.23750000000000004,3
claude-3-opus,CoT,abstract_overloaded_lorem_de,noisy_or,0.2979166666666668,0.012500000000000011,VIII - VI,IV - V,0.165829598903656,0.0,0.2363611161708831,0.524487316608429,0.524487316608429,0.4918975234031677,0.4918975234031677,0.524487316608429,0.0,0.2881262004375459,all,0.8250287143442403,0.5094481016276631,0.015592155046761,0.1181263104081153,0.1608048230409622,0.0819523185918851,3,0.2979166666666667,0.2875000000000001,0.28125,0.32500000000000007,0.012499999999999975,0.012499999999999956,-0.012500000000000011,0.03749999999999998,3
claude-opus-4-1-20250805,CoT,abstract_overloaded_lorem_de,noisy_or,,,VIII - VI,IV - V,1.2993812561035156e-05,0.0,0.996216118335724,0.116559162735939,0.116559162735939,0.4999546408653259,0.4999546408653259,0.116559162735939,0.0,-0.879656955599785,all,,,0.0005042784032411,5.2094459533691406e-05,5.252806295175105e-05,0.0636470312349102,3,,,,,,,,,1
claude-opus-4-20250514,CoT,abstract_overloaded_lorem_de,noisy_or,,0.0,VIII - VI,IV - V,1.1920928955078125e-05,0.0,0.9966865181922911,0.1194593831896781,0.1194593831896781,0.4999446272850036,0.4999446272850036,0.1194593831896781,0.0,-0.8772271350026131,all,,,0.0005214055418036,4.3769676267402247e-05,4.453201108844951e-05,0.0379090967312297,3,,,,,0.0,0.0,,,1
claude-sonnet-4-20250514,CoT,abstract_overloaded_lorem_de,noisy_or,0.4124999999999999,0.024999999999999967,VIII - VI,IV - V,0.30722275376319885,0.0,0.1666163504123687,0.779364287853241,0.779364287853241,0.4575921595096588,0.4575921595096588,0.779364287853241,0.0,0.6127479374408723,all,0.9578249717896414,0.9389071402566174,0.0108230197802186,0.0490530095994472,0.0667395517230033,0.0572090307594312,3,0.4124999999999999,0.44375,0.34375,0.44999999999999996,0.025000000000000022,0.025000000000000022,0.0,0.050000000000000044,3
gemini-1.5-pro,CoT,abstract_overloaded_lorem_de,noisy_or,0.4104166666666667,-0.11250000000000004,VIII - VI,IV - V,0.347621887922287,0.0,0.1499460786581039,0.8196136355400085,0.8196136355400085,0.424898236989975,0.424898236989975,0.8196136355400085,0.0,0.6696675568819046,all,0.945404124334206,0.8336043483638133,0.0205796491354703,0.0902793630957603,0.1288195252418518,0.0710908840573504,3,0.4104166666666667,0.42500000000000004,0.33125000000000004,0.47500000000000003,-0.11249999999999999,-0.11875000000000002,-0.13749999999999996,-0.08124999999999999,3
gemini-2.5-flash,CoT,abstract_overloaded_lorem_de,noisy_or,0.546141304347826,0.0,VIII - VI,IV - V,0.48253002762794495,0.0,0.0316180437803268,0.9801608920097352,0.9801608920097352,0.4788229167461395,0.4788229167461395,0.9801608920097352,0.0,0.9485428482294084,all,0.9910249374096464,0.9781191878176084,0.0302944835275411,0.0317434407770633,0.0557571724057197,0.0361434928911899,3,0.5448214285714285,0.5375,0.5157142857142857,0.58125,0.0,0.0,0.0,0.0,3
gemini-2.5-flash-lite,CoT,abstract_overloaded_lorem_de,noisy_or,0.3291666666666667,-0.016666666666666663,VIII - VI,IV - V,0.34684592485427856,0.0,0.1589100956916809,0.8744737505912781,0.8744737505912781,0.4507974684238434,0.4507974684238434,0.8744737505912781,0.0,0.7155636548995972,all,0.9677794823956632,0.8945766806209727,0.0207558628171682,0.0751900523900985,0.1047303155064582,0.0578834377979704,3,0.32628968253968255,0.36250000000000004,0.22083333333333333,0.39553571428571427,-0.016666666666666663,0.0,-0.04999999999999999,0.0,3
