link,params_tying,loss,rmse,r2,r2_task,mae,aic,bic,loocv_r2,loocv_rmse,agent,domain,version,prompt_category,loss_name,optimizer,spec_hash,short_spec_hash,group_hash,short_group_hash
noisy_or,3,0.03029448352754116,0.05575717240571976,0.9781191878176083,0.9958345001441128,0.03174344077706337,-1344.9986485147288,-1334.6326851686556,0.9910249374096463,0.03614349289118997,gemini-2.5-flash,all,1,CoT,huber,lbfgs,6563db629ff50f43379b7d7fd419933fccb34e9effe70685d0c6632fc524737f,6563db629ff5,710b3b6d079bf603dc14bf60b113932eaf398740ee8e1f2996fef9b1104420b1,710b3b6d079b
noisy_or,3,0.029261786490678787,0.04564645141363144,0.985333108425318,0.9966882451648672,0.02577817812561989,-1475.6781111563112,-1465.2361943862852,0.9909793833058754,0.0364075931411681,gemini-2.5-pro,all,1,CoT,huber,lbfgs,3a7f2e5d6479847201d2bd3b825f1a8884694b7ade29f251c8fe8c3c06988229,3a7f2e5d6479,4ecaea379fcdc6b5183ff4bae349d38629de59bdb0e9660408e2d6485e4c78ab,4ecaea379fcd
noisy_or,3,0.020755862817168236,0.10473031550645828,0.8945766806209727,0.9863099205421547,0.07519005239009857,-1040.9541170051657,-1030.6139048901669,0.9677794823956632,0.057883437797970456,gemini-2.5-flash-lite,all,1,CoT,huber,lbfgs,c3826ed6f03f801ff1b19defb3df480ff9954fda9037a14f0225677f34793025,c3826ed6f03f,fd76cc70806da881832110036221b6d47c7679885e68fb3b8dc3f8d6a201cee4,fd76cc70806d
noisy_or,3,0.010823019780218601,0.06673955172300339,0.9389071402566174,0.9803079154058604,0.04905300959944725,-1293.339588336509,-1282.897671566483,0.9578249717896414,0.05720903075943126,claude-sonnet-4-20250514,all,1,CoT,huber,lbfgs,b8038b36a6f5dfe4aa773b66b4d40bd3f48c646cb7c5a3cafdcff72e27eab4b6,b8038b36a6f5,034453bffb66efdb11f55cbdce1bac6d04d34324131f7f487117301852626bc3,034453bffb66
noisy_or,3,0.015032896772027016,0.082790307700634,0.9176303893802842,0.972273830586086,0.06438454240560532,-1189.893252055974,-1179.451335285948,0.9510734893261675,0.06584117567462154,gpt-5-v_low-r_minimal,all,1,CoT,huber,lbfgs,f81ed7c2b87d3c358313eef8cfbc59c2ff755f94be5950147b0aa897142c099c,f81ed7c2b87d,7e37ada1cf7ec6b21efad17ddfdd50366f1fbdfc5b568e3871b389e14c417774,7e37ada1cf7e
noisy_or,3,0.02057964913547039,0.1288195252418518,0.8336043483638133,0.9743849843401559,0.09027936309576035,-977.6845630091234,-967.2426462390974,0.9454041243342061,0.07109088405735049,gemini-1.5-pro,all,1,CoT,huber,lbfgs,7b8c8ea6f7cb2e40c4fef7d82b4c001c7c04cee15da7fa8fd9ab9788bd7ffe94,7b8c8ea6f7cb,453ff1399a8ce4cea315541d73b6a7ab9c79ff3477d5b4e7a2f5f922a5fb9575,453ff1399a8c
noisy_or,3,0.01844014786183834,0.08701424300670624,0.9164884937155054,0.9671597154905146,0.06671501696109772,-1166.0080864732538,-1155.5661697032278,0.9272613289918604,0.08359013329647047,claude-3-7-sonnet-20250219,all,1,CoT,huber,lbfgs,8a86426b42d1c8ce860d2fa63308254188e2a8ced0692994fa58fd2af9678d5e,8a86426b42d1,26b17865b42c23abde73a26d3c957fd170ae0a51364825a657486afe598a831d,26b17865b42c
noisy_or,3,0.018823739141225815,0.11921460926532745,0.8216661243818443,0.9602519067074402,0.08607568591833115,-980.8491197417475,-970.5089076267485,0.9247025804552907,0.07724122110021904,gpt-5-mini-v_low-r_minimal,all,1,CoT,huber,lbfgs,fc86278ffa0ecf6fb7d7ee474b920822cb694b5346a603ab1083c3c5204ae960,fc86278ffa0e,49d59047ef5ba5b1eaebd8282ba457567c47385185e4495f2c9c6f1d78dc3d33,49d59047ef5b
noisy_or,4,0.024901194497942924,0.1868627518415451,0.5069571639122294,0.958479804439987,0.15505509078502655,-797.14284685365,-783.220291160282,0.9031222489506481,0.06534169961348642,claude-3-5-haiku-20241022,all,1,CoT,huber,lbfgs,1cbb8d4bb3e55edc4d385d1acb356833132e0f8b57864110079b0b16539dc680,1cbb8d4bb3e5,b2abb662bb61601998c5c27a5ddc3a9ed221a482049afbdadde92b9fa7567ed2,b2abb662bb61
noisy_or,3,0.012951985001564026,0.1468421220779419,0.49923291609788334,0.9231743288979913,0.1159198135137558,-907.1570829910472,-896.7402709700328,0.8464738086669993,0.06382394558437253,gpt-5-nano-v_low-r_minimal,all,1,CoT,huber,lbfgs,e5d42c4b11d535f1218557be397299eca40cc8b4f4b878f1ccf4e0d6ff96bbb4,e5d42c4b11d5,1ff1c8a393c2a3bae86a14c099591ec8ab326a091e3b095f429620b499def02a,1ff1c8a393c2
