agent,prompt_category,experiment,link,EA_raw,MV_raw,EA_raw_tasks,MV_raw_tasks,EA_model,MV_model,b,m1,m2,pC1,pC2,m_bar,m_gap,normative_metric,domain,loocv_r2,r2,loss,mae,rmse,loocv_rmse,params_tying,EA_raw_mean,EA_raw_median,EA_raw_lo,EA_raw_hi,MV_raw_mean,MV_raw_median,MV_raw_lo,MV_raw_hi,n_domains,meets_ea,meets_mv,meets_loocv_r2,normative_reasoner,ea_diff_threshold,mv_diff_threshold,loocv_r2_threshold
claude-3-5-haiku-20241022,numeric,abstract_overloaded_lorem_de,noisy_or,-0.1864583333333334,0.1604166666666667,VIII - VI,IV - V,0.0600048303604126,0.0,0.373238742351532,0.4241735935211181,0.4241735935211181,0.6770604252815247,0.6770604252815247,0.4241735935211181,0.0,0.050934851169586126,all,0.2574833138841396,0.1149640317724342,0.063434325158596,0.2729977965354919,0.3157017827033996,0.164287003322108,3,-0.1864583333333334,-0.20625000000000004,-0.28437500000000004,-0.06875000000000009,0.16041666666666665,0.140625,0.03125,0.30937499999999996,3,False,False,False,False,0.0995,0.1,0.937
claude-3-7-sonnet-20250219,numeric,abstract_overloaded_lorem_de,noisy_or,0.4520833333333334,0.0,VIII - VI,IV - V,0.36262011528015137,0.0,0.0882918685674667,0.9919248223304749,0.6884484887123108,0.4601014852523803,0.4601014852523803,0.8401866555213928,0.30347633361816406,0.7518947869539261,all,0.861756338655698,0.892577885990049,0.0309787169098854,0.0727952197194099,0.1154330000281333,0.130411190190267,4,0.4520833333333334,0.44062500000000004,0.4312500000000001,0.484375,0.0,0.0,0.0,0.0,3,True,True,False,False,0.0995,0.1,0.937
claude-3-haiku-20240307,numeric,abstract_overloaded_lorem_de,noisy_or,-0.18229166666666663,0.20833333333333337,VIII - VI,IV - V,0.04029130935668945,0.0,0.4629750549793243,0.4037400484085083,0.4037400484085083,0.6840043663978577,0.6840043663978577,0.4037400484085083,0.0,-0.059235006570815985,all,0.3113593067275804,0.1100558185605068,0.0513483770191669,0.2283691763877868,0.2737100422382355,0.1275796481246501,3,-0.18229166666666666,-0.125,-0.3125,-0.109375,0.20833333333333334,0.1875,0.171875,0.265625,3,False,False,False,False,0.0995,0.1,0.937
claude-3-opus,numeric,abstract_overloaded_lorem_de,noisy_or,0.08958333333333324,0.0,VIII - VI,IV - V,0.13267779350280762,0.0,0.3478355407714844,0.5988994836807251,0.5988994836807251,0.4927535057067871,0.4927535057067871,0.5988994836807251,0.0,0.2510639429092407,all,0.8982953796531681,0.4682890690642937,0.0208089388906955,0.1480476409196853,0.1983131915330886,0.0684532395798814,3,0.08958333333333335,0.12812500000000004,0.009375000000000022,0.13124999999999998,0.0,0.0,0.0,0.0,3,False,True,False,False,0.0995,0.1,0.937
claude-opus-4-1-20250805,numeric,abstract_overloaded_lorem_de,noisy_or,0.30196078431372547,0.0,VIII - VI,IV - V,0.28436893224716187,0.0,0.1698144972324371,0.9857435822486876,0.61158287525177,0.4408481121063232,0.4408481121063232,0.7986632287502289,0.3741607069969176,0.6288487315177917,all,0.8228572732320114,0.8696202036926367,0.0270058903843164,0.0841637924313545,0.1161632686853408,0.1384193319330234,4,0.31979166666666664,0.31979166666666664,,,0.0,0.0,0.0,0.0,2,True,True,False,False,0.0995,0.1,0.937
claude-opus-4-20250514,numeric,abstract_overloaded_lorem_de,noisy_or,0.25,0.0,VIII - VI,IV - V,0.32340002059936523,0.0,0.1621316075325012,0.9865851402282716,0.7339692115783691,0.4444128572940826,0.4444128572940826,0.8602771759033203,0.25261592864990245,0.6981455683708191,all,0.856693935486998,0.8287380635573136,0.0314201228320598,0.0815221220254898,0.1432909518480301,0.1287109745823587,4,0.1953125,0.1953125,0.125,0.265625,0.0,0.0,0.0,0.0,3,True,True,False,False,0.0995,0.1,0.937
claude-sonnet-4-20250514,numeric,abstract_overloaded_lorem_de,noisy_or,0.24687500000000007,0.0,VIII - VI,IV - V,0.3114996552467346,0.0,0.1774144470691681,0.7562060952186584,0.7562060952186584,0.384662389755249,0.384662389755249,0.7562060952186584,0.0,0.5787916481494904,all,0.7488711704884194,0.7092065890592243,0.0271293707191944,0.1305598467588424,0.1693038940429687,0.1523748163467047,3,0.24687500000000004,0.23750000000000004,0.21875,0.28437500000000004,0.0,0.0,0.0,0.0,3,True,True,False,False,0.0995,0.1,0.937
gemini-1.5-pro,numeric,abstract_overloaded_lorem_de,noisy_or,0.30937500000000007,-0.02083333333333337,VIII - VI,IV - V,0.28496116399765015,0.0,0.1943506002426147,0.787874698638916,0.787874698638916,0.4651883840560913,0.4651883840560913,0.787874698638916,0.0,0.5935240983963013,all,0.8535272743009692,0.5947410077124824,0.0337177440524101,0.1489362567663192,0.2213650643825531,0.1119675660680263,3,0.30937499999999996,0.30937499999999996,0.25625,0.3625,-0.020833333333333332,-0.015625,-0.046875,0.0,3,True,True,False,False,0.0995,0.1,0.937
gemini-2.5-flash,numeric,abstract_overloaded_lorem_de,noisy_or,0.5096130221130222,0.0,VIII - VI,IV - V,0.48413804173469543,0.0,0.0166246574372053,0.9867414832115172,0.9867414832115172,0.4957819581031799,0.4957819581031799,0.9867414832115172,0.0,0.9701168257743119,all,0.9976015612060808,0.9947379541452486,0.0309202652424573,0.0163487680256366,0.02788014896214,0.0190233509595797,3,0.5127447089947089,0.5038095238095237,0.49553571428571425,0.5388888888888889,0.0,0.0,0.0,0.0,3,True,True,True,True,0.0995,0.1,0.937
gemini-2.5-flash-lite,numeric,abstract_overloaded_lorem_de,noisy_or,-0.20833333333333326,0.03125,VIII - VI,IV - V,0.17106673121452332,0.0,0.2983381450176239,0.6241680383682251,0.6241680383682251,0.4244760572910309,0.4244760572910309,0.6241680383682251,0.0,0.3258298933506012,all,0.5202614936416723,0.3444300705540218,0.0495847128331661,0.2356841713190078,0.302199512720108,0.1931581464404253,3,-0.20833333333333334,-0.1875,-0.265625,-0.171875,0.03125,0.03125,-0.03125,0.09375,3,False,True,False,False,0.0995,0.1,0.937
