agent,domain,version,prompt_category,link,params_tying,learning_rate,lr_subdir,spec_hash,short_spec_hash,group_hash,short_group_hash,loocv_r2,cv_r2,r2_task,rmse_task,mae,aic,bic,loocv_rmse,loocv_mae,b,m1,m2,pC1,pC2
gemini-2.5-flash,all,1,numeric,noisy_or,3,,lr0p1,160adc999f64725cf8ca18394ba878ed2da94e532ad62165f7e748be5e43f89d,160adc999f64,0d286fe9d83af2b70a87f13223da74c19b3b0338c0eb6e99b7f3dcfdd25ede6c,0d286fe9d83a,0.9976015612060808,0.9976015612060808,0.9990517560146001,0.011961420235090918,0.016348768025636673,-1626.4071912894358,-1616.1191544025723,0.019023350959579747,,0.016624657437205315,0.9867414832115173,0.9867414832115173,0.49578195810317993,0.49578195810317993
gemini-2.5-pro,all,1,numeric,noisy_or,4,,lr0p1,3441ea96d5f1904d916710a6f00c1d166678f88cbb3181d22283fe061c450860,3441ea96d5f1,f7277f1f5aabe28e3f23d8ecd3afb8dd16b416a386acac4f50892b5e711b6e48,f7277f1f5aab,0.9969182673538418,0.9969182673538418,0.9988920247559969,0.013157513524324345,0.01479096245020628,-1436.5856611953352,-1422.6631055019673,0.02194351906004765,,0.014173704199492931,0.9996393918991089,0.9999159574508667,0.4872596859931946,0.4872596859931946
gpt-5-v_low-r_minimal,all,1,numeric,noisy_or,4,,lr0p1,153322256f25fc2fa5bff3dfc4072c45bdfa6ef2d7ba5992b3cbc14f8c6c45bb,153322256f25,d391a9d3d38a5f1d4d75655ace03c205cbe7d67b46d17ae7cfde734d5c672b61,d391a9d3d38a,0.979187771048211,0.979187771048211,0.9877141772273708,0.03883137948896255,0.07940612733364105,-981.4755670756902,-967.5530113823222,0.050540553463403054,,0.16533352434635162,0.9454925060272217,0.9979372024536133,0.47078683972358704,0.47078683972358704
claude-3-opus,all,1,numeric,noisy_or,3,,lr0p1,3079fea05b0c82dafcf2a0b4c938966d6f15f9dc8325e77383578124a3708520,3079fea05b0c,f8af00c24aba54b6ad033947741f5cdb0d82130b5da3fbf197825d62c7d4f548,f8af00c24aba,0.8982953796531681,0.8982953796531681,0.9551274420084932,0.04546886133338121,0.14804764091968536,-770.59570558896,-760.153788818934,0.06845323957988148,,0.3478355407714844,0.5988994836807251,0.5988994836807251,0.4927535057067871,0.4927535057067871
claude-3-7-sonnet-20250219,all,1,numeric,noisy_or,4,,lr0p1,3508c238f655e0dd9395b56479a0d7687232e966e13f2236d25fbf3740cd337e,3508c238f655,fa27230db34b942c31603d85269c879ec98e09e68147fc870ae7b3ce47cf15c2,fa27230db34b,0.861756338655698,0.861756338655698,0.9716823083791338,0.05902298489670418,0.07279521971940994,-1028.3512055492429,-1014.4286498558749,0.13041119019026706,,0.08829186856746674,0.9919248223304749,0.6884484887123108,0.46010148525238037,0.46010148525238037
claude-opus-4-20250514,all,1,numeric,noisy_or,4,,lr0p1,1aca13024e9e797ba48a2a5b48f262a696eef5754fb537dbcb7f56f4cd243a58,1aca13024e9e,1a2cdeb1cc49cb2c99e94879994f12be8589a958d4428e307eee4cc549c27100,1a2cdeb1cc49,0.856693935486998,0.856693935486998,0.9612035828098364,0.06696981579388063,0.08152212202548981,-264.0029339378688,-255.00895296967138,0.12871097458235872,,0.16213160753250122,0.9865851402282715,0.7339692115783691,0.44441285729408264,0.44441285729408264
gemini-1.5-pro,all,1,numeric,noisy_or,3,,lr0p1,2dd0ed4992730f6ffb784b52632642dfd22365838d501e25d234ab7a89c42b59,2dd0ed499273,51133c15bf33629a02aa639a2bf9ec7e509cb3631b7707ac6d67b96a3ea9078a,51133c15bf33,0.8535272743009692,0.8535272743009692,0.9279034886551208,0.07855448416693886,0.14893625676631927,-717.8121684481224,-707.3702516780965,0.11196756606802637,,0.19435060024261475,0.787874698638916,0.787874698638916,0.4651883840560913,0.4651883840560913
claude-opus-4-1-20250805,all,1,numeric,noisy_or,4,,lr0p1,dbb5be857ab97ed397ee022fd25391726179c27ab92fa5a3e069166aef317382,dbb5be857ab9,bd42b1da18d3a8d6a8a108439b6e7b313f50335baed5d8f7de750bc5632318de,bd42b1da18d3,0.8228572732320114,0.8228572732320114,0.9650135174816376,0.06151559468683344,0.08416379243135452,-306.30274772313805,-297.1409099585445,0.13841933193302342,,0.16981449723243713,0.9857435822486877,0.61158287525177,0.44084811210632324,0.44084811210632324
gpt-5-mini-v_low-r_minimal,all,1,numeric,noisy_or,3,,lr0p1,acc8548329eb5806a17cd3b87d9d57c31086435dc45b3641c82cc46df216f3ca,acc8548329eb,187419724a5d9998139bf3dd5df10f35d0665075c4b72989e43197960b7af80e,187419724a5d,0.7826251818256851,0.7826251818256851,0.8956493397706715,0.07453618694731033,0.14546459913253784,-766.4205171094712,-755.9786003394453,0.1075781786074651,,0.3497876226902008,0.5900747776031494,0.5900747776031494,0.41628095507621765,0.41628095507621765
claude-sonnet-4-20250514,all,1,numeric,noisy_or,3,,lr0p1,560818f2fe9738c9f830c28dd911679977b4f43bcb680ecde30ecac324e57621,560818f2fe97,bce2fca7ac75e0e1f0af98bd300985665b98255f1f3a1d2edc98624f7dfb0626,bce2fca7ac75,0.7488711704884194,0.7488711704884194,0.8988710419204375,0.09669470111933856,0.13055984675884247,-846.5088150883257,-836.0668983182998,0.1523748163467047,,0.1774144470691681,0.7562060952186584,0.7562060952186584,0.384662389755249,0.384662389755249
gemini-2.5-flash-lite,all,1,numeric,noisy_or,3,,lr0p1,7b827df69b84e7d377c606a721ebe8376a6a047e5ba3b90449b3c0eaac4a9ebb,7b827df69b84,76da1baa69eaea089bce0e8375c3d445bd1092c173e74ae57a6f6d09df992519,76da1baa69ea,0.5202614936416723,0.5202614936416723,0.7571720808699276,0.137423197420659,0.23568417131900787,-568.4005888817542,-557.9586721117282,0.19315814644042537,,0.2983381450176239,0.6241680383682251,0.6241680383682251,0.4244760572910309,0.4244760572910309
