agent,prompt_category,experiment,link,EA_raw,MV_raw,EA_raw_tasks,MV_raw_tasks,EA_model,MV_model,b,m1,m2,pC1,pC2,m_bar,m_gap,normative_metric,domain,loocv_r2,r2,loss,mae,rmse,loocv_rmse,params_tying,EA_raw_mean,EA_raw_median,EA_raw_lo,EA_raw_hi,MV_raw_mean,MV_raw_median,MV_raw_lo,MV_raw_hi,n_domains
claude-3-5-haiku-20241022,CoT,random_abstract,noisy_or,0.19791666666666663,0.04791666666666661,VIII - VI,IV - V,0.16705769300460815,0.0,0.2085018008947372,0.5463563799858093,0.5463563799858093,0.5766471028327942,0.5766471028327942,0.5463563799858093,0.0,0.33785457909107214,all,0.8244014482643598,0.4431658108721696,0.0239820685237646,0.152743399143219,0.1912142932415008,0.0857260555867977,3,0.1979166666666667,0.21875,0.14375000000000004,0.23125000000000007,0.04791666666666664,0.07499999999999996,-0.0625,0.13124999999999998,3.0
claude-3-7-sonnet-20250219,CoT,random_abstract,noisy_or,0.4291666666666667,0.03333333333333338,VIII - VI,IV - V,0.4196881651878357,0.0,0.0718852952122688,0.8059106469154358,0.8059106469154358,0.4391417205333709,0.4391417205333709,0.8059106469154358,0.0,0.734025351703167,all,0.930344313044324,0.9206825940454308,0.0196458809077739,0.0649228170514106,0.0872193202376365,0.0844502247849036,3,0.4291666666666667,0.43125,0.41874999999999996,0.4375,0.033333333333333326,0.03749999999999998,0.0,0.0625,3.0
claude-3-haiku-20240307,CoT,random_abstract,noisy_or,-0.04583333333333328,0.17083333333333328,VIII - VI,IV - V,0.034315288066864014,0.0,0.5298296213150024,0.4328996539115906,0.4328996539115906,0.6934967637062073,0.6934967637062073,0.4328996539115906,0.0,-0.09692996740341187,all,0.758747381881079,0.1411157208011644,0.0394412949681282,0.1877124011516571,0.2290354073047638,0.0557107138722082,3,-0.04583333333333336,-0.03125,-0.11875000000000002,0.012499999999999956,0.17083333333333336,0.14375000000000004,0.0625,0.30625,3.0
claude-3-opus,CoT,random_abstract,noisy_or,0.2729166666666667,0.04583333333333334,VIII - VI,IV - V,0.16921430826187134,0.0,0.2341345995664596,0.5363514423370361,0.5363514423370361,0.500508189201355,0.500508189201355,0.5363514423370361,0.0,0.30221684277057653,all,0.8409802277108873,0.5517062067277875,0.0141867259517312,0.1164439171552658,0.1509949415922165,0.0805102432586361,3,0.27291666666666675,0.26875000000000004,0.2250000000000001,0.32500000000000007,0.045833333333333316,0.07499999999999996,-0.012499999999999956,0.07499999999999996,3.0
claude-opus-4-20250514,CoT,random_abstract,noisy_or,,,VIII - VI,IV - V,0.35719698667526245,0.0,0.1485002040863037,0.9013103246688844,0.9013103246688844,0.4666658639907837,0.4666658639907837,0.9013103246688844,0.0,0.7528101205825807,all,0.9543367326124348,0.9710312818002726,0.0187437124550342,0.0422295704483985,0.0557054094970226,0.0679107848199591,3,,,,,,,,,
claude-sonnet-4-20250514,CoT,random_abstract,noisy_or,0.3729166666666666,0.05624999999999997,VIII - VI,IV - V,0.2879255712032318,0.0,0.1900750249624252,0.7730230689048767,0.7730230689048767,0.451717346906662,0.451717346906662,0.7730230689048767,0.0,0.5829480439424515,all,0.9642581595163252,0.9197252719346044,0.0108075346797704,0.0584215484559536,0.07601298391819,0.0516617399366722,3,0.3729166666666666,0.375,0.36250000000000004,0.3812499999999999,0.05625,0.04999999999999999,0.03125,0.08750000000000002,3.0
gemini-1.5-pro,CoT,random_abstract,noisy_or,0.41041666666666654,-0.12708333333333338,VIII - VI,IV - V,0.34258297085762024,0.0,0.1478648781776428,0.8131807446479797,0.8131807446479797,0.4375194609165191,0.4375194609165191,0.8131807446479797,0.0,0.6653158664703369,all,0.9286088213006268,0.8249965339346045,0.0199909415096044,0.0895163565874099,0.1309731900691986,0.0800463855830272,3,0.4104166666666667,0.40625,0.3875,0.4375,-0.12708333333333333,-0.14375,-0.16249999999999998,-0.07500000000000001,3.0
gemini-2.5-flash,CoT,random_abstract,noisy_or,0.5033333333333332,0.0,VIII - VI,IV - V,0.4758933186531067,0.0,0.0254972167313098,0.9782543182373048,0.9782543182373048,0.4927524626255035,0.4927524626255035,0.9782543182373048,0.0,0.952757101505995,all,0.99644237429407,0.984085274467026,0.0295172370970249,0.0239342171698808,0.0474026165902614,0.0229062864866558,3,0.5033333333333333,0.4925,0.48124999999999996,0.5362499999999999,0.0,0.0,0.0,0.0,3.0
gemini-2.5-flash-lite,CoT,random_abstract,noisy_or,0.3695075757575758,0.004347826086956497,VIII - VI,IV - V,0.34486639499664307,0.0,0.1502347588539123,0.8342106342315674,0.8342106342315674,0.4431596994400024,0.4431596994400024,0.8342106342315674,0.0,0.683975875377655,all,0.956228892709054,0.8992177007961977,0.0181383322924375,0.0753714963793754,0.0975277498364448,0.065214911246185,3,0.37172619047619043,0.3794642857142857,0.29374999999999996,0.44196428571428575,0.004166666666666652,0.0,0.0,0.012499999999999956,3.0
gemini-2.5-pro,CoT,random_abstract,noisy_or,0.5083333333333333,0.0,VIII - VI,IV - V,0.4658042788505554,0.0,0.0404289402067661,0.9861834049224854,0.9997681975364684,0.4938388764858246,0.4938388764858246,0.9929758012294769,0.013584792613983043,0.9525468610227108,all,0.9919475463080402,0.9894391305665292,0.029860608279705,0.0204508043825626,0.0389063842594623,0.0345743217360363,4,0.5083333333333334,0.5125,0.48750000000000004,0.525,0.0,0.0,0.0,0.0,3.0
gpt-3.5-turbo,CoT,random_abstract,noisy_or,-0.09791666666666654,0.23333333333333328,VIII - VI,IV - V,0.026585698127746582,0.0,0.6222278475761414,0.4891170561313629,0.4891170561313629,0.7337929606437683,0.7337929606437683,0.4891170561313629,0.0,-0.13311079144477844,all,0.3966126369373505,0.1093184045983636,0.0579166449606418,0.2210473716259002,0.28245410323143,0.1051368025401107,3,-0.09791666666666665,-0.03749999999999998,-0.21875,-0.03749999999999998,0.23333333333333328,0.14374999999999993,0.13124999999999998,0.425,3.0
