link,params_tying,loss,rmse,r2,r2_task,mae,aic,bic,loocv_r2,loocv_rmse,agent,domain,version,prompt_category,loss_name,optimizer,spec_hash,short_spec_hash,group_hash,short_group_hash
noisy_or,3,0.029517237097024918,0.04740261659026146,0.9840852744670259,0.9983502355207645,0.023934217169880867,-1451.4592109143357,-1441.0298202585411,0.9964423742940699,0.022906286486655863,gemini-2.5-flash,all,1,CoT,huber,lbfgs,6563db629ff50f43379b7d7fd419933fccb34e9effe70685d0c6632fc524737f,6563db629ff5,1fd4e79ee57c17aca97b21d32807d0214e20bedac845bd8f6636def8b7bc053d,1fd4e79ee57c
noisy_or,4,0.029860608279705048,0.03890638425946236,0.9894391305665291,0.9971859399130049,0.020450804382562637,-1550.3664977542712,-1536.4439420609033,0.9919475463080402,0.034574321736036334,gemini-2.5-pro,all,1,CoT,huber,lbfgs,2bbdfea9a564a7a1cd592bd11d6a3cf2e3aab70c3f0e0b7dec349a155458dd94,2bbdfea9a564,203c1c1de37da2d8a22df07878061b7fb148ef3d2705983aed4f77a2f25c0d95,203c1c1de37d
noisy_or,4,0.014071591198444366,0.04315672069787979,0.9453410802609573,0.999999926132471,0.02503364533185959,-42.28667344960331,-41.96890728288397,0.9836563927553614,0.02294490026929557,gpt-5-nano-v_low-r_medium,all,1,CoT,huber,lbfgs,71ffe773c327d2d448e47ecc150f8a3a14e94338219bf0fe5c2c6af5e9925889,71ffe773c327,bc2acb50aab6ce7a3a016882fc4ea9e2547d49ddc23133f2446e1e93d7ee3f76,bc2acb50aab6
noisy_or,3,0.020494502037763596,0.08110133558511734,0.9383434887093068,0.985060115790369,0.06609830260276794,-1199.7867875726463,-1189.3448708026203,0.9678010879214328,0.05955574246997906,gpt-5-v_low-r_low,all,1,CoT,huber,lbfgs,911f334ec0c1ed6f6dec26c8769328785756bfa6f43b309bd85bde3d4a612ea8,911f334ec0c1,58997ac00e430b6edb0bc3813161eea5c20d00d23c508d299b817a3a0edd4462,58997ac00e43
noisy_or,3,0.01080753467977047,0.07601298391819,0.9197252719346043,0.9831283066202618,0.0584215484559536,-1230.888525331926,-1220.4466085619001,0.9642581595163253,0.05166173993667226,claude-sonnet-4-20250514,all,1,CoT,huber,lbfgs,b8038b36a6f5dfe4aa773b66b4d40bd3f48c646cb7c5a3cafdcff72e27eab4b6,b8038b36a6f5,18d7f23460d7187525fc72c1f29ec2a2e273905fc30f6e18d5bd37318a21c3ea,18d7f23460d7
noisy_or,4,0.01140020601451397,0.12287548184394836,0.6810353895219736,0.9918438140397496,0.09383905678987503,-998.3602142203669,-984.4376585269989,0.9641915372312438,0.03679314478156839,gpt-5-nano-v_low-r_minimal,all,1,CoT,huber,lbfgs,b7ae8bc3a391e7ccf8b809434fc6023a64d2dcaf26aaca8f4d00f7bcdc163095,b7ae8bc3a391,e05d183e0d46fd3773ae0f2d255ddd7fae3187d55cbe984b9150c8c476328823,e05d183e0d46
noisy_or,3,0.011276580393314362,0.06497711688280106,0.9412640339412542,0.9779848282799937,0.052759669721126556,-1300.718204852647,-1290.2888141968524,0.9573020457885296,0.056815571472924126,o3,all,1,CoT,huber,lbfgs,84a102d0a83c02692e2cc9ddc1e0bb81f2247a8aa801dfe09143d1c8d1b07cb0,84a102d0a83c,6c788ef23e24e1c0fa42d8d1d86b028684a2d69def1cfe9b7b87154c8fde4838,6c788ef23e24
noisy_or,3,0.018138332292437553,0.09752774983644485,0.8992177007961977,0.9778207203039859,0.07537149637937546,-1074.0149052432887,-1063.6746931282898,0.9562288927090541,0.06521491124618504,gemini-2.5-flash-lite,all,1,CoT,huber,lbfgs,c3826ed6f03f801ff1b19defb3df480ff9954fda9037a14f0225677f34793025,c3826ed6f03f,eeed94ba39fcf5ba20ccd1d8cfd6ebeeb9a663bcd9222b480a2f6b6cdc7a74bd,eeed94ba39fc
noisy_or,3,0.018743712455034256,0.05570540949702263,0.9710312818002726,0.8891518939499039,0.04222957044839859,-109.5071192869046,-106.51992246624262,0.9543367326124349,0.06791078481995916,claude-opus-4-20250514,all,1,CoT,huber,lbfgs,007f1f489dda46f0b7c1cc417460f38d407ed3e714acaa4ccd1e92410b5337c4,007f1f489dda,333b21248d726f015cf20a282117f0d4094a98ea2edbd1507e67b5ce77378d66,333b21248d72
noisy_or,3,0.02060774527490139,0.08002567291259766,0.9363404168167656,0.9766333783601884,0.060007430613040924,-1206.1957186136367,-1195.7538018436107,0.9535244284071261,0.0707551963652108,gpt-4.1,all,1,CoT,huber,lbfgs,24fcfe942fc5e65730413a84e79393358cf1f369566a5ae83a41d305bd2b9777,24fcfe942fc5,b78ec41766d086b0784ca50210941d4c6a91d5c8821f88a8b7a4a9fb9a380e0e,b78ec41766d0
noisy_or,3,0.017414186149835587,0.07531889528036118,0.9389344809237755,0.9783846865231517,0.06039690226316452,-1235.2916507582095,-1224.8497339881835,0.952418128827886,0.06803367647525943,o1,all,1,CoT,huber,lbfgs,b250ad60e131672a274c2929fdb697206e4dda8d5557096d9b199808dc30e07d,b250ad60e131,95c740ef03c90f3b611d3d7521b0fad251f46e1b50708040c0a6290ed881be95,95c740ef03c9
noisy_or,3,0.01178731583058834,0.08040183037519455,0.9110683016251405,0.9717888144762115,0.06460484117269516,-1203.9447942806667,-1193.5028775106407,0.9505742163982484,0.062084189966966685,gpt-5-v_low-r_minimal,all,1,CoT,huber,lbfgs,f81ed7c2b87d3c358313eef8cfbc59c2ff755f94be5950147b0aa897142c099c,f81ed7c2b87d,b99c7bb3e554dca61d5c65d6169fafd40b583b73df836275e68b7cb3e6851690,b99c7bb3e554
