agent,prompt_category,experiment,link,EA_raw,MV_raw,EA_raw_tasks,MV_raw_tasks,EA_model,MV_model,b,m1,m2,pC1,pC2,m_bar,m_gap,normative_metric,domain,loocv_r2,r2,loss,mae,rmse,loocv_rmse,params_tying,EA_raw_mean,EA_raw_median,EA_raw_lo,EA_raw_hi,MV_raw_mean,MV_raw_median,MV_raw_lo,MV_raw_hi,n_domains,meets_ea,meets_mv,meets_loocv_r2,normative_reasoner,ea_diff_threshold,mv_diff_threshold,loocv_r2_threshold
claude-3-5-haiku-20241022,numeric,random_abstract,noisy_or,-0.2499999999999999,0.1166666666666667,VIII - VI,IV - V,0.07691681385040283,0.0,0.3537560105323791,0.421314001083374,0.421314001083374,0.5724814534187317,0.5724814534187317,0.421314001083374,0.0,0.06755799055099493,all,0.3652601578160493,0.160015596909323,0.0465321689844131,0.2386933714151382,0.2922260761260986,0.1575456041768714,3,-0.24999999999999997,-0.25312499999999993,-0.31875,-0.17812499999999998,0.11666666666666665,0.13124999999999998,0.08124999999999999,0.1375,3,False,False,False,False,0.0995,0.1,0.937
claude-3-7-sonnet-20250219,numeric,random_abstract,noisy_or,0.49583333333333324,0.0,VIII - VI,IV - V,0.513700008392334,0.0,0.0063267033547163,0.8470723032951355,0.8470723032951355,0.4418841302394867,0.4418841302394867,0.8470723032951355,0.0,0.8407455999404192,all,0.896053739322612,0.8433347459726291,0.0341441147029399,0.0947484970092773,0.1425021290779113,0.1156399104852695,3,0.49583333333333335,0.5,0.48750000000000004,0.5,0.0,0.0,0.0,0.0,3,True,True,False,False,0.0995,0.1,0.937
claude-3-haiku-20240307,numeric,random_abstract,noisy_or,-0.18229166666666663,0.23958333333333337,VIII - VI,IV - V,0.061468541622161865,0.0,0.3276616632938385,0.4715481698513031,0.4715481698513031,0.7628747820854187,0.7628747820854187,0.4715481698513031,0.0,0.1438865065574646,all,0.4552360514824539,0.1402272825144515,0.0766922086477279,0.2788376212120056,0.3133945763111114,0.1408256885169041,3,-0.18229166666666666,-0.125,-0.296875,-0.125,0.23958333333333334,0.28125,0.125,0.3125,3,False,False,False,False,0.0995,0.1,0.937
claude-3-opus,numeric,random_abstract,noisy_or,0.22291666666666676,0.0,VIII - VI,IV - V,0.20742303133010864,0.0,0.2455848902463913,0.6690467000007629,0.6690467000007629,0.4827030003070831,0.4827030003070831,0.6690467000007629,0.0,0.42346180975437164,all,0.9381811496101004,0.6254564690697786,0.0175729785114526,0.1118968725204467,0.166951835155487,0.0602355245380307,3,0.22291666666666665,0.28437500000000004,0.09062499999999996,0.29374999999999996,0.0,0.0,0.0,0.0,3,True,True,True,True,0.0995,0.1,0.937
claude-opus-4-1-20250805,numeric,random_abstract,noisy_or,0.2607843137254902,0.0,VIII - VI,IV - V,0.3515099287033081,0.0,0.1144387423992157,0.990833342075348,0.6926922798156738,0.4434927999973297,0.4434927999973297,0.8417628109455109,0.2981410622596742,0.7273240685462952,all,0.8576039343450499,0.8845101898000152,0.0348481424152851,0.0807758048176765,0.1234421879053115,0.1305290757952122,4,0.24479166666666669,0.24479166666666669,,,0.0,0.0,,,3,True,True,False,False,0.0995,0.1,0.937
claude-opus-4-20250514,numeric,random_abstract,noisy_or,0.20789473684210524,0.0,VIII - VI,IV - V,0.3160408139228821,0.0,0.1437916606664657,0.9832600951194764,0.6074169874191284,0.4109964370727539,0.4109964370727539,0.7953385412693024,0.375843107700348,0.6515468806028366,all,0.7819780733057424,0.8733968163137514,0.0348939336836338,0.0833824947476387,0.1220222190022468,0.1563248800345033,4,0.22031250000000002,0.22031250000000002,0.19062500000000004,0.25,0.0,0.0,,,3,True,True,False,False,0.0995,0.1,0.937
claude-sonnet-4-20250514,numeric,random_abstract,noisy_or,0.2354166666666666,0.0,VIII - VI,IV - V,0.3022785484790802,0.0,0.1756685376167297,0.7510606050491333,0.7510606050491333,0.4206728041172027,0.4206728041172027,0.7510606050491333,0.0,0.5753920674324036,all,0.8415000990161208,0.7313793241649396,0.0230356343090534,0.1155664026737213,0.1580559313297271,0.1167931634233433,3,0.2354166666666667,0.23750000000000004,0.20625000000000004,0.26249999999999996,0.0,0.0,0.0,0.0,3,True,True,False,False,0.0995,0.1,0.937
gemini-1.5-pro,numeric,random_abstract,noisy_or,0.2531250000000001,-0.00520833333333337,VIII - VI,IV - V,0.22936928272247314,0.0,0.2246586382389068,0.8466379046440125,0.6216639876365662,0.4771879911422729,0.4771879911422729,0.7341509461402893,0.2249739170074463,0.5094923079013824,all,0.8831279294785772,0.6008878319788671,0.0330648645758628,0.1430526077747345,0.2163376659154892,0.0981789788343121,4,0.253125,0.21562499999999996,0.20625000000000004,0.33749999999999997,-0.005208333333333333,0.0,-0.015625,0.0,3,True,True,False,False,0.0995,0.1,0.937
gemini-2.5-flash,numeric,random_abstract,noisy_or,0.49459459459459465,0.0,VIII - VI,IV - V,0.4899645447731018,0.0,0.0071758995763957,0.9870228171348572,0.9870228171348572,0.4996069073677063,0.4996069073677063,0.9870228171348572,0.0,0.9798469175584614,all,0.9978630745130096,0.9903976043053004,0.0325820855796337,0.0118786813691258,0.0382627807557582,0.0180775068780953,3,0.49444444444444446,0.49583333333333335,0.4875,0.5,0.0,0.0,0.0,0.0,3,True,True,True,True,0.0995,0.1,0.937
gemini-2.5-flash-lite,numeric,random_abstract,noisy_or,-0.17187499999999994,0.02039007092198586,VIII - VI,IV - V,0.05395472049713135,0.0,0.3582232594490051,0.8769707083702087,0.1543162912130355,0.4234170019626617,0.4234170019626617,0.5156434997916222,0.7226544171571733,0.15742024034261703,all,0.5851883707369656,0.4906352044889983,0.0453711487352848,0.1849223226308822,0.2526475489139557,0.1865702999679803,4,-0.171875,-0.203125,-0.265625,-0.046875,0.02013888888888889,0.03125,-0.002083333333333326,0.03125,3,False,True,False,False,0.0995,0.1,0.937
