link,params_tying,loss,rmse,r2,r2_task,mae,aic,bic,loocv_r2,loocv_rmse,agent,domain,version,prompt_category,loss_name,optimizer,spec_hash,short_spec_hash,group_hash,short_group_hash
noisy_or,3,0.032378483563661575,0.03011070378124714,0.9939347026232442,0.9997513198974153,0.008890567347407341,-1668.374041313575,-1657.9446506577804,0.9996012029837188,0.007948674411204355,gemini-2.5-pro,all,1,numeric,huber,lbfgs,d90bb94283201d50e86d1ece9843f0a136922098a1604c0e0014bf5a21f8cd21,d90bb9428320,26fa44997e23ecf19853a3ff3f6c78a9ddf3b43a91d763d7c3888e4724a564f5,26fa44997e23
noisy_or,3,0.03258208557963371,0.038262780755758286,0.9903976043053004,0.9987682984331563,0.011878681369125843,-1279.7314016211276,-1269.8817904349137,0.9978630745130096,0.018077506878095367,gemini-2.5-flash,all,1,numeric,huber,lbfgs,160adc999f64725cf8ca18394ba878ed2da94e532ad62165f7e748be5e43f89d,160adc999f64,ebfd4fb687dd218b04bd58f8ea4b47011f17b7441427367e89967bd0db772939,ebfd4fb687dd
noisy_or,4,0.031051594763994217,0.026586512103676796,0.9947931464783295,0.9855589825213745,0.015212742611765862,-267.6786962574294,-261.1283516185239,0.996015770464271,0.024670305816900974,gpt-5-mini-v_low-r_high,all,1,numeric,huber,lbfgs,7c9641bcab18e2ec3d8d56e88835675cf4c1f2e8721e3c76f3396195c92d458b,7c9641bcab18,d7330f86edea565c59ec79d1b56aecce49dc7f822375f4f5ce6e9d2c8a2d8003,d7330f86edea
noisy_or,3,0.03018319234251976,0.06728523224592209,0.9674754768517604,0.9917463288495687,0.043333154171705246,-1289.4309798800284,-1278.9890631100025,0.9807433581952422,0.052526679940073255,gpt-5-v_low-r_medium,all,1,numeric,huber,lbfgs,cae5b92a17e17e4532a74aa9467c6350515c45a2cd2a517b0b7b68b55c67ea29,cae5b92a17e1,33fbc8cb53c47a364c72ecb1fc98dd444ae9fca0e5858721bb96fe417c0d31d1,33fbc8cb53c4
noisy_or,3,0.02553989551961422,0.07836975157260895,0.950617195990151,0.9889546889091654,0.055604469031095505,-1216.2322942799033,-1205.7903775098773,0.9740782214417371,0.05730418171068075,gpt-5-mini-v_low-r_medium,all,1,numeric,huber,lbfgs,3ec7edf38be415fe5612f40abb0a5d491d20e08fbcb0af628c17445fe15b73ac,3ec7edf38be4,0607999b4d07a0aa95330e1616243a800049e1e510445e70d9485d93284c74a0,0607999b4d07
noisy_or,3,0.044474754482507706,0.18440616130828857,0.7917137135166646,0.9856966148448023,0.10292986035346985,-805.4950030461064,-795.0530862760804,0.9733784562592627,0.06160225736243279,gpt-4o,all,1,numeric,huber,lbfgs,2faee195dd86c7cacbdf0d12f13632a3c9eb876fdfe5c492c174c5a5bc361776,2faee195dd86,883898815294f7da7cdcf2d38671161f0ea365436945fe07563585b7fe07dcb5,883898815294
noisy_or,3,0.027056340128183365,0.09906179457902908,0.9192388611736544,0.9856484298947857,0.0745297521352768,-1103.765464159689,-1093.323547389663,0.9714310237480702,0.05943800975265393,gpt-5-nano-v_low-r_medium,all,1,numeric,huber,lbfgs,20b053f41624a401a6284d4a6687c7bfdaa088c0156a83e1d2553c0f7f57b644,20b053f41624,3b45bce3d5bf523421d4b504a7f21ec486c9e328e816c7962311be964a8d6f83,3b45bce3d5bf
noisy_or,3,0.030371857807040215,0.07952777296304703,0.9533638879848088,0.9863828169238,0.060769837349653244,-1209.191504476875,-1198.749587706849,0.9700379869448053,0.06481888896671066,gpt-5-v_low-r_low,all,1,numeric,huber,lbfgs,90c39be19a97a0fa01b1f36844293f186a5a2bc643b1de7ed9049766c2d3ab47,90c39be19a97,ad1cad70a5c0295a5b8916ba2d3906dde15f31abae34e74555ae3a1c5096563e,ad1cad70a5c0
noisy_or,3,0.025823120027780533,0.12301480025053024,0.8623310142765652,0.9837491275976378,0.085478276014328,-999.8162784459098,-989.3743616758838,0.9612341228725338,0.06412426473106911,o1-mini,all,1,numeric,huber,lbfgs,5e0f2b1803c74d2f7912da5af598481322da19ab9095d07b78ba45c7903d8172,5e0f2b1803c7,d35e3d3f70cf35980b0adfbfa96c9c7628ae98935f2f934c6008bcaab313f791,d35e3d3f70cf
noisy_or,3,0.0243266262114048,0.08341475576162338,0.9401661046543057,0.9799955337549096,0.06696202605962753,-1186.2864364849463,-1175.8445197149204,0.9577235965192714,0.07111208658396845,gpt-5-mini-v_low-r_low,all,1,numeric,huber,lbfgs,1823aff22a133f479fb8608897a7fe631fbeffdb94b2aa1ddde5983498452f1a,1823aff22a13,fdf67209ae842c3dc61c771e36a2d225a8ab61ac6cd1972b9e8d3ca819d4c3de,fdf67209ae84
