link,params_tying,rmse,r2_task,loocv_r2,agent,domain,version,prompt_category,loss_name,optimizer,spec_hash,short_spec_hash,group_hash,short_group_hash
noisy_or,3,0.030110696330666542,0.9997513698055012,0.9995912722189825,gemini-2.5-pro,all,1,numeric,mse,lbfgs,e1691d103e442e666210a320deddc906491cae6c8e22b4c2f322b687dbcf8164,e1691d103e44,26fa44997e23ecf19853a3ff3f6c78a9ddf3b43a91d763d7c3888e4724a564f5,26fa44997e23
noisy_or,3,0.038262613117694855,0.9987679174629673,0.9978537278322444,gemini-2.5-flash,all,1,numeric,mse,lbfgs,32df9697eda9bb0805ecc40a5c7aa2660ee5fafa62e419bb5a7ee7c3f1ed70d5,32df9697eda9,ebfd4fb687dd218b04bd58f8ea4b47011f17b7441427367e89967bd0db772939,ebfd4fb687dd
noisy_or,3,0.06728504598140717,0.9917393859118376,0.980747922078503,gpt-5-v_low-r_medium,all,1,numeric,mse,lbfgs,468a7aaf1372068de5eb95e2d228fad7da0116e587b0eb8dd111678df317ec71,468a7aaf1372,33fbc8cb53c47a364c72ecb1fc98dd444ae9fca0e5858721bb96fe417c0d31d1,33fbc8cb53c4
noisy_or,3,0.08070087432861328,0.9913670661893125,0.9807364151365332,gpt-5-mini-v_low-r_high,all,1,numeric,mse,lbfgs,21d833a24c72809c8c887826d8c4384adcaf12f0a9bc14cc0b41d5441aced400,21d833a24c72,efd1e9bf0f99eaf5b0dc9b3ea4cab0395bd3b0d8a75d4b2c05e42ee9000b885f,efd1e9bf0f99
noisy_or,3,0.07836974412202835,0.9889539320297079,0.9740828816504833,gpt-5-mini-v_low-r_medium,all,1,numeric,mse,lbfgs,131900447ab03f98fb2805c92f192d6674bd95ebaaeab389baf3a80a79662625,131900447ab0,0607999b4d07a0aa95330e1616243a800049e1e510445e70d9485d93284c74a0,0607999b4d07
noisy_or,3,0.18440614640712738,0.9856963150343894,0.9733688628103201,gpt-4o,all,1,numeric,mse,lbfgs,e46cef96e340dc536a8c4836824b138210f796d2dde560e44689c7fd117c63bc,e46cef96e340,883898815294f7da7cdcf2d38671161f0ea365436945fe07563585b7fe07dcb5,883898815294
noisy_or,3,0.09906179457902908,0.9856482729450529,0.9714196052717772,gpt-5-nano-v_low-r_medium,all,1,numeric,mse,lbfgs,cbd28ffed3969439a903c2ea0ebc9fbbc6b0918060347c270e9dfe5dd512e31a,cbd28ffed396,3b45bce3d5bf523421d4b504a7f21ec486c9e328e816c7962311be964a8d6f83,3b45bce3d5bf
noisy_or,3,0.07952777296304703,0.9863829933741216,0.9700491269938748,gpt-5-v_low-r_low,all,1,numeric,mse,lbfgs,e11c3f1229b1c7786638711dfb686453af6da423dded3cffe24ec49235278d82,e11c3f1229b1,ad1cad70a5c0295a5b8916ba2d3906dde15f31abae34e74555ae3a1c5096563e,ad1cad70a5c0
noisy_or,3,0.12301480025053024,0.9837489724493352,0.9612315438507583,o1-mini,all,1,numeric,mse,lbfgs,3730850b943f41ad4e531c4f5dbfc1b57558827aafa3d05bbac879078b3bab39,3730850b943f,d35e3d3f70cf35980b0adfbfa96c9c7628ae98935f2f934c6008bcaab313f791,d35e3d3f70cf
noisy_or,3,0.08341474831104279,0.9799973153036916,0.9577192089470467,gpt-5-mini-v_low-r_low,all,1,numeric,mse,lbfgs,3a6ad11af3c7b35243a34ad8aedc8b7df500730d9d77ae9ffbb51cd394f57f9a,3a6ad11af3c7,fdf67209ae842c3dc61c771e36a2d225a8ab61ac6cd1972b9e8d3ca819d4c3de,fdf67209ae84
noisy_or,3,0.1454811841249466,0.9782910220601307,0.9545344383393439,gpt-5-nano-v_low-r_low,all,1,numeric,mse,lbfgs,4dee9293d85ce8bf2750847510250e5d9e82283264e2cd73136384470c6a3d2d,4dee9293d85c,ad1c17fbf0c59ef4986cec312e870c53805c97c567bd646c4faf8ae788b8e8d8,ad1c17fbf0c5
noisy_or,3,0.08526153862476349,0.976419032206192,0.9455106920941535,o3,all,1,numeric,mse,lbfgs,56652336e4bcb8e6279b1243a3fd21c4fab0f1d0ec1bdabde15bbcb06c826170,56652336e4bc,145af5ece453b1fb1f15874d211906cdb55718f1349ffe11ceef1aaa81206962,145af5ece453
noisy_or,3,0.08360249549150467,0.9763530732402014,0.9427275263039212,o1,all,1,numeric,mse,lbfgs,4d0c6ef7fe510d0904fc99b6f2627958cbc287fd89da770c41c0fd2162f6f02d,4d0c6ef7fe51,c6f936c2d83e70887b50346088231f98451fd904b5e08bd29c3fe0d245b81b28,c6f936c2d83e
noisy_or,3,0.16695183515548706,0.9595317256453855,0.9381813113854052,claude-3-opus,all,1,numeric,mse,lbfgs,31c24d62c50a2c65e9474b63ddd56a977aa4835e6cc2634e092c78a0e7e16e05,31c24d62c50a,731e0ba2281bc7be95e943eaa4ae225e59089549b6805f964ff1cd41554642f1,731e0ba2281b
