agent,prompt_category,experiment,link,EA_raw,MV_raw,EA_raw_tasks,MV_raw_tasks,EA_model,MV_model,b,m1,m2,pC1,pC2,m_bar,m_gap,normative_metric,domain,loocv_r2,r2,loss,mae,rmse,loocv_rmse,params_tying,EA_raw_mean,EA_raw_median,EA_raw_lo,EA_raw_hi,MV_raw_mean,MV_raw_median,MV_raw_lo,MV_raw_hi,n_domains
claude-3-5-haiku-20241022,CoT,rw17_indep_causes,noisy_or,0.08541666666666659,0.1875,VIII - VI,IV - V,0.13056528568267822,0.0,0.2889864444732666,0.5733687877655029,0.6952558755874634,0.663773775100708,0.663773775100708,0.6343123316764832,0.12188708782196045,0.34532588720321655,all,0.804913215494006,0.5950041126905179,0.0188391972333192,0.1066270992159843,0.1356720477342605,0.0842740311896395,4,0.08541666666666663,0.10624999999999996,0.018749999999999933,0.13124999999999998,0.1875,0.15625,0.13749999999999996,0.26875000000000004,3
claude-3-7-sonnet-20250219,CoT,rw17_indep_causes,noisy_or,0.3979166666666666,0.0,VIII - VI,IV - V,0.3559906482696533,0.0,0.1137455403804779,0.7969689965248108,0.7969689965248108,0.4671851694583893,0.4671851694583893,0.7969689965248108,0.0,0.6832234561443329,all,0.9630095404293332,0.9458855011178636,0.0138254007324576,0.0527769327163696,0.0664138793945312,0.0567876214936339,3,0.3979166666666667,0.4,0.39375000000000004,0.4000000000000001,0.0,0.0,0.0,0.0,3
claude-3-haiku-20240307,CoT,rw17_indep_causes,noisy_or,0.033333333333333215,0.11750000000000005,VIII - VI,IV - V,0.12892067432403564,0.0,0.2809129655361175,0.6753829121589661,0.6753829121589661,0.6933256983757019,0.6933256983757019,0.6753829121589661,0.0,0.39446994662284857,all,0.6920823247718648,0.5635308354928885,0.0245326124131679,0.1240471825003624,0.1621418893337249,0.1223044438918838,3,0.03333333333333336,0.050000000000000044,-0.03125,0.08125000000000004,0.11750000000000001,0.11499999999999999,0.012499999999999956,0.2250000000000001,3
claude-3-opus,CoT,rw17_indep_causes,noisy_or,0.28958333333333336,0.0,VIII - VI,IV - V,0.206842303276062,0.0,0.2215522974729538,0.6107074618339539,0.6107074618339539,0.4721401333808899,0.4721401333808899,0.6107074618339539,0.0,0.38915516436100006,all,0.9504251541156866,0.7783828540750605,0.0091420765966176,0.0749858245253562,0.1042060106992721,0.0489286792805334,3,0.28958333333333336,0.26875000000000004,0.2250000000000001,0.375,-1.850371707708594e-17,0.012499999999999956,-0.025000000000000022,0.012500000000000011,3
claude-3-sonnet-20240229,CoT,rw17_indep_causes,noisy_or,-0.002083333333333326,0.0708333333333333,VIII - VI,IV - V,0.1465652585029602,0.0,0.2874316573143005,0.5591346025466919,0.5591346025466919,0.5085479617118835,0.5085479617118835,0.5591346025466919,0.0,0.2717029452323914,all,0.9117101577591376,0.6461808568698084,0.0102792428806424,0.0979333370923996,0.1297519505023956,0.0594477891218203,3,-0.002083333333333363,0.043749999999999956,-0.18125000000000002,0.13124999999999998,0.07083333333333335,0.08749999999999997,0.025000000000000022,0.10000000000000003,3
claude-opus-4-1-20250805,CoT,rw17_indep_causes,noisy_or,0.4145833333333333,0.016250000000000042,VIII - VI,IV - V,0.30687639117240906,0.0,0.1586318016052246,0.7406081557273865,0.7406081557273865,0.4433190822601318,0.4433190822601318,0.7406081557273865,0.0,0.5819763541221619,all,0.957250305885779,0.9321337860614344,0.0104299187660217,0.0559480227530002,0.0668397843837738,0.0547624327583994,3,0.4145833333333333,0.3875,0.36250000000000004,0.49374999999999997,0.016250000000000025,0.012500000000000011,-0.006249999999999978,0.04250000000000004,3
claude-opus-4-20250514,CoT,rw17_indep_causes,noisy_or,0.39583333333333326,0.004166666666666652,VIII - VI,IV - V,0.334025502204895,0.0,0.1287842094898224,0.71540367603302,0.8353255391120911,0.4825490117073059,0.4825490117073059,0.7753646075725555,0.11992186307907104,0.6465803980827332,all,0.9849360563949514,0.9215515434372208,0.009920097887516,0.0385855659842491,0.0699037462472915,0.0330786617996645,4,0.3958333333333333,0.41874999999999996,0.34375,0.425,0.00416666666666667,0.012500000000000011,-0.012500000000000011,0.012500000000000011,3
claude-sonnet-4-20250514,CoT,rw17_indep_causes,noisy_or,0.32999999999999996,0.019642857142857184,VIII - VI,IV - V,0.2606082558631897,0.0,0.1829115003347396,0.6942130327224731,0.6942130327224731,0.4754459261894226,0.4754459261894226,0.6942130327224731,0.0,0.5113015323877336,all,0.9738033958368868,0.9378872742513172,0.0072637125849723,0.0449006259441375,0.0584338791668415,0.0392738453164639,3,0.3372023809523809,0.35000000000000003,0.2928571428571428,0.3687500000000001,0.019444444444444448,0.020833333333333315,0.012500000000000011,0.025000000000000022,3
gemini-1.5-pro,CoT,rw17_indep_causes,noisy_or,0.38143939393939397,0.003484848484848535,VIII - VI,IV - V,0.2982032895088196,0.0,0.1771634370088577,0.7054355144500732,0.8072869181632996,0.4450118243694305,0.4450118243694305,0.7563612163066864,0.10185140371322632,0.5791977792978287,all,0.9942720687554338,0.8918607948167911,0.011059520766139,0.0658659040927887,0.0881558209657669,0.0204947989850478,4,0.38143939393939386,0.40568181818181814,0.3295454545454545,0.409090909090909,0.003484848484848498,0.0034090909090908617,-0.0014772727272726605,0.008522727272727293,3
gemini-2.5-flash,CoT,rw17_indep_causes,noisy_or,0.5166666666666666,0.006249999999999978,VIII - VI,IV - V,0.4576996862888336,0.0,0.0442420579493045,0.9165322184562684,0.9165322184562684,0.4722200632095337,0.4722200632095337,0.9165322184562684,0.0,0.872290160506964,all,0.984537568411668,0.9579666627755812,0.0245896223932504,0.0468781143426895,0.0707465484738349,0.0435094054858349,3,0.5166666666666666,0.4875,0.4437499999999999,0.6187499999999999,0.006250000000000015,0.0,0.0,0.018750000000000044,3
