agent,domain,version,prompt_category,link,params_tying,learning_rate,lr_subdir,spec_hash,short_spec_hash,group_hash,short_group_hash,loocv_r2,cv_r2,r2_task,rmse_task,mae,aic,bic,loocv_rmse,loocv_mae,b,m1,m2,pC1,pC2
gemini-1.5-pro,all,2,CoT,noisy_or,4,,lr0p1,a1c1a3627d5c4335bae62cef06606edadb3729f8e15333e592d4eb4768079c53,a1c1a3627d5c,5b80db974066549a59bc0c6881eebc24ee0c6c0d4ab2fe7cc084b5e4ce58a76a,5b80db974066,0.9942720687554338,0.9942720687554338,0.9837658015287252,0.036329583232090304,0.0658659040927887,-1157.7516967135593,-1143.8291410201914,0.020494798985047878,,0.17716343700885773,0.7054355144500732,0.8072869181632996,0.44501182436943054,0.44501182436943054
claude-opus-4-20250514,all,2,CoT,noisy_or,4,,lr0p1,83a1a11e2570e68fdc04d74634056821cc70884b1b5a62690e31b5019f024b90,83a1a11e2570,9884e8651b2a78865f378551e765f9b2e37cfa5cc56505c2cac736b3f2456c6b,9884e8651b2a,0.9849360563949514,0.9849360563949514,0.9673173860608173,0.04823607042280112,0.038585565984249115,-183.56579225058513,-177.2317164967607,0.033078661799664594,,0.1287842094898224,0.71540367603302,0.8353255391120911,0.4825490117073059,0.4825490117073059
gemini-2.5-flash,all,2,CoT,noisy_or,3,,lr0p1,6563db629ff50f43379b7d7fd419933fccb34e9effe70685d0c6632fc524737f,6563db629ff5,e4a0e7f14920101fc45eb000f2908aa2bb72ca998c127ff7fc490118a29b1461,e4a0e7f14920,0.9845375684116681,0.9845375684116681,0.9921906378880752,0.030920893438500567,0.046878114342689514,-1265.3527373531215,-1254.9108205830955,0.04350940548583499,,0.04424205794930458,0.9165322184562683,0.9165322184562683,0.4722200632095337,0.4722200632095337
gemini-2.5-pro,all,2,CoT,noisy_or,3,,lr0p1,3a7f2e5d6479847201d2bd3b825f1a8884694b7ade29f251c8fe8c3c06988229,3a7f2e5d6479,0c132da1048cf00875cd8c95041ccbad64c57ec34dc40eb72cf6d5e810ef6d5b,0c132da1048c,0.9837019545099046,0.9837019545099046,0.9919522379502564,0.03222078835455334,0.05594734475016594,-1238.6668297488511,-1228.2249129788252,0.04585285284649734,,0.03709713742136955,0.9202076196670532,0.9202076196670532,0.4547119140625,0.4547119140625
gpt-5-nano-v_low-r_low,all,2,CoT,noisy_or,3,,lr0p1,a9d31963d108f217d20dae9de0facb489b80f449e2250b5a5f5758857ce258e0,a9d31963d108,68a821c3682ef254a97eaf77cf9581443b368567ece0ae9ba225c2c15fe0ab60,68a821c3682e,0.9810144344438443,0.9810144344438443,0.9882911704276917,0.02017182836191598,0.07588144391775131,-1105.564721294282,-1095.122804524256,0.02568622551765581,,0.28026336431503296,0.5414459705352783,0.5414459705352783,0.433138370513916,0.433138370513916
claude-sonnet-4-20250514,all,2,CoT,noisy_or,3,,lr0p1,b8038b36a6f5dfe4aa773b66b4d40bd3f48c646cb7c5a3cafdcff72e27eab4b6,b8038b36a6f5,522ea998bc7f4b975b37c4dbe58ce464f773e94b12114170ed0b7aa9751e4f07,522ea998bc7f,0.9738033958368867,0.9738033958368867,0.9891134313155899,0.025317827400426568,0.04490062594413757,-1601.3604245981426,-1590.424083905213,0.039273845316463905,,0.18291150033473969,0.6942130327224731,0.6942130327224731,0.4754459261894226,0.4754459261894226
gemini-2.5-flash-lite,all,2,CoT,noisy_or,3,,lr0p1,c3826ed6f03f801ff1b19defb3df480ff9954fda9037a14f0225677f34793025,c3826ed6f03f,cde864a534aa9d703527c9cf29c84f1e4eb88d6202d64083ef9c543bb48eb5fe,cde864a534aa,0.9733782198765307,0.9733782198765307,0.98566484585434,0.033070011880374395,0.07089754194021225,-1083.817329418551,-1073.5161634078884,0.04506628028059205,,0.18978875875473022,0.7631004452705383,0.7631004452705383,0.45952144265174866,0.45952144265174866
gpt-4.1,all,2,CoT,noisy_or,3,,lr0p1,c938b8b96457793b20ddfddac7c56033a9f3f0b5a55f6411f5d2bbf951ce836f,c938b8b96457,77622de49c6fe55e7e8a780d50853eff44a99d5d0ce23de4e267e2e3a346c595,77622de49c6f,0.9681474004020325,0.9681474004020325,0.9809701282521756,0.04837976432407142,0.05002975836396217,-1275.1088645869766,-1264.6669478169506,0.06259191787059902,,0.07286476343870163,0.9178653955459595,0.9178653955459595,0.4512167274951935,0.4512167274951935
claude-3-7-sonnet-20250219,all,2,CoT,noisy_or,3,,lr0p1,8a86426b42d1c8ce860d2fa63308254188e2a8ced0692994fa58fd2af9678d5e,8a86426b42d1,6d334736e0a7a7bb15d98dd509fce49f5ab6385e815786bdcad04f36d36639a7,6d334736e0a7,0.9630095404293331,0.9630095404293331,0.9809153168221955,0.04078977341040359,0.05277693271636963,-1295.6876274792417,-1285.2457107092157,0.056787621493633984,,0.1137455403804779,0.7969689965248108,0.7969689965248108,0.4671851694583893,0.4671851694583893
claude-opus-4-1-20250805,all,2,CoT,noisy_or,3,,lr0p1,23afc7d7d8f0d097f059d3cb15e6bd74d2905f4817fc3acae53b3a01c508d0f8,23afc7d7d8f0,7bdce73ebd76cc6caf997ea5fc5f8eb969d4b4dd44ecca6657c053df274140c0,7bdce73ebd76,0.957250305885779,0.957250305885779,0.9767701706808356,0.04036818621634018,0.05594802275300026,-1292.6192326153887,-1282.1773158453627,0.054762432758399426,,0.1586318016052246,0.7406081557273865,0.7406081557273865,0.44331908226013184,0.44331908226013184
