agent,prompt_category,experiment,link,EA_raw,MV_raw,EA_raw_tasks,MV_raw_tasks,EA_model,MV_model,b,m1,m2,pC1,pC2,m_bar,m_gap,normative_metric,domain,loocv_r2,r2,loss,mae,rmse,loocv_rmse,params_tying,EA_raw_mean,EA_raw_median,EA_raw_lo,EA_raw_hi,MV_raw_mean,MV_raw_median,MV_raw_lo,MV_raw_hi,n_domains,meets_ea,meets_mv,meets_loocv_r2,normative_reasoner,ea_diff_threshold,mv_diff_threshold,loocv_r2_threshold
claude-3-5-haiku-20241022,numeric,rw17_indep_causes,noisy_or,0.07187500000000002,0.10416666666666663,VIII - VI,IV - V,0.20021235942840576,0.0,0.1570696979761123,0.2749112844467163,0.7661760449409485,0.4736285209655761,0.4736285209655761,0.5205436646938324,0.4912647604942322,0.3634739667177201,all,0.6937976254502289,0.5294583188302001,0.0182049591094255,0.120636485517025,0.1672922372817993,0.1233564060808962,4,0.07187499999999998,0.08124999999999993,0.04375000000000007,0.09062499999999996,0.10416666666666667,0.109375,0.06874999999999998,0.13437500000000002,3,False,False,False,False,0.0995,0.1,0.937
claude-3-7-sonnet-20250219,numeric,rw17_indep_causes,noisy_or,0.46562499999999996,0.0,VIII - VI,IV - V,0.4923125207424164,0.0,0.019561143592,0.919590950012207,0.919590950012207,0.4649455845355987,0.4649455845355987,0.919590950012207,0.0,0.900029806420207,all,0.9595146887825488,0.8970541705809099,0.0315080545842647,0.0737582296133041,0.1171108037233352,0.0739155406847933,3,0.465625,0.4625,0.453125,0.48124999999999996,0.0,0.0,0.0,0.0,3,True,True,True,True,0.0995,0.1,0.937
claude-3-haiku-20240307,numeric,rw17_indep_causes,noisy_or,-0.1020833333333333,0.20624999999999993,VIII - VI,IV - V,0.09680360555648804,0.0,0.3533433675765991,0.5734700560569763,0.5734700560569763,0.6576429605484009,0.6576429605484009,0.5734700560569763,0.0,0.2201266884803772,all,0.5799440140446059,0.4000094516261548,0.0258706174790859,0.1543853431940078,0.1900574415922165,0.1356927646366371,3,-0.10208333333333335,-0.11250000000000004,-0.16249999999999998,-0.03125,0.20624999999999996,0.19999999999999996,0.15625,0.26249999999999996,3,False,False,False,False,0.0995,0.1,0.937
claude-3-sonnet-20240229,numeric,rw17_indep_causes,noisy_or,0.11979166666666674,0.015625,VIII - VI,IV - V,0.12116914987564087,0.0,0.3484581112861633,0.6170222163200378,0.6170222163200378,0.5931065082550049,0.5931065082550049,0.6170222163200378,0.0,0.26856410503387457,all,0.8355039181559009,0.5329058861323499,0.0167363993823528,0.1358615905046463,0.1656791120767593,0.0814725366966242,3,0.1197916666666667,0.09999999999999998,0.028125000000000067,0.23125000000000007,0.015625,0.015625,0.0,0.03125,3,True,True,False,False,0.0995,0.1,0.937
claude-opus-4-1-20250805,numeric,rw17_indep_causes,noisy_or,0.275,0.0,VIII - VI,IV - V,0.2778913974761963,0.0,0.1878134161233902,0.7443892955780029,0.7443892955780029,0.4599312543869018,0.4599312543869018,0.7443892955780029,0.0,0.5565758794546127,all,0.9372344623648342,0.7918940839565393,0.0159903839230537,0.0959159284830093,0.128134548664093,0.0669532917710246,3,0.30416666666666664,0.28125,0.15625,0.4749999999999999,0.0,0.0,0.0,0.0,3,True,True,True,True,0.0995,0.1,0.937
claude-opus-4-20250514,numeric,rw17_indep_causes,noisy_or,0.24687500000000007,0.0,VIII - VI,IV - V,0.2544771432876587,0.0,0.2098370343446731,0.7370140552520752,0.7370140552520752,0.4746811091899872,0.4746811091899872,0.7370140552520752,0.0,0.527177020907402,all,0.9356259426060476,0.7900801844149611,0.0143039720132946,0.089512825012207,0.1252875179052353,0.0669994806740774,3,0.24687499999999998,0.203125,0.140625,0.3968749999999999,0.0,0.0,0.0,0.0,3,True,True,False,False,0.0995,0.1,0.937
claude-sonnet-4-20250514,numeric,rw17_indep_causes,noisy_or,0.2645833333333333,0.0,VIII - VI,IV - V,0.3882099986076355,0.0,0.1029442995786666,0.8522472381591797,0.8522472381591797,0.4582443237304687,0.4582443237304687,0.8522472381591797,0.0,0.7493029385805131,all,0.9023869387551738,0.8967638759591967,0.0213259737938642,0.0875425413250923,0.1023057475686073,0.1034020054494205,3,0.26458333333333334,0.22812500000000002,0.20000000000000007,0.3656249999999999,0.0,0.0,0.0,0.0,3,True,True,False,False,0.0995,0.1,0.937
gemini-1.5-pro,numeric,rw17_indep_causes,noisy_or,0.25850694444444444,-0.004687499999999956,VIII - VI,IV - V,0.2351742386817932,0.0,0.2276606112718582,0.7977766394615173,0.7977766394615173,0.5505115389823914,0.5505115389823914,0.7977766394615173,0.0,0.5701160281896591,all,0.8760186846484457,0.666094219957349,0.0254016127437353,0.1473071575164795,0.189553901553154,0.1030395760976462,3,0.25850694444444444,0.2348958333333333,0.23020833333333335,0.3104166666666667,-0.004687499999999993,-0.003124999999999989,-0.0078125,-0.003124999999999989,3,True,True,False,False,0.0995,0.1,0.937
gemini-2.5-flash,numeric,rw17_indep_causes,noisy_or,0.5127925531914892,0.013674645390071016,VIII - VI,IV - V,0.48108118772506714,0.0,0.0130820954218506,0.938201069831848,0.938201069831848,0.4898291230201721,0.4898291230201721,0.938201069831848,0.0,0.9251189744099975,all,0.9902583010810166,0.9550882426146882,0.0284382738173007,0.0422991849482059,0.0773658379912376,0.0363620956980305,3,0.5135277777777777,0.528125,0.46312499999999995,0.5493333333333333,0.013541666666666674,0.0,0.0,0.04062500000000002,3,True,True,True,True,0.0995,0.1,0.937
gemini-2.5-flash-lite,numeric,rw17_indep_causes,noisy_or,-0.3364583333333333,-0.041666666666666685,VIII - VI,IV - V,0.04012519121170044,0.0,0.5388131141662598,0.4142223000526428,0.4142223000526428,0.4632459580898285,0.4632459580898285,0.4142223000526428,0.0,-0.12459081411361694,all,0.2769692163162246,0.2307448249641525,0.0369647070765495,0.2050158977508545,0.2710209190845489,0.1867832384223496,3,-0.3364583333333333,-0.31875,-0.5625,-0.12812500000000004,-0.041666666666666664,-0.03125,-0.125,0.03125,3,False,True,False,False,0.0995,0.1,0.937
gemini-2.5-pro,numeric,rw17_indep_causes,noisy_or,0.5199844858156029,-0.0018446187958383042,VIII - VI,IV - V,0.5086860358715057,0.0,0.0020758169703185,0.97989422082901,0.97989422082901,0.4840990602970123,0.4840990602970123,0.97989422082901,0.0,0.9778184038586916,all,0.998301482692325,0.9812884437092456,0.0316383764147758,0.0239880364388227,0.052196592092514,0.0161032149357798,3,0.5198994757612975,0.513353280141844,0.5112903225806451,0.5350548245614035,-0.0018340643274853778,-0.0020833333333333814,-0.005208333333333315,0.001789473684210563,3,True,True,True,True,0.0995,0.1,0.937
gpt-3.5-turbo,numeric,rw17_indep_causes,noisy_or,-0.04270833333333335,0.20520833333333344,VIII - VI,IV - V,0.02294313907623291,0.0,0.6113230586051941,0.4348024129867553,0.4348024129867553,0.7339614629745483,0.7339614629745483,0.4348024129867553,0.0,-0.17652064561843878,all,0.5662203000457567,0.3629481350099363,0.0265947207808494,0.0886158868670463,0.1088655516505241,0.0684613525714115,3,-0.04270833333333335,-0.050000000000000044,-0.05312499999999998,-0.025000000000000022,0.20520833333333335,0.20000000000000007,0.12812500000000004,0.2875,3,False,False,False,False,0.0995,0.1,0.937
gpt-4,numeric,rw17_indep_causes,noisy_or,0.4364583333333334,0.0,VIII - VI,IV - V,0.46936798095703125,0.0,0.0046753608621656,0.1273202449083328,0.9027263522148132,0.4917765259742737,0.4917765259742737,0.515023298561573,0.7754061073064804,0.5103479376994075,all,0.6321377521639777,0.7261014455111379,0.0192082207649946,0.0647921785712242,0.1289149671792984,0.1446342893609065,4,0.4364583333333334,0.446875,0.36250000000000004,0.5,0.0,0.0,0.0,0.0,3,True,True,False,False,0.0995,0.1,0.937
gpt-4.1,numeric,rw17_indep_causes,noisy_or,0.5375,0.0,VIII - VI,IV - V,0.5015034377574921,0.0,0.0220526717603206,0.9830378293991088,0.9830378293991088,0.4697062075138092,0.4697062075138092,0.9830378293991088,0.0,0.9609851576387882,all,0.9759234511977216,0.9437437170777052,0.0332216285169124,0.0420078672468662,0.0905497893691062,0.0601757459580102,3,0.5375,0.5375,0.51875,0.5562499999999999,0.0,0.0,0.0,0.0,3,True,True,True,True,0.0995,0.1,0.937
