link,params_tying,loss,rmse,r2,r2_task,mae,aic,bic,loocv_r2,loocv_rmse,agent,domain,version,prompt_category,loss_name,optimizer,spec_hash,short_spec_hash,group_hash,short_group_hash
noisy_or,3,0.025482388213276863,0.07528045773506165,0.9534772517493686,0.9906944904102492,0.05667160451412201,-2477.073338571584,-2464.5519802598783,0.9795204536373234,0.050730530284517766,gemini-2.5-pro,all,1,CoT,huber,lbfgs,3a7f2e5d6479847201d2bd3b825f1a8884694b7ade29f251c8fe8c3c06988229,3a7f2e5d6479,d780cd1a767b9a273bbb07ecb5123af1c86a208828c596a7682b9ed007c2c465,d780cd1a767b
noisy_or,4,0.010056071914732456,0.09583334624767303,0.859504258329066,0.9880407071829924,0.06722425669431686,-2243.338766816907,-2226.643622401299,0.9751659670831948,0.04061755441408816,gemini-1.5-pro,all,1,CoT,huber,lbfgs,a1c1a3627d5c4335bae62cef06606edadb3729f8e15333e592d4eb4768079c53,a1c1a3627d5c,d715518a2b1369144e1714a4e7134be7c3508919315230565e141c5dc9a8a130,d715518a2b13
noisy_or,4,0.009060692973434925,0.10513830184936523,0.8035536582424042,0.9928980385936941,0.07589982450008392,-2154.379475423996,-2137.684331008388,0.9729561183930776,0.03769043222389911,claude-3-opus,all,1,CoT,huber,lbfgs,98dbc51688ab8584331cedfd816cc1bbf11d50b169de0bddaadfda4410843466,98dbc51688ab,6bdcd29b58646b4099c8096befec4b1cee3fff40e49230a2b567357db4ae61d9,6bdcd29b5864
noisy_or,3,0.021925097331404686,0.07974846661090851,0.9414982971378839,0.9832786692479591,0.05719662457704544,-2401.4915816371927,-2388.9953280744985,0.9685799869895791,0.05888346986765031,gemini-2.5-flash,all,1,CoT,huber,lbfgs,6563db629ff50f43379b7d7fd419933fccb34e9effe70685d0c6632fc524737f,6563db629ff5,8502d1b9e659deba20fcb458f63a530bf1ba7f4f3c26d20b8310da569df7545b,8502d1b9e659
noisy_or,3,0.012527653016149998,0.06298743933439255,0.9483332291894616,0.9799468892025854,0.05054077133536339,-2642.697445150651,-2630.1823433584186,0.9646942765647734,0.05432122755848676,claude-3-7-sonnet-20250219,all,1,CoT,huber,lbfgs,8a86426b42d1c8ce860d2fa63308254188e2a8ced0692994fa58fd2af9678d5e,8a86426b42d1,7c1a16c13e63c0012095bb94acf38864ab632957dc86e3c84fbc709b8cce6ebb,7c1a16c13e63
noisy_or,3,0.017271770164370537,0.08258714526891708,0.9221594970636446,0.9804137925479116,0.06329824775457382,-2383.1573612421316,-2370.642259449899,0.9627764660924802,0.058858459264237876,gpt-4.1,all,1,CoT,huber,lbfgs,c938b8b96457793b20ddfddac7c56033a9f3f0b5a55f6411f5d2bbf951ce836f,c938b8b96457,749e8638eb4edbc95ff3026f695307b5b5d564f87e23933c70747a3d3ceebe58,749e8638eb4e
noisy_or,3,0.007669447921216488,0.06743022054433823,0.9190673247572759,0.9848915642633755,0.048988644033670425,-2582.795465725539,-2570.2741074138335,0.9623814795269947,0.0472540853031676,claude-sonnet-4-20250514,all,1,CoT,huber,lbfgs,b8038b36a6f5dfe4aa773b66b4d40bd3f48c646cb7c5a3cafdcff72e27eab4b6,b8038b36a6f5,e140d80e9ef68eb33b6a41d63505a9d03412eb1a3eea2a77ff3e12efce903ad6,e140d80e9ef6
noisy_or,3,0.0075744627974927425,0.10325226187705994,0.7109883970319533,0.9834821656434944,0.08127424865961075,-2173.7569691971403,-2161.2356108854347,0.9609098420689931,0.03498156980690169,gpt-5-nano-v_low-r_low,all,1,CoT,huber,lbfgs,a9d31963d108f217d20dae9de0facb489b80f449e2250b5a5f5758857ce258e0,a9d31963d108,d0b461fd72348ffecdfeab86205382f0470680ea3701c5cf124af02debd1bdf0,d0b461fd7234
noisy_or,3,0.01287804264575243,0.09785106033086777,0.8520456282724812,0.975525303163676,0.08144961297512054,-2225.336422475748,-2212.8150641640423,0.9562121285554741,0.05385582015858395,gpt-4o,all,1,CoT,huber,lbfgs,d5de95f34341c6066d39d9cd39921edc8a171caa2efcdf7cc9e225fa9d4cec9d,d5de95f34341,70978c22da6e987ac0bbdaf3e588dbbea65b6108ca5591d4a3b3f09a0e1d63ae,70978c22da6e
noisy_or,3,0.013429796323180199,0.08856145292520523,0.8838517782821215,0.9782167687292868,0.07329148799180984,-2321.0962483980875,-2308.574890086382,0.9530039182007835,0.057122990554457305,gpt-4.1-mini,all,1,CoT,huber,lbfgs,4da6fd22c17ab3318d2451659a8b638800e7df66b04a1f54ffc9b967b1718c3e,4da6fd22c17a,09f4784f96ca0e700474f124386d93038abb6671774521486ca5ea0f76eb3783,09f4784f96ca
noisy_or,3,0.0119603481143713,0.09431605786085129,0.8787041001365818,0.9862114607577981,0.07146435230970383,-2118.9934768259013,-2106.6657340776082,0.951912609512469,0.05980781057395196,gemini-2.5-flash-lite,all,1,CoT,huber,lbfgs,c3826ed6f03f801ff1b19defb3df480ff9954fda9037a14f0225677f34793025,c3826ed6f03f,f0666b14ad7baa2f2e5420de7b60bceb1ea572f52c3abef323d105f557795146,f0666b14ad7b
noisy_or,3,0.010675415396690369,0.08430688828229904,0.8899502210594781,0.9681558826276826,0.07033555209636688,-1121.8210302592774,-1111.5329933724142,0.934283895725606,0.06651074136803536,gpt-5-v_low-r_low,all,1,CoT,huber,lbfgs,911f334ec0c1ed6f6dec26c8769328785756bfa6f43b309bd85bde3d4a612ea8,911f334ec0c1,2938f937a1c13d0000ffe80c5610d46f3124ce3c574a971413c9c79e6dca87f8,2938f937a1c1
