agent,domain,version,prompt_category,link,params_tying,learning_rate,lr_subdir,spec_hash,short_spec_hash,group_hash,short_group_hash,loocv_r2,cv_r2,r2_task,rmse_task,mae,aic,bic,loocv_rmse,loocv_mae,b,m1,m2,pC1,pC2
gemini-2.5-pro,all,1,CoT,noisy_or,3,,lr0p1,3a7f2e5d6479847201d2bd3b825f1a8884694b7ade29f251c8fe8c3c06988229,3a7f2e5d6479,d780cd1a767b9a273bbb07ecb5123af1c86a208828c596a7682b9ed007c2c465,d780cd1a767b,0.9795204536373234,0.9795204536373234,0.9906944904102492,0.0341963155784336,0.05667160451412201,-2477.073338571584,-2464.5519802598783,0.050730530284517766,,0.04072354733943939,0.9201182126998901,0.9201182126998901,0.45607295632362366,0.45607295632362366
gemini-1.5-pro,all,1,CoT,noisy_or,4,,lr0p1,a1c1a3627d5c4335bae62cef06606edadb3729f8e15333e592d4eb4768079c53,a1c1a3627d5c,d715518a2b1369144e1714a4e7134be7c3508919315230565e141c5dc9a8a130,d715518a2b13,0.9751659670831948,0.9751659670831948,0.9880407071829924,0.02818661311614485,0.06722425669431686,-2243.338766816907,-2226.643622401299,0.04061755441408816,,0.1998031586408615,0.6646756529808044,0.7879474759101868,0.4684208631515503,0.4684208631515503
claude-3-opus,all,1,CoT,noisy_or,4,,lr0p1,98dbc51688ab8584331cedfd816cc1bbf11d50b169de0bddaadfda4410843466,98dbc51688ab,6bdcd29b58646b4099c8096befec4b1cee3fff40e49230a2b567357db4ae61d9,6bdcd29b5864,0.9729561183930776,0.9729561183930776,0.9928980385936941,0.019314601794521814,0.07589982450008392,-2154.379475423996,-2137.684331008388,0.03769043222389911,,0.223301962018013,0.617042064666748,0.7457003593444824,0.4817837178707123,0.4817837178707123
gemini-2.5-flash,all,1,CoT,noisy_or,3,,lr0p1,6563db629ff50f43379b7d7fd419933fccb34e9effe70685d0c6632fc524737f,6563db629ff5,8502d1b9e659deba20fcb458f63a530bf1ba7f4f3c26d20b8310da569df7545b,8502d1b9e659,0.9685799869895791,0.9685799869895791,0.9832786692479591,0.04295617791860104,0.05719662457704544,-2401.4915816371927,-2388.9953280744985,0.05888346986765031,,0.05188736692070961,0.8713533878326416,0.8713533878326416,0.460891455411911,0.460891455411911
claude-3-7-sonnet-20250219,all,1,CoT,noisy_or,3,,lr0p1,8a86426b42d1c8ce860d2fa63308254188e2a8ced0692994fa58fd2af9678d5e,8a86426b42d1,7c1a16c13e63c0012095bb94acf38864ab632957dc86e3c84fbc709b8cce6ebb,7c1a16c13e63,0.9646942765647734,0.9646942765647734,0.9799468892025854,0.040939062663924976,0.05054077133536339,-2642.697445150651,-2630.1823433584186,0.05432122755848676,,0.12281130999326706,0.7821293473243713,0.7821293473243713,0.4666127860546112,0.4666127860546112
gpt-4.1,all,1,CoT,noisy_or,3,,lr0p1,c938b8b96457793b20ddfddac7c56033a9f3f0b5a55f6411f5d2bbf951ce836f,c938b8b96457,749e8638eb4edbc95ff3026f695307b5b5d564f87e23933c70747a3d3ceebe58,749e8638eb4e,0.9627764660924802,0.9627764660924802,0.9804137925479116,0.04269482754612499,0.06329824775457382,-2383.1573612421316,-2370.642259449899,0.058858459264237876,,0.1114271804690361,0.8060173392295837,0.8060173392295837,0.405107319355011,0.405107319355011
claude-sonnet-4-20250514,all,1,CoT,noisy_or,3,,lr0p1,b8038b36a6f5dfe4aa773b66b4d40bd3f48c646cb7c5a3cafdcff72e27eab4b6,b8038b36a6f5,e140d80e9ef68eb33b6a41d63505a9d03412eb1a3eea2a77ff3e12efce903ad6,e140d80e9ef6,0.9623814795269947,0.9623814795269947,0.9848915642633755,0.029946650656482086,0.048988644033670425,-2582.795465725539,-2570.2741074138335,0.0472540853031676,,0.18877771496772766,0.6905602812767029,0.6905602812767029,0.46552708745002747,0.46552708745002747
gpt-5-nano-v_low-r_low,all,1,CoT,noisy_or,3,,lr0p1,a9d31963d108f217d20dae9de0facb489b80f449e2250b5a5f5758857ce258e0,a9d31963d108,d0b461fd72348ffecdfeab86205382f0470680ea3701c5cf124af02debd1bdf0,d0b461fd7234,0.9609098420689931,0.9609098420689931,0.9834821656434944,0.022739564105144543,0.08127424865961075,-2173.7569691971403,-2161.2356108854347,0.03498156980690169,,0.2929074764251709,0.5049180388450623,0.5049180388450623,0.4257187247276306,0.4257187247276306
gpt-4o,all,1,CoT,noisy_or,3,,lr0p1,d5de95f34341c6066d39d9cd39921edc8a171caa2efcdf7cc9e225fa9d4cec9d,d5de95f34341,70978c22da6e987ac0bbdaf3e588dbbea65b6108ca5591d4a3b3f09a0e1d63ae,70978c22da6e,0.9562121285554741,0.9562121285554741,0.975525303163676,0.04026376543772566,0.08144961297512054,-2225.336422475748,-2212.8150641640423,0.05385582015858395,,0.15989252924919128,0.6821281909942627,0.6821281909942627,0.3919465243816376,0.3919465243816376
gpt-4.1-mini,all,1,CoT,noisy_or,3,,lr0p1,4da6fd22c17ab3318d2451659a8b638800e7df66b04a1f54ffc9b967b1718c3e,4da6fd22c17a,09f4784f96ca0e700474f124386d93038abb6671774521486ca5ea0f76eb3783,09f4784f96ca,0.9530039182007835,0.9530039182007835,0.9782167687292868,0.038890297160666644,0.07329148799180984,-2321.0962483980875,-2308.574890086382,0.057122990554457305,,0.13493916392326355,0.698900043964386,0.698900043964386,0.3722856044769287,0.3722856044769287
