link,params_tying,loss,rmse,r2,r2_task,mae,aic,bic,loocv_r2,loocv_rmse,agent,domain,version,prompt_category,loss_name,optimizer,spec_hash,short_spec_hash,group_hash,short_group_hash
noisy_or,3,0.03131846338510513,0.08069939911365509,0.9533307675511236,0.9939777863431715,0.0429803766310215,-2410.3432173336537,-2397.821859021948,0.9892837922984163,0.0393374194580356,gemini-2.5-pro,all,1,numeric,huber,lbfgs,f88fcc5bcd42ea5880a57ba913142ba97fce2cc8f7fbcf5d069046525b369af5,f88fcc5bcd42,de202d0a65cc12bbf1c8b211ba755395c003ccbf2a212e8a1b7c99352169b5b4,de202d0a65cc
noisy_or,4,0.03956769406795502,0.18812866508960724,0.7537795072199314,0.9950102279211659,0.13475793600082397,-1595.8040349704856,-1579.108890554878,0.9869597815070648,0.039637351176498845,gpt-4o,all,1,numeric,huber,lbfgs,ee0601c9bcb5453070c32d86ae09f934cc92c45d5cb94b9015f119ebc0395088,ee0601c9bcb5,049d4e6314a0ea6b3e3d257c55cf5e6bce82bf3fbc0c1e9aa1089a3541d432c6,049d4e6314a0
noisy_or,3,0.025507597252726555,0.08233583718538284,0.9442181152017213,0.9922310907796236,0.05093447118997574,-2366.1013948868904,-2353.6114504747866,0.9832512504486786,0.04538876582234716,gemini-2.5-flash,all,1,numeric,huber,lbfgs,160adc999f64725cf8ca18394ba878ed2da94e532ad62165f7e748be5e43f89d,160adc999f64,98d74d70419f02d47f1cd2f768c872a8f654e317e0202c1fdc01cfa236847e59,98d74d70419f
noisy_or,3,0.010139093734323978,0.09864120185375214,0.8397500653458579,0.9893030471311987,0.058735303580760956,-2217.6155854921385,-2205.094227180433,0.9753668070908791,0.038860254479708506,claude-sonnet-4-20250514,all,1,numeric,huber,lbfgs,560818f2fe9738c9f830c28dd911679977b4f43bcb680ecde30ecac324e57621,560818f2fe97,e8dbc22e6496b59ea2dea0b1be8be34c6d3595016ba97cc1ff5bb53b78f9b153,e8dbc22e6496
noisy_or,3,0.010784145444631577,0.11679816991090775,0.7543870261357154,0.9786670443844633,0.08511779457330704,-2055.415565376241,-2042.894207064535,0.9483025548098093,0.05110389755325714,gpt-5-nano-v_low-r_low,all,1,numeric,huber,lbfgs,06d47d5e0960969348941bf4945881115a66aa0968f53c6454081c4472ef1269,06d47d5e0960,94af1d51cb3f3ac804574534071df19b5e953d379669912f8974df07148c42be,94af1d51cb3f
noisy_or,3,0.023244742304086685,0.12533211708068848,0.8518245589914115,0.9678026691937112,0.10016627609729767,-1987.7166346822605,-1975.1952763705547,0.9369907075759883,0.08146058769317259,gpt-4.1,all,1,numeric,huber,lbfgs,27ee5e23f738cbb15b295e56fba1d417765adbab0d6664d7fe1cdb809d1e9888,27ee5e23f738,6b192ff03f0358612aa4821cbe32c68ca437e782d3f4f24a85bd34a03e744244,6b192ff03f03
noisy_or,3,0.021465642377734184,0.09231091290712357,0.9150635754805253,0.967681275858656,0.07965419441461563,-2281.2892014029503,-2268.7678430912447,0.9296642904611594,0.08552718846245931,gpt-5-v_low-r_low,all,1,numeric,huber,lbfgs,90c39be19a97a0fa01b1f36844293f186a5a2bc643b1de7ed9049766c2d3ab47,90c39be19a97,124d2ed7435aa0ef622e9b7eafa4b5599381e4f847e03d8a9a25527025ec3613,124d2ed7435a
noisy_or,3,0.028043003752827644,0.18679532408714294,0.6484619732925093,0.9634707776994723,0.14633627235889435,-1604.6320811118512,-1592.1107228001454,0.9196417458981497,0.07894815940156001,gpt-4.1-mini,all,1,numeric,huber,lbfgs,244e57fbe2189d7be9e5c53cdf8eeab12daf801800498485dabe6ec64b6ce5aa,244e57fbe218,6fa247a461721f4f0a4cc6a587c7b4eedd53e39bd7c33483368abcaa01b2efb9,6fa247a46172
noisy_or,3,0.019476644694805145,0.10455624014139175,0.875287763000786,0.9376519567233779,0.08474614471197128,-2161.7090025363714,-2149.1876442246657,0.8808389856050998,0.10389053756273518,gpt-5-mini-v_low-r_low,all,1,numeric,huber,lbfgs,1823aff22a133f479fb8608897a7fe631fbeffdb94b2aa1ddde5983498452f1a,1823aff22a13,384e26c43e927416cbcb6f338dbe1ef1cdab2296d1c2425c7397b3e13cbbc40e,384e26c43e92
noisy_or,3,0.019946999847888947,0.18198339641094208,0.6155860660951198,0.9353014746407056,0.1353716403245926,-1629.6862121643323,-1617.1648538526265,0.8592641581760083,0.09591110601408613,gemini-1.5-pro,all,1,numeric,huber,lbfgs,2dd0ed4992730f6ffb784b52632642dfd22365838d501e25d234ab7a89c42b59,2dd0ed499273,af9174234c4cb8c780eafeb5c6168fe466539f3f399a69893637584764c56b0c,af9174234c4c
noisy_or,4,0.015715543180704117,0.16193637251853943,0.48107227775573425,0.9626681754786615,0.12450680881738663,-1739.7297378654375,-1723.0345934498298,0.8570723364396939,0.06955296969669025,gpt-5-mini-v_low-r_minimal,all,1,numeric,huber,lbfgs,72d323d2f63a3329ebf6e98a8d3cf5ee1a6983212240848c7c5be7b7391399dc,72d323d2f63a,5f0a1b055ed73b18b0fafce1bdc60e8f30a756df47c2a77b9d0d6ed01444c4cc,5f0a1b055ed7
noisy_or,3,0.024934906512498856,0.16723109781742096,0.727659538488971,0.9275212774272289,0.1271367371082306,-1710.84340908221,-1698.3220507705041,0.8487050789123444,0.11741885786517861,claude-3-7-sonnet-20250219,all,1,numeric,huber,lbfgs,d0e3320dbce965ce25cd0c985aa5f529844f7d16699832e8dfb74d266579c6e3,d0e3320dbce9,c9a0b1409bfcd1343d90ed9893bbc0b14a3e1b6112f0586027d72301e8a9ed64,c9a0b1409bfc
noisy_or,3,0.01853892393410206,0.16186758875846863,0.6573728888508754,0.8880172156565843,0.13133296370506287,-1742.1375887460852,-1729.6162304343793,0.6570790040709992,0.15575856173163502,gpt-5-v_low-r_minimal,all,1,numeric,huber,lbfgs,35219558b50e6db798dc231f33189e472bb9e399d0ec89c9a979fe95dc08930b,35219558b50e,fe9ae731a1fc34bad5a21ed4083935d27861f457d6cfebb663a58e5a101358df,fe9ae731a1fc
noisy_or,4,0.009489897638559341,0.12476468831300735,0.6107975364426852,0.9288484251447877,0.10149485617876053,-1990.0727650934593,-1973.3776206778516,0.6538273887478738,0.10427687830503322,claude-3-opus,all,1,numeric,huber,lbfgs,5f6c142d692d814e2ea08bbd1671e23f0b5ddcca576afa5eea29812f51d1f70a,5f6c142d692d,df8919c55d411cafaafee887d7f327305e7bb2cda84b141bd1d09e8d4b844f8e,df8919c55d41
