agent,domain,version,prompt_category,link,params_tying,learning_rate,lr_subdir,spec_hash,short_spec_hash,group_hash,short_group_hash,loocv_r2,cv_r2,r2_task,rmse_task,mae,aic,bic,loocv_rmse,loocv_mae,b,m1,m2,pC1,pC2
gemini-2.5-pro,all,1,numeric,noisy_or,3,,lr0p1,f88fcc5bcd42ea5880a57ba913142ba97fce2cc8f7fbcf5d069046525b369af5,f88fcc5bcd42,de202d0a65cc12bbf1c8b211ba755395c003ccbf2a212e8a1b7c99352169b5b4,de202d0a65cc,0.9892837922984163,0.9892837922984163,0.9939777863431715,0.02948922676962973,0.0429803766310215,-2410.3432173336537,-2397.821859021948,0.0393374194580356,,0.010640260763466358,0.9576178789138794,0.9576178789138794,0.4754560589790344,0.4754560589790344
gpt-4o,all,1,numeric,noisy_or,4,,lr0p1,ee0601c9bcb5453070c32d86ae09f934cc92c45d5cb94b9015f119ebc0395088,ee0601c9bcb5,049d4e6314a0ea6b3e3d257c55cf5e6bce82bf3fbc0c1e9aa1089a3541d432c6,049d4e6314a0,0.9869597815070648,0.9869597815070648,0.9950102279211659,0.02451898819738734,0.13475793600082397,-1595.8040349704856,-1579.108890554878,0.039637351176498845,,0.04096190258860588,0.8942590951919556,0.8051061034202576,0.4143501818180084,0.4143501818180084
gemini-2.5-flash,all,1,numeric,noisy_or,3,,lr0p1,160adc999f64725cf8ca18394ba878ed2da94e532ad62165f7e748be5e43f89d,160adc999f64,98d74d70419f02d47f1cd2f768c872a8f654e317e0202c1fdc01cfa236847e59,98d74d70419f,0.9832512504486786,0.9832512504486786,0.9922310907796236,0.030912718779040504,0.05093447118997574,-2366.1013948868904,-2353.6114504747866,0.04538876582234716,,0.024807069450616837,0.9027660489082336,0.9027660489082336,0.48049116134643555,0.48049116134643555
claude-sonnet-4-20250514,all,1,numeric,noisy_or,3,,lr0p1,560818f2fe9738c9f830c28dd911679977b4f43bcb680ecde30ecac324e57621,560818f2fe97,e8dbc22e6496b59ea2dea0b1be8be34c6d3595016ba97cc1ff5bb53b78f9b153,e8dbc22e6496,0.9753668070908791,0.9753668070908791,0.9893030471311987,0.025607980325112675,0.058735303580760956,-2217.6155854921385,-2205.094227180433,0.038860254479708506,,0.203574538230896,0.686259388923645,0.686259388923645,0.4804946482181549,0.4804946482181549
gpt-5-nano-v_low-r_low,all,1,numeric,noisy_or,3,,lr0p1,06d47d5e0960969348941bf4945881115a66aa0968f53c6454081c4472ef1269,06d47d5e0960,94af1d51cb3f3ac804574534071df19b5e953d379669912f8974df07148c42be,94af1d51cb3f,0.9483025548098093,0.9483025548098093,0.9786670443844633,0.032828043332217845,0.08511779457330704,-2055.415565376241,-2042.894207064535,0.05110389755325714,,0.24880391359329224,0.629092276096344,0.629092276096344,0.4238074719905853,0.4238074719905853
gpt-4.1,all,1,numeric,noisy_or,3,,lr0p1,27ee5e23f738cbb15b295e56fba1d417765adbab0d6664d7fe1cdb809d1e9888,27ee5e23f738,6b192ff03f0358612aa4821cbe32c68ca437e782d3f4f24a85bd34a03e744244,6b192ff03f03,0.9369907075759883,0.9369907075759883,0.9678026691937112,0.058231123916281415,0.10016627609729767,-1987.7166346822605,-1975.1952763705547,0.08146058769317259,,0.14895090460777283,0.8671992421150208,0.8671992421150208,0.4563716650009155,0.4563716650009155
gpt-5-v_low-r_low,all,1,numeric,noisy_or,3,,lr0p1,90c39be19a97a0fa01b1f36844293f186a5a2bc643b1de7ed9049766c2d3ab47,90c39be19a97,124d2ed7435aa0ef622e9b7eafa4b5599381e4f847e03d8a9a25527025ec3613,124d2ed7435a,0.9296642904611594,0.9296642904611594,0.967681275858656,0.05797534784608326,0.07965419441461563,-2281.2892014029503,-2268.7678430912447,0.08552718846245931,,0.08928526937961578,0.851343035697937,0.851343035697937,0.4195970594882965,0.4195970594882965
gpt-4.1-mini,all,1,numeric,noisy_or,3,,lr0p1,244e57fbe2189d7be9e5c53cdf8eeab12daf801800498485dabe6ec64b6ce5aa,244e57fbe218,6fa247a461721f4f0a4cc6a587c7b4eedd53e39bd7c33483368abcaa01b2efb9,6fa247a46172,0.9196417458981497,0.9196417458981497,0.9634707776994723,0.05322883685853397,0.14633627235889435,-1604.6320811118512,-1592.1107228001454,0.07894815940156001,,0.106830894947052,0.6992473006248474,0.6992473006248474,0.4091429114341736,0.4091429114341736
gpt-5-mini-v_low-r_low,all,1,numeric,noisy_or,3,,lr0p1,1823aff22a133f479fb8608897a7fe631fbeffdb94b2aa1ddde5983498452f1a,1823aff22a13,384e26c43e927416cbcb6f338dbe1ef1cdab2296d1c2425c7397b3e13cbbc40e,384e26c43e92,0.8808389856050998,0.8808389856050998,0.9376519567233779,0.07514849921242947,0.08474614471197128,-2161.7090025363714,-2149.1876442246657,0.10389053756273518,,0.11118245869874954,0.8011553287506104,0.8011553287506104,0.39053624868392944,0.39053624868392944
gemini-1.5-pro,all,1,numeric,noisy_or,3,,lr0p1,2dd0ed4992730f6ffb784b52632642dfd22365838d501e25d234ab7a89c42b59,2dd0ed499273,af9174234c4cb8c780eafeb5c6168fe466539f3f399a69893637584764c56b0c,af9174234c4c,0.8592641581760083,0.8592641581760083,0.9353014746407056,0.06502999679494825,0.1353716403245926,-1629.6862121643323,-1617.1648538526265,0.09591110601408613,,0.31062260270118713,0.7216344475746155,0.7216344475746155,0.5451126098632812,0.5451126098632812
